"","Field1","site","longitude","latitude","n_otters","survey_dat","area","site.site"
"1",NA,NA,NA,NA,NA,NA,5.765,"Baker Island - eel"
"87","112","Baker Island",-133.587509,55.347446,1,"2019/08/02",5.765,"Baker Island - eel"
"144","180","Baker Island",-133.587906,55.357632,1,"2019/08/12",5.765,"Baker Island - eel"
"191","172","Baker Island",-133.578873,55.348015,1,"2019/08/12",5.765,"Baker Island - eel"
"539","171","Baker Island",-133.578384,55.344292,1,"2019/08/12",5.765,"Baker Island - eel"
"777","189","Baker Island",-133.607132,55.344601,2,"2019/08/12",5.765,"Baker Island - eel"
"979","170","Baker Island",-133.565643,55.341835,1,"2019/08/12",5.765,"Baker Island - eel"
"1046","169","Baker Island",-133.564407,55.341423,1,"2019/08/12",5.765,"Baker Island - eel"
"1059","119","Baker Island",-133.610245,55.34164,1,"2019/08/02",5.765,"Baker Island - eel"
"1103","190","Baker Island",-133.61261,55.34127,1,"2019/08/12",5.765,"Baker Island - eel"
"1228","168","Baker Island",-133.560913,55.340412,1,"2019/08/12",5.765,"Baker Island - eel"
"1468","167","Baker Island",-133.562164,55.335274,1,"2019/08/12",5.765,"Baker Island - eel"
"1701","166","Baker Island",-133.555618,55.333927,1,"2019/08/12",5.765,"Baker Island - eel"
"1769","178","Baker Island",-133.592331,55.357498,1,"2019/08/12",5.765,"Baker Island - eel"
"1932","116","Baker Island",-133.589752,55.360283,3,"2019/08/02",5.765,"Baker Island - eel"
"1942","176","Baker Island",-133.592285,55.355877,1,"2019/08/12",5.765,"Baker Island - eel"
"1944","174","Baker Island",-133.584564,55.354294,1,"2019/08/12",5.765,"Baker Island - eel"
"1954","115","Baker Island",-133.593033,55.356308,1,"2019/08/02",5.765,"Baker Island - eel"
"1959","181","Baker Island",-133.591782,55.359699,1,"2019/08/12",5.765,"Baker Island - eel"
"1964","183","Baker Island",-133.588745,55.361073,1,"2019/08/12",5.765,"Baker Island - eel"
"1966","179","Baker Island",-133.593582,55.357861,1,"2019/08/12",5.765,"Baker Island - eel"
"1969","175","Baker Island",-133.592575,55.354805,3,"2019/08/12",5.765,"Baker Island - eel"
"1978","177","Baker Island",-133.593719,55.356655,1,"2019/08/12",5.765,"Baker Island - eel"
"1981","182","Baker Island",-133.592209,55.36076,1,"2019/08/12",5.765,"Baker Island - eel"
"2010","114","Baker Island",-133.592087,55.353611,1,"2019/08/02",5.765,"Baker Island - eel"
"2031","118","Baker Island",-133.59523,55.356678,8,"2019/08/02",5.765,"Baker Island - eel"
"2041","117","Baker Island",-133.590103,55.361965,1,"2019/08/02",5.765,"Baker Island - eel"
"2104","113","Baker Island",-133.590927,55.351994,1,"2019/08/02",5.765,"Baker Island - eel"
"2105","185","Baker Island",-133.594681,55.352966,1,"2019/08/12",5.765,"Baker Island - eel"
"2179","187","Baker Island",-133.597824,55.354706,1,"2019/08/12",5.765,"Baker Island - eel"
"2187","184","Baker Island",-133.596741,55.353504,1,"2019/08/12",5.765,"Baker Island - eel"
"2198","173","Baker Island",-133.586975,55.349869,1,"2019/08/12",5.765,"Baker Island - eel"
"2228","188","Baker Island",-133.598831,55.354267,1,"2019/08/12",5.765,"Baker Island - eel"
"2253","186","Baker Island",-133.59787,55.352631,1,"2019/08/12",5.765,"Baker Island - eel"
"2292","111","Baker Island",-133.583801,55.34914,1,"2019/08/02",5.765,"Baker Island - eel"
"11",NA,NA,NA,NA,NA,NA,14.57,"Chusini"
"14","299","Chusini & Naukati",-133.176407,55.826828,2,"2019/08/14",14.57,"Chusini"
"63","453","Chusini",-133.178436,55.827847,2,"2019/07/31",14.57,"Chusini"
"65","467","Chusini",-133.175781,55.809906,1,"2019/07/31",14.57,"Chusini"
"82","466","Chusini",-133.173386,55.810146,1,"2019/07/31",14.57,"Chusini"
"109","296","Chusini & Naukati",-133.185501,55.826439,1,"2019/08/14",14.57,"Chusini"
"124","454","Chusini",-133.169418,55.825672,1,"2019/07/31",14.57,"Chusini"
"267","297","Chusini & Naukati",-133.18251,55.828396,1,"2019/08/14",14.57,"Chusini"
"291","298","Chusini & Naukati",-133.177597,55.82893,1,"2019/08/14",14.57,"Chusini"
"354","440","Chusini",-133.190872,55.827118,1,"2019/07/31",14.57,"Chusini"
"424","472","Chusini",-133.197189,55.813843,1,"2019/07/31",14.57,"Chusini"
"456","300","Chusini & Naukati",-133.17366,55.82877,1,"2019/08/14",14.57,"Chusini"
"599","309","Chusini & Naukati",-133.180374,55.817406,1,"2019/08/14",14.57,"Chusini"
"890","280","Chusini & Naukati",-133.202011,55.815872,1,"2019/08/14",14.57,"Chusini"
"921","441","Chusini",-133.180038,55.832375,1,"2019/07/31",14.57,"Chusini"
"1012","290","Chusini & Naukati",-133.184128,55.831802,21,"2019/08/14",14.57,"Chusini"
"1088","451","Chusini",-133.167114,55.830471,1,"2019/07/31",14.57,"Chusini"
"1234","302","Chusini & Naukati",-133.177307,55.834023,1,"2019/08/14",14.57,"Chusini"
"1267","450","Chusini",-133.167557,55.831726,1,"2019/07/31",14.57,"Chusini"
"1620","307","Chusini & Naukati",-133.182159,55.81813,1,"2019/08/14",14.57,"Chusini"
"1688","445","Chusini",-133.171463,55.834938,1,"2019/07/31",14.57,"Chusini"
"1691","438","Chusini",-133.199402,55.832016,40,"2019/07/31",14.57,"Chusini"
"1724","446","Chusini",-133.17038,55.834881,1,"2019/07/31",14.57,"Chusini"
"1763","443","Chusini",-133.169281,55.834656,1,"2019/07/31",14.57,"Chusini"
"1776","444","Chusini",-133.171326,55.835033,1,"2019/07/31",14.57,"Chusini"
"1791","294","Chusini & Naukati",-133.197693,55.83305,13,"2019/08/14",14.57,"Chusini"
