site,date,longitude,latitude,n_otters
Salt Lake Bay,20190801,-133.427429,55.673115,1
Salt Lake Bay,20190801,-133.407547,55.67437,1
North Fish Egg & South Fish Egg,20190729,-133.170197,55.523594,1
North Fish Egg & South Fish Egg,20190729,-133.17363,55.518875,1
North Fish Egg & South Fish Egg,20190729,-133.174942,55.517441,1
North Fish Egg & South Fish Egg,20190729,-133.219345,55.517365,1
North Fish Egg & South Fish Egg,20190729,-133.207367,55.496555,1
North Fish Egg & South Fish Egg,20190729,-133.232864,55.508411,1
North Fish Egg & South Fish Egg,20190729,-133.276306,55.485603,2
North Fish Egg & South Fish Egg,20190729,-133.245819,55.49675,1
North Fish Egg & South Fish Egg,20190729,-133.225357,55.502029,1
North Fish Egg & South Fish Egg,20190729,-133.21907,55.493694,1
North Fish Egg & South Fish Egg,20190729,-133.234772,55.491051,1
North Fish Egg & South Fish Egg,20190729,-133.205032,55.492626,3
North Fish Egg & South Fish Egg,20190729,-133.213913,55.502838,1
North Fish Egg & South Fish Egg,20190729,-133.19133,55.491516,9
North Fish Egg & South Fish Egg,20190729,-133.216965,55.48769,2
North Fish Egg & South Fish Egg,20190729,-133.19043,55.480289,2
North Fish Egg & South Fish Egg,20190729,-133.191437,55.47934,2
North Fish Egg & South Fish Egg,20190729,-133.202484,55.478157,1
North Fish Egg & South Fish Egg,20190729,-133.20314,55.47665,1
North Fish Egg & South Fish Egg,20190729,-133.198044,55.472988,2
North Fish Egg & South Fish Egg,20190729,-133.232162,55.482292,1
North Fish Egg & South Fish Egg,20190729,-133.231125,55.467129,1
North Fish Egg & South Fish Egg,20190729,-133.222656,55.470222,1
North Fish Egg & South Fish Egg,20190729,-133.220474,55.471729,1
North Fish Egg & South Fish Egg,20190729,-133.194916,55.474579,1
North Fish Egg & South Fish Egg,20190729,-133.17514,55.475063,1
South Wadleigh,20190730,-133.172058,55.549778,1
South Wadleigh,20190730,-133.212387,55.540627,1
South Wadleigh,20190730,-133.167221,55.509918,1
South Wadleigh,20190730,-133.168854,55.512226,1
South Wadleigh,20190730,-133.178665,55.509468,1
Klawock & Shinaku,20190730,-133.095779,55.596306,1
Klawock & Shinaku,20190730,-133.117142,55.602226,1
Klawock & Shinaku,20190730,-133.117905,55.602139,1
Klawock & Shinaku,20190730,-133.114182,55.604473,1
Klawock & Shinaku,20190730,-133.110764,55.613163,1
Klawock & Shinaku,20190730,-133.124542,55.608753,1
Klawock & Shinaku,20190730,-133.1362,55.604141,1
Klawock & Shinaku,20190730,-133.133331,55.605461,1
Klawock & Shinaku,20190730,-133.137894,55.602966,1
Klawock & Shinaku,20190730,-133.144287,55.598572,2
Klawock & Shinaku,20190730,-133.141495,55.597179,2
Klawock & Shinaku,20190730,-133.147049,55.592213,1
Klawock & Shinaku,20190730,-133.13591,55.588516,1
Klawock & Shinaku,20190730,-133.172531,55.576431,13
Klawock & Shinaku,20190730,-133.160965,55.574757,1
Klawock & Shinaku,20190730,-133.187302,55.575207,1
Klawock & Shinaku,20190730,-133.18985,55.571793,1
Klawock & Shinaku,20190730,-133.188629,55.574863,1
Klawock & Shinaku,20190730,-133.193924,55.569862,1
Klawock & Shinaku,20190730,-133.186462,55.577972,1
Klawock & Shinaku,20190730,-133.188644,55.578125,1
Klawock & Shinaku,20190730,-133.201309,55.575439,2
