"","site","longitude","latitude","n_otters","survey_dat"
"1","Salt Lake Bay",-133.427429,55.673115,1,"2019/08/01"
"2","Salt Lake Bay",-133.407547,55.67437,1,"2019/08/01"
"3","North Fish Egg & South Fish Egg",-133.170197,55.523594,1,"2019/07/29"
"4","North Fish Egg & South Fish Egg",-133.17363,55.518875,1,"2019/07/29"
"5","North Fish Egg & South Fish Egg",-133.174942,55.517441,1,"2019/07/29"
"6","North Fish Egg & South Fish Egg",-133.219345,55.517365,1,"2019/07/29"
"7","North Fish Egg & South Fish Egg",-133.207367,55.496555,1,"2019/07/29"
"8","North Fish Egg & South Fish Egg",-133.232864,55.508411,1,"2019/07/29"
"9","North Fish Egg & South Fish Egg",-133.276306,55.485603,2,"2019/07/29"
"10","North Fish Egg & South Fish Egg",-133.245819,55.49675,1,"2019/07/29"
"11","North Fish Egg & South Fish Egg",-133.225357,55.502029,1,"2019/07/29"
"12","North Fish Egg & South Fish Egg",-133.21907,55.493694,1,"2019/07/29"
"13","North Fish Egg & South Fish Egg",-133.234772,55.491051,1,"2019/07/29"
"14","North Fish Egg & South Fish Egg",-133.205032,55.492626,3,"2019/07/29"
"15","North Fish Egg & South Fish Egg",-133.213913,55.502838,1,"2019/07/29"
"16","North Fish Egg & South Fish Egg",-133.19133,55.491516,9,"2019/07/29"
"17","North Fish Egg & South Fish Egg",-133.216965,55.48769,2,"2019/07/29"
"18","North Fish Egg & South Fish Egg",-133.19043,55.480289,2,"2019/07/29"
"19","North Fish Egg & South Fish Egg",-133.191437,55.47934,2,"2019/07/29"
"20","North Fish Egg & South Fish Egg",-133.202484,55.478157,1,"2019/07/29"
"21","North Fish Egg & South Fish Egg",-133.20314,55.47665,1,"2019/07/29"
"22","North Fish Egg & South Fish Egg",-133.198044,55.472988,2,"2019/07/29"
"23","North Fish Egg & South Fish Egg",-133.232162,55.482292,1,"2019/07/29"
"24","North Fish Egg & South Fish Egg",-133.231125,55.467129,1,"2019/07/29"
"25","North Fish Egg & South Fish Egg",-133.222656,55.470222,1,"2019/07/29"
"26","North Fish Egg & South Fish Egg",-133.220474,55.471729,1,"2019/07/29"
"27","North Fish Egg & South Fish Egg",-133.194916,55.474579,1,"2019/07/29"
"28","North Fish Egg & South Fish Egg",-133.17514,55.475063,1,"2019/07/29"
"29","South Wadleigh",-133.172058,55.549778,1,"2019/07/30"
"30","South Wadleigh",-133.212387,55.540627,1,"2019/07/30"
"31","South Wadleigh",-133.167221,55.509918,1,"2019/07/30"
"32","South Wadleigh",-133.168854,55.512226,1,"2019/07/30"
"33","South Wadleigh",-133.178665,55.509468,1,"2019/07/30"
"34","Klawock & Shinaku",-133.095779,55.596306,1,"2019/07/30"
"35","Klawock & Shinaku",-133.117142,55.602226,1,"2019/07/30"
"36","Klawock & Shinaku",-133.117905,55.602139,1,"2019/07/30"
"37","Klawock & Shinaku",-133.114182,55.604473,1,"2019/07/30"
"38","Klawock & Shinaku",-133.110764,55.613163,1,"2019/07/30"
"39","Klawock & Shinaku",-133.124542,55.608753,1,"2019/07/30"
"40","Klawock & Shinaku",-133.1362,55.604141,1,"2019/07/30"
"41","Klawock & Shinaku",-133.133331,55.605461,1,"2019/07/30"
"42","Klawock & Shinaku",-133.137894,55.602966,1,"2019/07/30"
