Data_Events_SiteID,site_eventID,date,Location,SubLocale,habitat,latitude,longitude,year
6,1,4/24/01,Favorite Channel,Amalga Harbor,sand-gravel,58.5,-134.8,NA
7,2,4/24/01,Favorite Channel,Amalga Harbor,sand-gravel,58.51,-134.81,NA
8,3,4/26/01,Favorite Channel,Eagle Beach,sand-gravel,58.51,-134.84,NA
9,4,4/26/01,Favorite Channel,Eagle Beach,sand-gravel,58.51,-134.84,NA
14,5,4/26/01,Favorite Channel,Gull Island,kelp,58.5,-134.87,NA
15,6,4/26/01,Favorite Channel,Gull Island,kelp,58.5,-134.87,NA
10,7,4/26/01,Lynn Canal,,sand-gravel,58.55,-134.91,NA
11,8,4/26/01,Lynn Canal,,sand-gravel,58.55,-134.9,NA
1,9,4/26/01,Lynn Canal,North Island,kelp,58.58,-134.93,NA
16,10,4/26/01,Lynn Canal,North Island,sand-gravel,58.57,-134.92,NA
3,11,4/27/01,Lynn Canal,,kelp,58.56,-134.9,NA
2,12,4/27/01,Lynn Canal,,kelp,58.57,-134.91,NA
22,13,4/27/01,Lynn Canal,,sand-gravel,58.59,-134.9,NA
21,14,4/27/01,Lynn Canal,,sand-gravel,58.6,-134.92,NA
1,15,7/24/01,Lynn Canal,North Island,kelp,58.58,-134.93,NA
2,16,7/24/01,Lynn Canal,,kelp,58.57,-134.91,NA
3,17,7/24/01,Lynn Canal,,kelp,58.56,-134.9,NA
4,18,7/24/01,Lynn Canal,,sand-gravel,58.56,-134.91,NA
5,19,7/24/01,Lynn Canal,,bedrock,58.56,-134.9,NA
6,20,8/2/01,Favorite Channel,Amalga Harbor,sand-gravel,58.5,-134.8,NA
7,21,8/2/01,Favorite Channel,Amalga Harbor,sand-gravel,58.51,-134.81,NA
8,22,8/2/01,Favorite Channel,Eagle Beach,sand-gravel,58.51,-134.84,NA
9,23,8/2/01,Favorite Channel,Eagle Beach,sand-gravel,58.51,-134.84,NA
10,24,8/2/01,Lynn Canal,,sand-gravel,58.55,-134.91,NA
11,25,8/2/01,Lynn Canal,,sand-gravel,58.55,-134.9,NA
12,26,8/2/01,Lynn Canal,Sentinel Island,bedrock,58.54,-134.92,NA
13,27,8/2/01,Lynn Canal,Sentinel Island,bedrock,58.55,-134.93,NA
14,28,8/2/01,Favorite Channel,Gull Island,kelp,58.5,-134.87,NA
15,29,8/2/01,Favorite Channel,Gull Island,kelp,58.5,-134.87,NA
17,30,5/11/01,Berners Bay,Slate Creek Cove,sand-gravel,58.78,-135.01,NA
18,31,5/11/01,Berners Bay,Slate Creek Cove,sand-gravel,58.79,-135.02,NA
19,32,5/11/01,Berners Bay,Slate Creek Cove,sand-gravel,58.77,-134.99,NA
20,33,5/11/01,Berners Bay,,sand-gravel,58.77,-134.94,NA
23,34,7/20/01,Frederick Sound,West Brother Island,sand-gravel,57.3,-133.87,NA
24,35,7/20/01,Frederick Sound,West Brother Island,kelp,57.3,-133.86,NA
25,36,7/20/01,Frederick Sound,West Brother Island,kelp,57.31,-133.85,NA
26,37,7/21/01,Frederick Sound,East Brother Island,kelp,57.31,-133.83,NA
29,38,7/21/01,Frederick Sound,East Brother Island,kelp,57.31,-133.82,NA
30,39,7/21/01,Frederick Sound,East Brother Island,sand-gravel,57.3,-133.82,NA
31,40,7/22/01,Frederick Sound,East Brother Island,eelgrass,57.29,-133.82,NA
32,41,7/22/01,Frederick Sound,East Brother Island,kelp,57.3,-133.83,NA
33,42,7/22/01,Frederick Sound,West Brother Island,kelp,57.29,-133.86,NA
35,43,7/23/01,Frederick Sound,East Brother Island,bedrock,57.3,-133.8,NA
36,44,7/23/01,Frederick Sound,West Brother Island,bedrock,57.3,-133.84,NA
23,45,3/2/02,Frederick Sound,West Brother Island,sand-gravel,57.3,-133.87,NA
24,46,2/28/02,Frederick Sound,West Brother Island,kelp,57.3,-133.86,NA
25,47,2/28/02,Frederick Sound,West Brother Island,kelp,57.31,-133.85,NA
26,48,2/28/02,Frederick Sound,East Brother Island,kelp,57.31,-133.83,NA
29,51,3/1/02,Frederick Sound,East Brother Island,kelp,57.31,-133.82,NA
30,52,3/1/02,Frederick Sound,East Brother Island,sand-gravel,57.3,-133.82,NA
31,53,3/3/02,Frederick Sound,East Brother Island,eelgrass,57.29,-133.82,NA
32,54,3/1/02,Frederick Sound,East Brother Island,kelp,57.3,-133.83,NA
33,55,3/2/02,Frederick Sound,West Brother Island,kelp,57.29,-133.86,NA
35,56,3/1/02,Frederick Sound,East Brother Island,bedrock,57.3,-133.8,NA
37,57,3/1/02,Frederick Sound,Little Brother Island,bedrock,57.3,-133.8,NA
38,58,3/2/02,Frederick Sound,West Brother Island,bedrock,57.3,-133.86,NA
39,59,3/3/02,Frederick Sound,West Brother Island,bedrock,57.28,-133.84,NA
1,60,3/25/02,Lynn Canal,North Island,kelp,58.58,-134.93,NA
2,61,3/25/02,Lynn Canal,,kelp,58.57,-134.91,NA
3,62,3/25/02,Lynn Canal,,kelp,58.56,-134.9,NA
4,63,3/25/02,Lynn Canal,,sand-gravel,58.56,-134.91,NA
5,64,3/25/02,Lynn Canal,,bedrock,58.56,-134.9,NA
8,67,3/24/02,Favorite Channel,Eagle Beach,sand-gravel,58.51,-134.84,NA
9,68,3/24/02,Favorite Channel,Eagle Beach,sand-gravel,58.51,-134.84,NA
10,69,3/25/02,Lynn Canal,,sand-gravel,58.55,-134.91,NA
11,70,3/25/02,Lynn Canal,,sand-gravel,58.55,-134.9,NA
12,71,3/24/02,Lynn Canal,Sentinel Island,bedrock,58.54,-134.92,NA
13,72,3/24/02,Lynn Canal,Sentinel Island,bedrock,58.55,-134.93,NA
14,73,3/24/02,Favorite Channel,Gull Island,kelp,58.5,-134.87,NA
15,74,3/24/02,Favorite Channel,Gull Island,kelp,58.5,-134.87,NA
23,75,7/14/02,Frederick Sound,West Brother Island,sand-gravel,57.3,-133.87,NA
24,76,7/11/02,Frederick Sound,West Brother Island,kelp,57.3,-133.86,NA
25,77,7/11/02,Frederick Sound,West Brother Island,kelp,57.31,-133.85,NA
26,78,7/11/02,Frederick Sound,East Brother Island,kelp,57.31,-133.83,NA
29,79,7/11/02,Frederick Sound,East Brother Island,kelp,57.31,-133.82,NA
30,80,7/12/02,Frederick Sound,East Brother Island,sand-gravel,57.3,-133.82,NA
31,81,7/13/02,Frederick Sound,East Brother Island,eelgrass,57.29,-133.82,NA
32,82,7/12/02,Frederick Sound,East Brother Island,kelp,57.3,-133.83,NA
33,83,7/14/02,Frederick Sound,West Brother Island,kelp,57.29,-133.86,NA
35,84,7/13/02,Frederick Sound,East Brother Island,bedrock,57.3,-133.8,NA
36,85,7/13/02,Frederick Sound,West Brother Island,bedrock,57.3,-133.84,NA
37,86,7/13/02,Frederick Sound,Little Brother Island,bedrock,57.3,-133.8,NA
38,87,7/14/02,Frederick Sound,West Brother Island,bedrock,57.3,-133.86,NA
39,88,7/12/02,Frederick Sound,West Brother Island,bedrock,57.28,-133.84,NA
1,89,7/24/02,Lynn Canal,North Island,kelp,58.58,-134.93,NA
2,90,7/24/02,Lynn Canal,,kelp,58.57,-134.91,NA
3,91,7/24/02,Lynn Canal,,kelp,58.56,-134.9,NA
4,92,7/24/02,Lynn Canal,,sand-gravel,58.56,-134.91,NA
5,93,7/26/02,Lynn Canal,,bedrock,58.56,-134.9,NA
8,96,7/25/02,Favorite Channel,Eagle Beach,sand-gravel,58.51,-134.84,NA
9,97,7/25/02,Favorite Channel,Eagle Beach,sand-gravel,58.51,-134.84,NA
10,98,7/25/02,Lynn Canal,,sand-gravel,58.55,-134.91,NA
11,99,7/25/02,Lynn Canal,,sand-gravel,58.55,-134.9,NA
13,101,7/26/02,Lynn Canal,Sentinel Island,bedrock,58.55,-134.93,NA
14,102,7/25/02,Favorite Channel,Gull Island,kelp,58.5,-134.87,NA
15,103,7/25/02,Favorite Channel,Gull Island,kelp,58.5,-134.87,NA
94,195,6/5/01,Admiralty Island,,eelgrass,58.26,-134.9,NA
231,196,6/6/01,Chichagof Island,Crab Bay,eelgrass,57.74,-135.39,NA
232,197,6/6/01,Chichagof Island,Crab Bay,eelgrass,57.74,-135.38,NA
91,198,6/7/01,Admiralty Island,,eelgrass,57.31,-134.47,NA
92,199,6/7/01,Admiralty Island,,eelgrass,57.31,-134.47,NA
201,200,6/8/01,Baranof Island,,eelgrass,57.2,-135.38,NA
202,201,6/8/01,Baranof Island,,eelgrass,57.2,-135.38,NA
207,202,6/10/01,Baranof Island,,eelgrass,56.98,-135.37,NA
208,203,6/10/01,Baranof Island,,eelgrass,56.98,-135.37,NA
214,204,6/9/01,Baranof Island,,eelgrass,56.98,-135.31,NA
215,205,6/9/01,Baranof Island,,eelgrass,56.98,-135.31,NA
93,207,6/13/02,Admiralty Island,,eelgrass,58.26,-134.91,NA
94,208,6/13/02,Admiralty Island,,eelgrass,58.26,-134.9,NA
231,209,6/12/02,Chichagof Island,Crab Bay,eelgrass,57.74,-135.39,NA
232,210,6/12/02,Chichagof Island,Crab Bay,eelgrass,57.74,-135.38,NA
92,211,6/11/02,Admiralty Island,,eelgrass,57.31,-134.47,NA
91,212,6/11/02,Admiralty Island,,eelgrass,57.31,-134.47,NA
201,213,6/10/02,Baranof Island,,eelgrass,57.2,-135.38,NA
202,214,6/10/02,Baranof Island,,eelgrass,57.2,-135.38,NA
207,215,6/8/02,Baranof Island,,eelgrass,56.98,-135.37,NA
209,216,6/8/02,Baranof Island,,eelgrass,56.99,-135.38,NA
215,217,6/9/02,Baranof Island,,eelgrass,56.98,-135.31,NA
214,218,6/9/02,Baranof Island,,eelgrass,56.98,-135.31,NA
225,219,8/11/02,Chichagof Island,,eelgrass,57.56,-135.61,NA
226,220,8/11/02,Chichagof Island,,eelgrass,57.57,-135.64,NA
93,221,2/2/03,Admiralty Island,,eelgrass,58.26,-134.91,NA
94,222,2/2/03,Admiralty Island,,eelgrass,58.26,-134.9,NA
231,223,1/29/03,Chichagof Island,Crab Bay,eelgrass,57.74,-135.39,NA
232,224,1/29/03,Chichagof Island,Crab Bay,eelgrass,57.74,-135.38,NA
201,225,1/30/03,Baranof Island,,eelgrass,57.2,-135.38,NA
202,226,1/30/03,Baranof Island,,eelgrass,57.2,-135.38,NA
214,227,1/31/03,Baranof Island,,eelgrass,56.98,-135.31,NA
215,228,1/31/03,Baranof Island,,eelgrass,56.98,-135.31,NA
225,229,2/1/03,Chichagof Island,,eelgrass,57.56,-135.61,NA
226,230,2/1/03,Chichagof Island,,eelgrass,57.57,-135.64,NA
93,231,6/5/01,Admiralty Island,,eelgrass,58.26,-134.91,NA
115,232,8/13/02,Chichagof Island,,eelgrass,57.76,-135.79,NA
116,233,8/13/02,Chichagof Island,,eelgrass,57.74,-135.79,NA
131,234,4/14/98,Prince of Wales Island,,eelgrass,55.58,-133.09,NA
132,235,4/14/98,Prince of Wales Island,,eelgrass,55.58,-133.09,NA
131,236,5/12/98,Prince of Wales Island,,eelgrass,55.58,-133.09,NA
132,237,5/12/98,Prince of Wales Island,,eelgrass,55.58,-133.09,NA
131,238,6/11/98,Prince of Wales Island,,eelgrass,55.58,-133.09,NA
132,239,6/11/98,Prince of Wales Island,,eelgrass,55.58,-133.09,NA
131,240,9/7/98,Prince of Wales Island,,eelgrass,55.58,-133.09,NA
132,241,9/7/98,Prince of Wales Island,,eelgrass,55.58,-133.09,NA
133,242,4/14/98,Prince of Wales Island,,sand-gravel,55.56,-133.1,NA
134,243,4/14/98,Prince of Wales Island,,sand-gravel,55.56,-133.1,NA
133,244,5/12/98,Prince of Wales Island,,sand-gravel,55.56,-133.1,NA
134,245,5/12/98,Prince of Wales Island,,sand-gravel,55.56,-133.1,NA
133,246,6/11/98,Prince of Wales Island,,sand-gravel,55.56,-133.1,NA
134,247,6/11/98,Prince of Wales Island,,sand-gravel,55.56,-133.1,NA
133,248,9/6/98,Prince of Wales Island,,sand-gravel,55.56,-133.1,NA
134,249,9/6/98,Prince of Wales Island,,sand-gravel,55.56,-133.1,NA
162,250,8/14/00,Gravina Island,,eelgrass,55.24,-131.75,NA
163,251,8/14/00,Gravina Island,,eelgrass,55.23,-131.73,NA
164,252,8/14/00,Gravina Island,,kelp,55.22,-131.74,NA
165,253,8/14/00,Gravina Island,,kelp,55.21,-131.73,NA
177,254,7/14/00,Prince of Wales Island,Calder Bay,eelgrass,56.19,-133.52,NA
178,255,7/14/00,Prince of Wales Island,Calder Bay,eelgrass,56.2,-133.52,NA
135,256,4/16/98,Prince of Wales Island,Cole Island,eelgrass,55.5,-133.16,NA
136,257,4/16/98,Prince of Wales Island,Cole Island,eelgrass,55.5,-133.16,NA
135,258,5/14/98,Prince of Wales Island,Cole Island,eelgrass,55.5,-133.16,NA
136,259,5/14/98,Prince of Wales Island,Cole Island,eelgrass,55.5,-133.16,NA
135,260,6/9/98,Prince of Wales Island,Cole Island,eelgrass,55.5,-133.16,NA
136,261,6/9/98,Prince of Wales Island,Cole Island,eelgrass,55.5,-133.16,NA
135,262,9/8/98,Prince of Wales Island,Cole Island,eelgrass,55.5,-133.16,NA
136,263,9/8/98,Prince of Wales Island,Cole Island,eelgrass,55.5,-133.16,NA
135,264,7/15/99,Prince of Wales Island,Cole Island,eelgrass,55.5,-133.16,NA
136,265,7/15/99,Prince of Wales Island,Cole Island,eelgrass,55.5,-133.16,NA
113,266,6/3/00,Baranof Island,,eelgrass,57.24,-134.87,NA
114,267,6/3/00,Baranof Island,,eelgrass,57.24,-134.88,NA
179,268,7/15/00,Prince of Wales Island,,eelgrass,56.21,-133.07,NA
