site_code,site,names_2019
2017_H_07,Blanquizal Point,Blanquizal Point
2017_H_03,Chusini Cove,Chusini-Kladein Flat
2017_L_05,Dunbar Inlet,Dunbar Inlet
2017_L_06,Farallon Bay,Farallon
2017_M_07,Garcia Bay,Garcia
2017_L_02,Goats mouth inlet,Goat Mouth Inlet
2017_H_06,Guktu Bay,Guktu
2017_L_07,Hetta Cove,Hetta Cove
2017_H_04,Kaguk Cove,Kaguk 
2017_L_04,Natzuhini Bay,Natzuhini
2017_H_05,Naukati Bay,Naukati
2017_M_02,North Fish Egg Island,North Fish Egg
2017_L_03,North Pass,North Pass
2017_H_02,Nossuk Bay,Nossuk Bay
2017_M_08,Port Refugio,Port Refugio
2017_H_01,Salt Lake Bay,Salt Lake Bay
2017_M_05,Shinaku Inlet,Shinaku Inlet
2017_L_01,Soda Bay,Soda Bay
2017_M_03,South Fish Egg Island,South Fish Egg
2017_M_04,South Wadleigh Island,South Wadleigh
2017_M_06,Trocadero Bay,Trocadero Bay
,Baker Island - eel,Baker Island - eel
,Baker Island - kelp,Baker Island - kelp 
,Craig Highway,Craig Highway
,Heceta,Heceta
,Heceta - kelp,Heceta - kelp
,Klawock airport,Klawock airport
,Shakan - eel,Shakan - eel
,Shakan - kelp,Shakan - kelp
,North Fish Egg - kelp,North Fish Egg-Kelp
