"","Data_Events_SiteID","site_eventID","date","Location","SubLocale","habitat","latitude","longitude","year"
"1",6,"1","4/24/2001","Favorite Channel","Amalga Harbor","sand-gravel",58.5,-134.8,"NA"
"2",7,"2","4/24/2001","Favorite Channel","Amalga Harbor","sand-gravel",58.51,-134.81,"NA"
"3",8,"3","4/26/2001","Favorite Channel","Eagle Beach","sand-gravel",58.51,-134.84,"NA"
"4",9,"4","4/26/2001","Favorite Channel","Eagle Beach","sand-gravel",58.51,-134.84,"NA"
"5",14,"5","4/26/2001","Favorite Channel","Gull Island","kelp",58.5,-134.87,"NA"
"6",15,"6","4/26/2001","Favorite Channel","Gull Island","kelp",58.5,-134.87,"NA"
"7",10,"7","4/26/2001","Lynn Canal","","sand-gravel",58.55,-134.91,"NA"
"8",11,"8","4/26/2001","Lynn Canal","","sand-gravel",58.55,-134.9,"NA"
"9",1,"9","4/26/2001","Lynn Canal","North Island","kelp",58.58,-134.93,"NA"
"10",16,"10","4/26/2001","Lynn Canal","North Island","sand-gravel",58.57,-134.92,"NA"
"11",3,"11","4/27/2001","Lynn Canal","","kelp",58.56,-134.9,"NA"
"12",2,"12","4/27/2001","Lynn Canal","","kelp",58.57,-134.91,"NA"
"13",22,"13","4/27/2001","Lynn Canal","","sand-gravel",58.59,-134.9,"NA"
"14",21,"14","4/27/2001","Lynn Canal","","sand-gravel",58.6,-134.92,"NA"
"15",1,"15","7/24/2001","Lynn Canal","North Island","kelp",58.58,-134.93,"NA"
"16",2,"16","7/24/2001","Lynn Canal","","kelp",58.57,-134.91,"NA"
"17",3,"17","7/24/2001","Lynn Canal","","kelp",58.56,-134.9,"NA"
"18",4,"18","7/24/2001","Lynn Canal","","sand-gravel",58.56,-134.91,"NA"
"19",5,"19","7/24/2001","Lynn Canal","","bedrock",58.56,-134.9,"NA"
"20",6,"20","8/2/2001","Favorite Channel","Amalga Harbor","sand-gravel",58.5,-134.8,"NA"
"21",7,"21","8/2/2001","Favorite Channel","Amalga Harbor","sand-gravel",58.51,-134.81,"NA"
"22",8,"22","8/2/2001","Favorite Channel","Eagle Beach","sand-gravel",58.51,-134.84,"NA"
"23",9,"23","8/2/2001","Favorite Channel","Eagle Beach","sand-gravel",58.51,-134.84,"NA"
"24",10,"24","8/2/2001","Lynn Canal","","sand-gravel",58.55,-134.91,"NA"
"25",11,"25","8/2/2001","Lynn Canal","","sand-gravel",58.55,-134.9,"NA"
"26",12,"26","8/2/2001","Lynn Canal","Sentinel Island","bedrock",58.54,-134.92,"NA"
"27",13,"27","8/2/2001","Lynn Canal","Sentinel Island","bedrock",58.55,-134.93,"NA"
"28",14,"28","8/2/2001","Favorite Channel","Gull Island","kelp",58.5,-134.87,"NA"
"29",15,"29","8/2/2001","Favorite Channel","Gull Island","kelp",58.5,-134.87,"NA"
"30",17,"30","5/11/2001","Berners Bay","Slate Creek Cove","sand-gravel",58.78,-135.01,"NA"
"31",18,"31","5/11/2001","Berners Bay","Slate Creek Cove","sand-gravel",58.79,-135.02,"NA"
"32",19,"32","5/11/2001","Berners Bay","Slate Creek Cove","sand-gravel",58.77,-134.99,"NA"
"33",20,"33","5/11/2001","Berners Bay","","sand-gravel",58.77,-134.94,"NA"
"34",23,"34","7/20/2001","Frederick Sound","West Brother Island","sand-gravel",57.3,-133.87,"NA"
"35",24,"35","7/20/2001","Frederick Sound","West Brother Island","kelp",57.3,-133.86,"NA"
"36",25,"36","7/20/2001","Frederick Sound","West Brother Island","kelp",57.31,-133.85,"NA"
"37",26,"37","7/21/2001","Frederick Sound","East Brother Island","kelp",57.31,-133.83,"NA"
"38",29,"38","7/21/2001","Frederick Sound","East Brother Island","kelp",57.31,-133.82,"NA"
"39",30,"39","7/21/2001","Frederick Sound","East Brother Island","sand-gravel",57.3,-133.82,"NA"
"40",31,"40","7/22/2001","Frederick Sound","East Brother Island","eelgrass",57.29,-133.82,"NA"
"41",32,"41","7/22/2001","Frederick Sound","East Brother Island","kelp",57.3,-133.83,"NA"
