,site,longitude,latitude,n_otters,survey_dat
1,Salt Lake Bay,-133.427429,55.673115,1,8/1/2019
2,Salt Lake Bay,-133.407547,55.67437,1,8/1/2019
3,North Fish Egg & South Fish Egg,-133.170197,55.523594,1,7/29/2019
4,North Fish Egg & South Fish Egg,-133.17363,55.518875,1,7/29/2019
5,North Fish Egg & South Fish Egg,-133.174942,55.517441,1,7/29/2019
6,North Fish Egg & South Fish Egg,-133.219345,55.517365,1,7/29/2019
7,North Fish Egg & South Fish Egg,-133.207367,55.496555,1,7/29/2019
8,North Fish Egg & South Fish Egg,-133.232864,55.508411,1,7/29/2019
9,North Fish Egg & South Fish Egg,-133.276306,55.485603,2,7/29/2019
10,North Fish Egg & South Fish Egg,-133.245819,55.49675,1,7/29/2019
11,North Fish Egg & South Fish Egg,-133.225357,55.502029,1,7/29/2019
12,North Fish Egg & South Fish Egg,-133.21907,55.493694,1,7/29/2019
13,North Fish Egg & South Fish Egg,-133.234772,55.491051,1,7/29/2019
14,North Fish Egg & South Fish Egg,-133.205032,55.492626,3,7/29/2019
15,North Fish Egg & South Fish Egg,-133.213913,55.502838,1,7/29/2019
16,North Fish Egg & South Fish Egg,-133.19133,55.491516,9,7/29/2019
17,North Fish Egg & South Fish Egg,-133.216965,55.48769,2,7/29/2019
18,North Fish Egg & South Fish Egg,-133.19043,55.480289,2,7/29/2019
19,North Fish Egg & South Fish Egg,-133.191437,55.47934,2,7/29/2019
20,North Fish Egg & South Fish Egg,-133.202484,55.478157,1,7/29/2019
21,North Fish Egg & South Fish Egg,-133.20314,55.47665,1,7/29/2019
22,North Fish Egg & South Fish Egg,-133.198044,55.472988,2,7/29/2019
23,North Fish Egg & South Fish Egg,-133.232162,55.482292,1,7/29/2019
24,North Fish Egg & South Fish Egg,-133.231125,55.467129,1,7/29/2019
25,North Fish Egg & South Fish Egg,-133.222656,55.470222,1,7/29/2019
26,North Fish Egg & South Fish Egg,-133.220474,55.471729,1,7/29/2019
27,North Fish Egg & South Fish Egg,-133.194916,55.474579,1,7/29/2019
28,North Fish Egg & South Fish Egg,-133.17514,55.475063,1,7/29/2019
29,South Wadleigh,-133.172058,55.549778,1,7/30/2019
30,South Wadleigh,-133.212387,55.540627,1,7/30/2019
31,South Wadleigh,-133.167221,55.509918,1,7/30/2019
32,South Wadleigh,-133.168854,55.512226,1,7/30/2019
33,South Wadleigh,-133.178665,55.509468,1,7/30/2019
34,Klawock & Shinaku,-133.095779,55.596306,1,7/30/2019
35,Klawock & Shinaku,-133.117142,55.602226,1,7/30/2019
36,Klawock & Shinaku,-133.117905,55.602139,1,7/30/2019
37,Klawock & Shinaku,-133.114182,55.604473,1,7/30/2019
38,Klawock & Shinaku,-133.110764,55.613163,1,7/30/2019
39,Klawock & Shinaku,-133.124542,55.608753,1,7/30/2019
40,Klawock & Shinaku,-133.1362,55.604141,1,7/30/2019
41,Klawock & Shinaku,-133.133331,55.605461,1,7/30/2019
42,Klawock & Shinaku,-133.137894,55.602966,1,7/30/2019
43,Klawock & Shinaku,-133.144287,55.598572,2,7/30/2019
44,Klawock & Shinaku,-133.141495,55.597179,2,7/30/2019
45,Klawock & Shinaku,-133.147049,55.592213,1,7/30/2019
46,Klawock & Shinaku,-133.13591,55.588516,1,7/30/2019
47,Klawock & Shinaku,-133.172531,55.576431,13,7/30/2019
48,Klawock & Shinaku,-133.160965,55.574757,1,7/30/2019
49,Klawock & Shinaku,-133.187302,55.575207,1,7/30/2019
50,Klawock & Shinaku,-133.18985,55.571793,1,7/30/2019
51,Klawock & Shinaku,-133.188629,55.574863,1,7/30/2019
52,Klawock & Shinaku,-133.193924,55.569862,1,7/30/2019
53,Klawock & Shinaku,-133.186462,55.577972,1,7/30/2019
54,Klawock & Shinaku,-133.188644,55.578125,1,7/30/2019
55,Klawock & Shinaku,-133.201309,55.575439,2,7/30/2019
56,Klawock & Shinaku,-133.197021,55.576439,3,7/30/2019
