site,place_name,date,YYYYMMDD,start_time,end_time,slope,tide_height,tide_time,species_common,species_scientific,sp_code,taxon,fork_length,unmeasured,unmeasured_sm,sex
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,120,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,121,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,125,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,134,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,126,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,124,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,125,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,123,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,135,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,121,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,119,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,130,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,135,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,126,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,136,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,130,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,115,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,97,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,128,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,46,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,105,,,
2018_L_01,North Pass,7/26/2018,20180726,655,715,steep to gradual,-0.2,700,Shiner perch,Cymatogaster aggregata,PERCHSH,Vertebrata,125,,,
