Biomarker_ID,Species_common,Weigh_date,Extraction_date,sample_on_foil_mg,foil_post_sample_mg,sample_extracted_mass_mg,Notes
B_001,Butter clam,2/26/2019,2/27/2019,21.61,0.01,21.6,
B_002,Butter clam,2/26/2019,2/27/2019,21.03,0.29,20.74,
B_004,Pointed Macoma,2/26/2019,,22.67,1.23,21.44,
B_004,Pointed Macoma,3/8/2019,3/9/2019,14.94,0.09,14.85,
B_005,Fucus,2/26/2019,2/28/2019,34.18,0.17,34.01,
B_006,Fucus,2/26/2019,2/28/2019,35.74,0,35.74,
B_008,Ulva,2/26/2019,2/28/2019,33.35,0,33.35,
B_009,Ulva,2/26/2019,2/28/2019,32.38,0,32.38,
B_015,Graceful crab,2/26/2019,3/1/2019,22.02,0,22.02,
B_018,Idotea,2/26/2019,3/1/2019,22.76,0.08,22.68,
B_019,Idotea,2/26/2019,3/1/2019,21.27,0.22,21.05,
B_020,Idotea,2/26/2019,3/1/2019,20.59,0,20.59,
B_023,Limpet,2/26/2019,3/4/2019,21.81,0.07,21.74,
B_024,Eelgrass,2/26/2019,3/4/2019,32.26,0.16,32.1,
B_025,Eelgrass,2/26/2019,3/4/2019,31.3,0.1,31.2,
B_030,Fucus,2/26/2019,2/27/2019,36.53,0,36.53,
B_031,Fucus,2/26/2019,2/27/2019,35.78,0,35.78,
B_033,Sugar kelp,2/26/2019,2/27/2019,33.44,0.07,33.37,
B_034,Sugar kelp,2/26/2019,2/28/2019,34.31,0,34.31,
B_035,Ulva,2/26/2019,2/28/2019,30.73,0.09,30.64,
B_036,Ulva,2/26/2019,2/28/2019,36.7,0.19,36.51,
B_039,Eelgrass,2/26/2019,2/28/2019,32.47,0.19,32.28,
B_040,Eelgrass,2/26/2019,3/1/2019,31.47,0.16,31.31,
B_042,Idotea,2/26/2019,3/1/2019,21.76,0.1,21.66,
B_044,Idotea,2/26/2019,3/1/2019,23.73,0.12,23.61,
B_048,Butter clam,2/26/2019,3/1/2019,21.24,0.13,21.11,
B_049,Butter clam,2/26/2019,3/4/2019,20.87,0.22,20.65,
B_050,Macoma sp.,2/25/2019,2/25/2019,21.59,0,21.59,
B_051,Macoma sp.,2/26/2019,3/4/2019,20.66,0.26,20.4,
B_055,Graceful crab,2/26/2019,3/4/2019,21.17,0.07,21.1,
B_056,Limpet,2/26/2019,3/4/2019,22.19,0,22.19,
