site,place_name,date_set,YYYYMMDD_set,time_set,date_pulled,YYYYMMDD_pulled,time_pulled,time_soak_hr,trap_type,string,species_common,species_scientific,taxon,sp_code,carapace_width_mm,sex,fork_length_mm,unmeasured,notes
2018_H_02,Gaktu Cove,7/21/2018,20180721,1400,7/22/2018,20180722,1425,24.45,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,51,M,,,
2018_H_02,Gaktu Cove,7/21/2018,20180721,1400,7/22/2018,20180722,1425,24.45,minnow,1,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,49,M,,,
2018_H_02,Gaktu Cove,7/21/2018,20180721,1400,7/22/2018,20180722,1425,24.45,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,37,M,,,
2018_H_02,Gaktu Cove,7/21/2018,20180721,1400,7/22/2018,20180722,1425,24.45,minnow,2,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,46,M,,,
2018_H_02,Gaktu Cove,7/21/2018,20180721,1400,7/22/2018,20180722,1425,24.45,minnow,2,Great sculpin,Myoxocephalus polyacanthocephalus,Vertebrata,SCULGRT,,,41,,
2018_H_02,Gaktu Cove,7/21/2018,20180721,1400,7/22/2018,20180722,1425,24.45,minnow,3,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,56,M,,,
2018_H_02,Gaktu Cove,7/21/2018,20180721,1400,7/22/2018,20180722,1425,24.45,minnow,3,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,52,M,,,
2018_H_02,Gaktu Cove,7/21/2018,20180721,1400,7/22/2018,20180722,1425,24.45,minnow,3,Helmet crab,Telmessus cheiragonus,Decapoda,CRABHEL,45,M,,,
2018_H_02,Gaktu Cove,7/21/2018,20180721,1400,7/22/2018,20180722,1425,24.45,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,140,,
2018_H_02,Gaktu Cove,7/21/2018,20180721,1400,7/22/2018,20180722,1425,24.45,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,100,,partially eaten
2018_H_02,Gaktu Cove,7/21/2018,20180721,1400,7/22/2018,20180722,1425,24.45,minnow,3,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,150,,
2018_H_02,Gaktu Cove,7/21/2018,20180721,1400,7/22/2018,20180722,1425,24.45,minnow,4,Dungeness crab,Metacarcinus magister,Decapod,CRABDUN,51,M,,,
2018_H_02,Gaktu Cove,7/21/2018,20180721,1400,7/22/2018,20180722,1425,24.45,minnow,4,Pacific staghorn sculpin,Leptocottus armatus,Vertebrata,SCULSTG,,,150,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,69,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,61,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,54,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,56,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,60,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,60,F,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,65,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,57,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,65,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,55,M,,,
2018_H_03,Nossuk Bay,7/21/2018,20180721,1310,7/22/2018,20180722,1325,24.25,minnow,1,Dungeness crab,Metacarcinus magister,Decapoda,CRABDUN,60,M,,,
