"","site","date","YYYYMMDD","primary_observer","secondary_observer","start_time","end_time","depth_m","quadrat","macroalgae_cover_0.25msq","diatom_cover_0.25msq","eelgrass_shoots_0.25msq","flowering_shoots_0.25msq","notes"
"1","2017_H_01","4/29/2017",20170429,"BH","WR",1055,1115,-0.5,1,5,NA,54,0,""
"2","2017_H_01","4/29/2017",20170429,"BH","WR",1055,1115,-0.5,2,0,NA,41,0,""
"3","2017_H_01","4/29/2017",20170429,"BH","WR",1055,1115,-0.5,3,0,NA,59,0,""
"4","2017_H_01","4/29/2017",20170429,"BH","WR",1055,1115,-0.5,4,0,NA,46,0,""
"5","2017_H_01","4/29/2017",20170429,"BH","WR",1055,1115,-0.5,5,0,NA,66,0,""
"6","2017_H_01","4/29/2017",20170429,"BH","WR",1055,1115,-0.5,6,0,NA,60,0,""
"7","2017_H_01","4/29/2017",20170429,"BH","WR",1055,1115,-0.5,7,0,NA,72,0,""
"8","2017_H_01","4/29/2017",20170429,"BH","WR",1055,1115,-0.5,8,0,NA,55,0,""
"9","2017_H_02","5/29/2017",20170529,"WR","CM",1135,1205,-0.5,1,0,20,42,0,""
"10","2017_H_02","5/29/2017",20170529,"WR","CM",1135,1205,-0.5,2,0,30,48,0,""
"11","2017_H_02","5/29/2017",20170529,"WR","CM",1135,1205,-0.5,3,0,25,79,0,""
"12","2017_H_02","5/29/2017",20170529,"WR","CM",1135,1205,-0.5,4,0,28,48,0,""
"13","2017_H_02","5/29/2017",20170529,"WR","CM",1135,1205,-0.5,5,0,24,62,0,""
"14","2017_H_02","5/29/2017",20170529,"WR","CM",1135,1205,-0.5,6,0,35,69,0,"dead c.gracillis"
"15","2017_H_02","5/29/2017",20170529,"WR","CM",1135,1205,-0.5,7,0,98,62,0,""
"16","2017_H_02","5/29/2017",20170529,"WR","CM",1135,1205,-0.5,8,0,98,80,0,""
"17","2017_H_03","6/25/2017",20170625,"WR","CM",1000,1030,-0.5,1,0,100,45,2,""
"18","2017_H_03","6/25/2017",20170625,"WR","CM",1000,1030,-0.5,2,0,100,74,1,""
"19","2017_H_03","6/25/2017",20170625,"WR","CM",1000,1030,-0.5,3,0,100,65,2,""
"20","2017_H_03","6/25/2017",20170625,"WR","CM",1000,1030,-0.5,4,0,100,60,0,""
"21","2017_H_03","6/25/2017",20170625,"WR","CM",1000,1030,-0.5,5,0,100,64,3,""
"22","2017_H_03","6/25/2017",20170625,"WR","CM",1000,1030,-0.5,6,0,100,27,1,""
"23","2017_H_03","6/25/2017",20170625,"WR","CM",1000,1030,-0.5,7,0,100,33,1,"threespine stickleback"
"24","2017_H_03","6/25/2017",20170625,"WR","CM",1000,1030,-0.5,8,0,100,73,2,""
"25","2017_H_04","6/24/2017",20170624,"WR","CM",923,1050,-0.61,1,0,100,42,0,""
"26","2017_H_04","6/24/2017",20170624,"WR","CM",923,1050,-0.61,2,0,75,25,0,""
