"region","site","latitude","longitude","date_yyyy.mm.dd","year","replicate","n_otter"
"west prince of wales island, alaska","Blanquizal Bay",55.650421,-133.411621,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.643986,-133.409958,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.632877,-133.408936,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.632271,-133.408524,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.634811,-133.404785,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.630421,-133.398849,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.631695,-133.399063,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.630802,-133.3992,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.62928,-133.404343,"2017-08-06",2017,1,5
"west prince of wales island, alaska","Blanquizal Bay",55.62957,-133.397583,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.627579,-133.405762,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.62888,-133.395462,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.630211,-133.406326,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.629707,-133.411423,"2017-08-06",2017,1,2
"west prince of wales island, alaska","Blanquizal Bay",55.631409,-133.414459,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.626537,-133.404373,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.622993,-133.399734,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.622822,-133.398956,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.6259,-133.390839,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.621567,-133.387558,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.621197,-133.398743,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.624672,-133.408035,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.623333,-133.410934,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.626751,-133.418076,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.62841,-133.420425,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.630421,-133.423187,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.63504,-133.425491,"2017-08-06",2017,1,1
"west prince of wales island, alaska","Blanquizal Bay",55.632103,-133.432846,"2017-08-06",2017,1,15
"west prince of wales island, alaska","Blanquizal Bay",55.632984,-133.432892,"2017-08-06",2017,1,4
"west prince of wales island, alaska","Blanquizal Bay",55.637779,-133.433121,"2017-08-06",2017,1,6
