region,site,latitude,longitude,date_yyyy.mm.dd,year,n_otter
"west prince of wales island, alaska",2017_H_01,55.68129,-133.370499,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.680126,-133.384644,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.683109,-133.39151,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.687454,-133.398102,13/6/17,2017,6
"west prince of wales island, alaska",2017_H_01,55.677181,-133.395096,13/6/17,2017,2
"west prince of wales island, alaska",2017_H_01,55.680134,-133.40155,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.682785,-133.401367,13/6/17,2017,12
"west prince of wales island, alaska",2017_H_01,55.677906,-133.414276,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.670311,-133.406708,13/6/17,2017,3
"west prince of wales island, alaska",2017_H_01,55.668968,-133.397598,13/6/17,2017,2
"west prince of wales island, alaska",2017_H_01,55.670788,-133.410782,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.670124,-133.409973,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.668713,-133.412994,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.667927,-133.416351,13/6/17,2017,2
"west prince of wales island, alaska",2017_H_01,55.669147,-133.409668,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.673531,-133.423248,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.679821,-133.37355,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.703995,-133.400558,13/6/17,2017,3
"west prince of wales island, alaska",2017_H_01,55.696404,-133.402023,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.693138,-133.403473,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.689583,-133.400864,13/6/17,2017,7
"west prince of wales island, alaska",2017_H_01,55.689545,-133.390106,13/6/17,2017,7
"west prince of wales island, alaska",2017_H_01,55.689499,-133.389832,13/6/17,2017,7
"west prince of wales island, alaska",2017_H_01,55.689636,-133.390015,13/6/17,2017,3
"west prince of wales island, alaska",2017_H_01,55.689648,-133.383362,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.688053,-133.382614,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.692844,-133.381119,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.689014,-133.378616,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.680443,-133.373596,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.691071,-133.362961,13/6/17,2017,3
"west prince of wales island, alaska",2017_H_01,55.689541,-133.357407,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.682083,-133.368042,13/6/17,2017,2
"west prince of wales island, alaska",2017_H_01,55.675625,-133.381119,13/6/17,2017,4
"west prince of wales island, alaska",2017_H_01,55.672958,-133.381912,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.683666,-133.379776,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.684475,-133.388062,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.683258,-133.402786,13/6/17,2017,11
"west prince of wales island, alaska",2017_H_01,55.667957,-133.408218,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.668655,-133.411209,13/6/17,2017,2
"west prince of wales island, alaska",2017_H_01,55.676907,-133.433044,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.674073,-133.433657,13/6/17,2017,5
"west prince of wales island, alaska",2017_H_01,55.672249,-133.430969,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.673492,-133.427017,13/6/17,2017,12
"west prince of wales island, alaska",2017_H_01,55.662968,-133.432953,13/6/17,2017,24
"west prince of wales island, alaska",2017_H_01,55.656342,-133.41925,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.659824,-133.423828,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.659767,-133.425949,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.663696,-133.418854,13/6/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.662369,-133.421265,13/6/17,2017,5
"west prince of wales island, alaska",2017_H_01,55.659576,-133.421387,13/6/17,2017,9
"west prince of wales island, alaska",2017_H_01,55.696905,-133.399301,9/8/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.700661,-133.393661,9/8/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.694904,-133.395126,9/8/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.691959,-133.391464,9/8/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.690411,-133.401382,9/8/17,2017,2
"west prince of wales island, alaska",2017_H_01,55.688389,-133.398941,9/8/17,2017,2
"west prince of wales island, alaska",2017_H_01,55.689182,-133.390991,9/8/17,2017,12
"west prince of wales island, alaska",2017_H_01,55.687977,-133.383972,9/8/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.690334,-133.366882,9/8/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.688313,-133.365417,9/8/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.686596,-133.366959,9/8/17,2017,3
"west prince of wales island, alaska",2017_H_01,55.686504,-133.361374,9/8/17,2017,2
"west prince of wales island, alaska",2017_H_01,55.692394,-133.363052,9/8/17,2017,2
"west prince of wales island, alaska",2017_H_01,55.684082,-133.36879,9/8/17,2017,4
"west prince of wales island, alaska",2017_H_01,55.68924,-133.359238,9/8/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.681263,-133.372253,9/8/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.677513,-133.376175,9/8/17,2017,3
"west prince of wales island, alaska",2017_H_01,55.68478,-133.37561,9/8/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.673893,-133.379333,9/8/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.673279,-133.381546,9/8/17,2017,1
"west prince of wales island, alaska",2017_H_01,55.680717,-133.384293,9/8/17,2017,1
