sample_no,bed_no,date_MM.DD.YY,waypt,latitude_decimal_degrees,longitude_decimal_degrees,weight_kg,length_m,growing_tip,erosion
1,1,07.20.18,532,55.453086,-133.384134,1.6,5,N,None
2,1,07.20.18,532,55.453086,-133.384134,2.43,5.85,N,None
3,1,07.20.18,532,55.453086,-133.384134,0.58,1.6,Y,None
4,1,07.20.18,532,55.453086,-133.384134,1.29,4.6,N,N/A
5,1,07.20.18,532,55.453086,-133.384134,2.3,7,Y,None
6,1,07.20.18,532,55.453086,-133.384134,0.24,1.6,Y,None
7,1,07.20.18,532,55.453086,-133.384134,3.24,8.5,Y,Light
8,1,07.20.18,532,55.453086,-133.384134,0.34,1.55,Y,None
9,1,07.20.18,534,55.4613,-133.39433,2.7,4.1,Y,None
10,1,07.20.18,534,55.4613,-133.39433,1.68,4.13,Y,None
11,1,07.20.18,534,55.4613,-133.39433,0.81,3.06,Y,None
12,1,07.20.18,534,55.4613,-133.39433,1.34,4.4,Y,Light
13,1,07.20.18,534,55.4613,-133.39433,0.26,3.02,Y,Moderate
14,1,07.20.18,534,55.4613,-133.39433,0.41,2.9,Y,Moderate
25,3,07.20.18,535,55.483734,-133.416616,1.83,4.5,Y,None
26,3,07.20.18,537,55.485601,-133.416438,3.14,6.55,N,Light
27,3,07.20.18,538,55.486694,-133.417295,3.15,7.6,Y,None
28,3,07.20.18,539,55.486795,-133.417792,2.12,3.53,Y,None
29,3,07.20.18,540,55.486948,-133.416832,3.67,8.99,Y,Light
30,3,07.20.18,540,55.486948,-133.416832,0.73,1.14,Y,None
31,4,07.20.18,541,55.559685,-133.43223,1.16,7.3,N,Heavy
32,4,07.20.18,542,55.55988,-133.432487,0.82,4.3,Y,Heavy
33,4,07.20.18,542,55.55988,-133.432487,1.32,4.6,N,Heavy
34,4,07.20.18,542,55.55988,-133.432487,2.15,7.4,Y,Moderate
35,4,07.20.18,542,55.55988,-133.432487,0.44,1,N,Moderate
36,5,07.20.18,543,55.562872,-133.430881,2.45,4.4,N,Moderate
37,5,07.20.18,543,55.562872,-133.430881,1.05,7.7,N,Heavy
38,5,07.20.18,543,55.562872,-133.430881,2.3,8.6,Y,Moderate
39,5,07.20.18,543,55.562872,-133.430881,0.62,1.4,Y,Light
40,5,07.20.18,543,55.562872,-133.430881,4.15,5.9,N,Light
41,6,07.20.18,544,55.56781,-133.292534,3.4,7.8,Y,None
42,6,07.20.18,544,55.56781,-133.292534,5.35,12.2,Y,Light
