sample_no,bed_no,date_MM.DD.YY,waypt,latitude_decimal_degrees,longitude_decimal_degrees,stipe_length_m,subbulb_diameter_cm,bulb_diameter_cm,stipe_weight_kg,blade_length_m,blade_weight_kg,erosion
15,2,07.20.18,534,55.4613,-133.39433,6.5,5.2,6.4,1.15,4.6,4.04,None
16,2,07.20.18,534,55.4613,-133.39433,4.84,4.2,5.9,1.17,5,3.14,None
17,2,07.20.18,534,55.4613,-133.39433,5.86,4.1,6.2,1.02,4.1,3.69,None
18,2,07.20.18,534,55.4613,-133.39433,3.14,3.7,6.5,0.39,2.5,1,None
19,2,07.20.18,534,55.4613,-133.39433,3.6,4.8,6.7,1.65,10.85,6.25,None
20,2,07.20.18,534,55.4613,-133.39433,4.62,4.9,6.6,1.42,6,5.95,Light
21,2,07.20.18,534,55.4613,-133.39433,3.8,5.5,6.8,1.8,5.4,4.45,None
22,2,07.20.18,534,55.4613,-133.39433,2.07,4,5.9,0.73,4.2,2.18,None
23,2,07.20.18,534,55.4613,-133.39433,4.44,3.9,5.8,0.45,2.87,1.22,None
24,2,07.20.18,534,55.4613,-133.39433,3.76,5.2,8.8,1.65,5.85,4.5,None
83,12,07.21.18,552,55.582975,-133.293008,5.98,2.9,5.2,0.65,3.1,2.22,None
84,12,07.21.18,552,55.582975,-133.293008,10.41,3.4,6.6,1.19,2.5,1.54,None
85,12,07.21.18,552,55.582975,-133.293008,3.11,2.7,6.2,0.33,1,0.49,None
86,12,07.21.18,552,55.582975,-133.293008,2.52,3.6,6.3,0.71,2.5,1.42,None
87,12,07.21.18,552,55.582975,-133.293008,1.68,3,7,0.37,2.2,0.94,None
88,12,07.21.18,552,55.582975,-133.293008,4.92,3.8,7.3,1.07,5.15,3.39,None
89,12,07.21.18,552,55.582975,-133.293008,2.54,3.2,6.5,0.66,2.6,1.54,None
90,12,07.21.18,552,55.582975,-133.293008,4.97,3.4,7.9,1.17,3.8,2.11,None
91,12,07.21.18,552,55.582975,-133.293008,6.13,4.3,6.6,1.44,2.6,2.44,None
92,12,07.21.18,552,55.582975,-133.293008,3.47,3.2,6.7,0.63,2.5,1.08,None
93,12,07.21.18,552,55.582975,-133.293008,1.63,2.6,5.7,0.2,1.75,0.66,None
94,12,07.21.18,552,55.582975,-133.293008,3.25,3.2,5.9,0.42,1.4,0.68,None
95,12,07.21.18,552,55.582975,-133.293008,2.97,4.1,6.8,1.02,3.54,2.44,None
96,12,07.21.18,552,55.582975,-133.293008,2.43,2.5,5.3,0.19,1.16,0.23,None
97,12,07.21.18,552,55.582975,-133.293008,2.1,2.2,5.8,0.14,1,0.29,None
98,12,07.21.18,552,55.582975,-133.293008,1.81,2.2,5.6,0.15,1.42,0.43,None
189,27,07.22.18,568,55.795575,-133.295525,4.32,4.9,7.4,2.51,4.7,4.76,N/A
190,27,07.22.18,568,55.795575,-133.295525,2.97,3.9,6.4,0.95,3.7,2.44,None
191,27,07.22.18,568,55.795575,-133.295525,4.24,5.1,7.8,2.1,5.9,6.03,None
