site_name,site_code,latitude_N,longitude_E,site_water_area_km2,yrs_sampled,lead,project
Big Clam Bay a,L_10_a,55.227691,-132.973932,6.485,2018,Tiff,"Disturbance, Carbon (shallow)"
Big Tree Bay a,M_10_a,55.585855,-133.215512,13.8025,2018,Tiff,"Disturbance, Carbon (shallow)"
Blanquizal Bay a,H_07_a,55.62082,-133.38664,14.5775,"2017, 2018","Wendel, Tiff","Seagrass trophic community, Disturbance, Carbon (deep), Carbon (shallow)"
Chusini Cove a,H_03_a,55.80692,-133.171,12.58,2017,Wendel,"Seagrass trophic community, Carbon (deep)"
Chusini Cove b,H_03_b,55.813558,-133.167403,12.57,2018,Tiff,"Disturbance, Carbon (shallow)"
Dunbar Inlet a,L_05_a,55.0848,-132.826,9.44,"2017, 2018","Wendel, Tiff","Seagrass trophic community, Disturbance, Carbon (deep), Carbon (shallow)"
Farallon Bay a,L_06_a,55.19112,-133.105314,7.475,2017,Wendel,"Seagrass trophic community, Carbon (deep)"
Garcia Cove a,M_07_a,55.552669,-133.431392,10.0575,"2017, 2018","Wendel, Tiff","Seagrass trophic community, Disturbance, Carbon (deep), Carbon (shallow)"
Goats Mouth Inlet a,L_02_a,55.19286,-132.9,4.4925,"2017, 2018","Wendel, Tiff","Seagrass trophic community, Disturbance, Carbon (deep), Carbon (shallow)"
Guktu Cove a,H_06_a,55.739816,-133.312022,8.7775,2017,Wendel,"Seagrass trophic community, Carbon (deep)"
Guktu Cove b,H_06_b,55.740264,-133.311306,8.33,2018,Tiff,"Disturbance, Carbon (shallow)"
Hetta Cove a,L_07_a,55.155625,-132.589934,11.6425,2017,Wendel,"Seagrass trophic community, Carbon (deep)"
Kaguk Cove a,H_04_a,55.73361,-133.29,6.745,"2017, 2018","Wendel, Tiff","Seagrass trophic community, Disturbance, Carbon (deep), Carbon (shallow)"
Kinani Point a,H_08_a,55.889904,-133.250006,10.41,2018,Tiff,"Disturbance, Carbon (shallow)"
Mushroom Island a,L_09_a,55.214375,-132.846741,17.635,2018,Tiff,"Disturbance, Carbon (shallow)"
N Fish Egg Island a,M_02_a,55.49709,-133.17,15.49,"2017, 2018","Wendel, Tiff","Seagrass trophic community, Disturbance, Carbon (deep), Carbon (shallow)"
Natzuhini Bay a,L_04_a,55.25051,-132.883,11.1025,2017,Wendel,"Seagrass trophic community, Carbon (deep)"
Natzuhini Bay b,L_04_b,55.247539,-132.879147,13.15,2018,Tiff,"Disturbance, Carbon (shallow)"
Natzuhini Bay c,L_04_c,55.241887,-132.837131,15.03,2018,Tiff,"Disturbance, Carbon (shallow)"
Naukati Bay a,H_05_a,55.862405,-133.190722,14.9075,2017,Wendel,"Seagrass trophic community, Carbon (deep)"
Naukati Bay b,H_05_b,55.865721,-133.156399,11.3525,2018,Tiff,"Disturbance, Carbon (shallow)"
North Pass a,L_03_a,55.22962,-132.925,6.59,2017,Wendel,"Seagrass trophic community, Carbon (deep)"
North Pass b,L_03_b,55.228252,-132.910143,8.1725,2018,Tiff,"Disturbance, Carbon (shallow)"
Nossuk Bay a,H_02_a,55.7073,-133.342,7.435,2017,Wendel,"Seagrass trophic community, Carbon (deep)"
Nossuk Bay b,H_02_b,55.714689,-133.358474,6.4025,2018,Tiff,"Disturbance, Carbon (shallow)"
Nossuk Bay c,H_02_c,55.722637,-133.325372,6.4375,2018,Tiff,"Disturbance, Carbon (shallow)"
Port Caldera a,M_09_a,55.36209,-133.161232,5.83,2018,Tiff,"Disturbance, Carbon (shallow)"
Port Refugio a,M_08_a,55.282137,-133.334028,5.025,"2017, 2018","Wendel, Tiff","Seagrass trophic community, Disturbance, Carbon (deep), Carbon (shallow)"
S Fish Egg Island a,M_03_a,55.485687,-133.174447,24.2725,"2017, 2018","Wendel, Tiff","Seagrass trophic community, Disturbance, Carbon (deep), Carbon (shallow)"
S Wadleigh Island a,M_04_a,55.52904,-133.147,20.6,"2017, 2018","Wendel, Tiff","Seagrass trophic community, Disturbance, Carbon (deep), Carbon (shallow)"
Salt Lake Bay a,H_01_a,55.67264,-133.378,9.05,2017,Wendel,"Seagrass trophic community, Carbon (deep)"
Salt Lake Bay b,H_01_b,55.684275,-133.377377,12.49,2018,Tiff,"Disturbance, Carbon (shallow)"
Shinaku Inlet a,M_05_a,55.599083,-133.160431,11.335,"2017, 2018","Wendel, Tiff","Seagrass trophic community, Disturbance, Carbon (deep), Carbon (shallow)"
Soda Bay a,L_01_a,55.264232,-132.994318,9.52,"2017, 2018","Wendel, Tiff","Seagrass trophic community, Disturbance, Carbon (deep), Carbon (shallow)"
Sukkwan Narrows a,L_08_a,55.188785,-132.842514,13.8775,2018,Tiff,"Disturbance, Carbon (shallow)"
Tracadero Bay a,M_06_a,55.344914,-133.0011,10.9825,2017,Wendel,"Seagrass trophic community, Carbon (deep)"
