site_name,site_code,so_region,year,date_mm.dd.yyyy,date_yyyy.mm.dd,transect_location,transect_area_m2,species_common,species_scientific,species_code,death_estimate,width_mm,notes,measurers
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Edge,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,78,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Edge,50,Cockle,Clinocardium nutallii,CLAMCK,Sea Otter,41,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Edge,50,Pointed macoma,Macoma inquinata,CLAMMP,Sea Otter,41,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Edge,50,Pointed macoma,Macoma inquinata,CLAMMP,Whole,49,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Edge,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,55,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Edge,50,Steamer clam,Protothaca staminea,CLAMST,Whole,21,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Edge,50,Steamer clam,Protothaca staminea,CLAMST,Whole,39,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Edge,50,Steamer clam,Protothaca staminea,CLAMST,Whole,29,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Edge,50,Steamer clam,Protothaca staminea,CLAMST,Whole,34,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Edge,50,Steamer clam,Protothaca staminea,CLAMST,Whole,33,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Inside,50,Bentnose macoma,Macoma nasuta,CLAMMB,Sea Otter,46,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Inside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,55,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Inside,50,Steamer clam,Protothaca staminea,CLAMST,Whole,31,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Sea Otter,48,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Sea Otter,63,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Sea Otter,53,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Sea Otter,43,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Sea Otter,45,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Sea Otter,37,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,51,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,80,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,81,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,68,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,73,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,65,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,61,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,73,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,61,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,56,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,54,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,50,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,48,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,48,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Butter clam,Saxidomus gigantea,CLAMBU,Whole,36,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,California sunset clam,Saxidomus nuttalli,CLAMCA,Whole,31,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Cockle,Clinocardium nutallii,CLAMCK,Sea Otter,51,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Cockle,Clinocardium nutallii,CLAMCK,Whole,35,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Horse clam,Tresus nuttallii,CLAMHO,Sea Otter,56,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Pointed macoma,Macoma inquinata,CLAMMP,Crab,38,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Pointed macoma,Macoma inquinata,CLAMMP,Whole,27,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Pointed macoma,Macoma inquinata,CLAMMP,Whole,27,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Pointed macoma,Macoma inquinata,CLAMMP,Drill,31,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,25,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,28,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,26,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,40,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,43,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,49,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,36,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,31,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,37,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,25,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,30,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,30,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,30,,"Tiff, Sarah, Lia"
Salt Lake Bay b,H_01_b,High,2018,5182018,20180518,Outside,50,Steamer clam,Protothaca staminea,CLAMST,Sea Otter,32,,"Tiff, Sarah, Lia"
