"","site_name","site_code","latitude_N","longitude_E","so_region","year","date_mm.dd.yyyy","date_yyyy.mm.dd","site_water_area_km2","trans_loc","trans_area_m2","species_common","species_scientific","species_code","death_estimate","width_mm","notes","measurers"
"1","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Edge",50,"Butter clam","Saxidomus gigantea","CLAMBU","Sea Otter",83,"","Maggie, Wendel"
"2","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Edge",50,"Butter clam","Saxidomus gigantea","CLAMBU","Sea Otter",61,"","Maggie, Wendel"
"3","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Edge",50,"Butter clam","Saxidomus gigantea","CLAMBU","Sea Otter",70,"","Maggie, Wendel"
"4","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Edge",50,"Butter clam","Saxidomus gigantea","CLAMBU","Sea Otter",70,"","Maggie, Wendel"
"5","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Edge",50,"Butter clam","Saxidomus gigantea","CLAMBU","Whole",72,"","Maggie, Wendel"
"6","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Edge",50,"Butter clam","Saxidomus gigantea","CLAMBU","Whole",64,"","Maggie, Wendel"
"7","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Edge",50,"Butter clam","Saxidomus gigantea","CLAMBU","Whole",68,"","Maggie, Wendel"
"8","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Edge",50,"Butter clam","Saxidomus gigantea","CLAMBU","Whole",71,"","Maggie, Wendel"
"9","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Edge",50,"Cockle","Clinocardium nutallii","CLAMCK","Sea Otter",20,"Estimate","Maggie, Wendel"
"10","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Edge",50,"Cockle","Clinocardium nutallii","CLAMCK","Whole",77,"","Maggie, Wendel"
"11","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Edge",50,"Cockle","Clinocardium nutallii","CLAMCK","Whole",72,"","Maggie, Wendel"
"12","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Edge",50,"Cockle","Clinocardium nutallii","CLAMCK","Whole",49,"","Maggie, Wendel"
"13","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Edge",50,"Cockle","Clinocardium nutallii","CLAMCK","Whole",60,"","Maggie, Wendel"
"14","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Edge",50,"Steamer clam","Protothaca staminea","CLAMST","Whole",56,"","Maggie, Wendel"
"15","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Inside",50,"Bentnose macoma","Macoma nasuta","CLAMMB","Whole",41,"","Maggie, Wendel"
"16","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Inside",50,"Bentnose macoma","Macoma nasuta","CLAMMB","Whole",56,"","Maggie, Wendel"
"17","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Inside",50,"Cockle","Clinocardium nutallii","CLAMCK","Crab",88,"","Maggie, Wendel"
"18","Big Clam Bay a","L_10_a",55.227691,-132.973932,"Low",2018,"7132018",20180713,6.485,"Inside",50,"Cockle","Clinocardium nutallii","CLAMCK","Crab",76,"","Maggie, Wendel"
