site_code,site_name,latitude_N,longitude_E,year,date_MMDDYY,date_YYYYMMDD,trans_loc,bin_no,bin_area_m2,pit_count_bin,sed1_type,sed2_type,sed1_no,sed2_no,field_collector,notes
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Outside,1,40,22,course sand,pebble,5,6,"Lia, Maggie",Re-surveyed because initial survey transects placed in the wrong spot
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Outside,2,40,21,course sand,gravel,5,7,"Lia, Maggie",
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Outside,3,40,22,pebble,cobble,6,8,"Lia, Maggie",
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Outside,4,40,23,course sand,cobble,5,8,"Lia, Maggie",
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Outside,5,40,18,course sand,cobble,5,8,"Lia, Maggie",
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Edge,1,40,8,sandy mud,cobble,2,8,"Lia, Ginny",
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Edge,2,40,10,sandy mud,sandy mud,2,2,"Lia, Ginny",
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Edge,3,40,7,sandy mud,sandy mud,2,2,"Lia, Ginny",
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Edge,4,40,11,sandy mud,pebble,2,6,"Lia, Ginny",
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Edge,5,40,7,sandy mud,course sand,2,5,"Lia, Ginny",
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Inside,1,40,1,mud,mud,1,1,"Lia, Ginny",
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Inside,2,40,2,mud,mud,1,1,"Lia, Ginny",
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Inside,3,40,4,mud,mud,1,1,"Lia, Ginny",
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Inside,4,40,3,mud,mud,1,1,"Lia, Ginny",
H_01_b,Salt Lake Bay b,-133.377377,55.684275,2018,5/18/18,20180518,Inside,5,40,6,mud,mud,1,1,"Lia, Ginny",
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Outside,1,40,12,sand,cobble,4,8,Tiff,Shell hash moderate; freshwater seep and tiny stream input
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Outside,2,40,17,sand,cobble,4,8,Tiff,
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Outside,3,40,20,sand,gravel,4,7,Tiff,
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Outside,4,40,12,muddy sand,pebble,3,6,Tiff,
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Outside,5,40,20,muddy sand,pebble,3,6,Tiff,
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Edge,1,40,5,muddy sand,sand,3,4,Tiff,Shell hash moderate; freshwater seep and tiny stream input
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Edge,2,40,2,sandy mud,sand,2,4,Tiff,
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Edge,3,40,4,muddy sand,sand,3,4,Tiff,
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Edge,4,40,1,sandy mud,cobble,2,8,Tiff,
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Edge,5,40,4,muddy sand,cobble,3,8,Tiff,
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Inside,1,40,0,sandy mud,mud,2,1,Tiff,Shell hash moderate; freshwater seep and tiny stream input
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Inside,2,40,1,sandy mud,mud,2,1,Tiff,
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Inside,3,40,0,sandy mud,sandy mud,2,2,Tiff,
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Inside,4,40,0,sandy mud,sandy mud,2,2,Tiff,
H_02_b,Nossuk Bay b,-133.348326,55.709094,2018,5/19/18,20180519,Inside,5,40,0,sandy mud,sandy mud,2,2,Tiff,
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Edge,1,40,2,muddy sand,sandy mud,3,2,"Lia, Ginny",
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Edge,2,40,2,muddy sand,sandy mud,3,2,"Lia, Ginny",
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Edge,3,40,2,muddy sand,sandy mud,3,2,"Lia, Ginny",
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Edge,4,40,1,muddy sand,sandy mud,3,2,"Lia, Ginny",
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Edge,5,40,3,muddy sand,sandy mud,3,2,"Lia, Ginny",
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Outside,1,40,5,muddy sand,gravel,3,7,"Lia, Ginny",
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Outside,2,40,14,muddy sand,gravel,3,7,"Lia, Ginny",
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Outside,3,40,12,muddy sand,gravel,3,7,"Lia, Ginny",
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Outside,4,40,14,muddy sand,gravel,3,7,"Lia, Ginny",
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Outside,5,40,23,muddy sand,gravel,3,7,"Lia, Ginny",
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Inside,1,40,0,mud,mud,1,1,"Lia, Ginny",Done on snorkel.
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Inside,2,40,1,mud,mud,1,1,"Lia, Ginny",
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Inside,3,40,0,mud,mud,1,1,"Lia, Ginny",
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Inside,4,40,0,mud,mud,1,1,"Lia, Ginny",
H_02_c,Nossuk Bay c,-133.325372,55.722637,2018,6/30/18,20180630,Inside,5,40,1,mud,mud,1,1,"Lia, Ginny",
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Inside,1,40,16,mud,mud,1,1,Lia,
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Inside,2,40,12,mud,mud,1,1,Lia,
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Inside,3,40,8,mud,mud,1,1,Lia,
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Inside,4,40,13,mud,mud,1,1,Lia,
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Inside,5,40,10,mud,mud,1,1,Lia,
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Edge,1,40,11,mud,mud,1,1,Tiff,
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Edge,2,40,12,mud,mud,1,1,Tiff,
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Edge,3,40,5,mud,mud,1,1,Tiff,
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Edge,4,40,5,mud,mud,1,1,Tiff,
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Edge,5,40,4,mud,mud,1,1,Tiff,
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Outside,1,40,4,sandy mud,sand,2,4,"Lia, Liz",
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Outside,2,40,13,muddy sand,sand,3,4,"Lia, Liz",
H_03_b,Chusini Cove b,-133.167403,55.813558,2018,6/13/18,20180613,Outside,3,40,11,sandy mud,sand,2,4,"Lia, Liz",
