"site_code","site_name","latitude_N","longitude_E","year","date_MMDDYY","date_YYYYMMDD","trans_loc","bin_no","bin_area_m2","pit_count_bin","pit_density_m2","sed1_type","sed2_type","sed1_no","sed2_no","sed_avg_no","field_collector","notes"
"H_01_a","Salt Lake Bay a",55.67264,-133.378,2017,"8/18/2013",20170819,"Edge",1,20,0,0,"Mud","Mud",1,1,1,"Ashley Bolwerk, Nicole LaRoche",NA
"H_01_a","Salt Lake Bay a",55.67264,-133.378,2017,"8/18/2013",20170819,"Edge",2,20,0,0,"Sandy Mud","Sand",2,3,2.5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_01_a","Salt Lake Bay a",55.67264,-133.378,2017,"8/18/2013",20170819,"Edge",3,20,2,0.1,"Sand","Pebble",4,6,5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_01_a","Salt Lake Bay a",55.67264,-133.378,2017,"8/18/2013",20170819,"Edge",4,20,0,0,"Sand","Pebble",4,3,3.5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_01_a","Salt Lake Bay a",55.67264,-133.378,2017,"8/18/2013",20170819,"Edge",5,20,0,0,"Muddy Sand","Muddy Sand",3,3,3,"Ashley Bolwerk, Nicole LaRoche",NA
"H_01_a","Salt Lake Bay a",55.67264,-133.378,2017,"8/18/2013",20170819,"Edge",6,20,0,0,"Sand","Pebble",4,6,5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_01_a","Salt Lake Bay a",55.67264,-133.378,2017,"8/18/2013",20170819,"Edge",7,20,3,0.15,"Sand","Pebble",4,6,5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_01_a","Salt Lake Bay a",55.67264,-133.378,2017,"8/18/2013",20170819,"Edge",8,20,0,0,"Sand","Pebble",4,6,5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_01_a","Salt Lake Bay a",55.67264,-133.378,2017,"8/18/2013",20170819,"Edge",9,20,1,0.05,"Sand","Pebble",4,6,5,"Ashley Bolwerk, Nicole LaRoche",NA
"H_01_a","Salt Lake Bay a",55.67264,-133.378,2017,"8/18/2013",20170819,"Edge",10,20,0,0,"Sand","Pebble",4,6,5,"Ashley Bolwerk, Nicole LaRoche",NA
