site_name,site_code,latitude,longitude,year_surveyed,site_water_area_km2
Big Clam Bay a,L_10_a,55.227691,-132.973932,2018,6.485
Big Tree Bay a,M_10_a,55.585855,-133.215512,2018,13.8025
Blanquizal Bay a,H_07_a,55.62082,-133.38664,"2017, 2018",14.5775
Chusini Cove a,H_03_a,55.80692,-133.171,2017,12.58
Chusini Cove b,H_03_b,55.813558,-133.167403,2018,12.57
Dunbar Inlet a,L_05_a,55.0848,-132.826,"2017, 2018",9.44
Farallon Bay a,L_06_a,55.19112,-133.105314,2017,7.475
Garcia Bay,M_07_a,55.552669,-133.431392,"2017, 2018",10.0575
Goats Mouth Inlet a,L_02_a,55.19286,-132.9,"2017, 2018",4.4925
Guktu Bay a,H_06_a,55.739816,-133.312022,2017,8.7775
Guktu Bay b,H_06_b,55.740264,-133.311306,2018,8.33
Hetta Cove a,L_07_a,55.155625,-132.589934,2017,11.6425
Kaguk Cove a,H_04_a,55.73361,-133.29,"2017, 2018",6.745
Kinani Point a,H_08_a,55.889904,-133.250006,2018,10.41
Mushroom Island a,L_09_a,55.21407,-132.847233,2018,17.635
N Fish Egg Island a,M_02_a,55.49709,-133.17,"2017, 2018",15.49
Natzuhini Bay a,L_04_a,55.25051,-132.883,2017,11.1025
Natzuhini Bay b,L_04_b,55.247155,-132.879137,2018,13.15
Natzuhini Bay c,L_04_c,55.241887,-132.837131,2018,15.03
Naukati Bay a,H_05_a,55.862405,-133.190722,2017,14.9075
Naukati Bay b,H_05_b,55.865721,-133.156399,2018,11.3525
North Pass a,L_03_a,55.22962,-132.925,2017,6.59
North Pass b,L_03_b,55.228334,-132.910392,2018,8.1725
Nossuk Bay a,H_02_a,55.7073,-133.342,2017,6.4375
Nossuk Bay b,H_02_b,55.714689,-133.358474,2018,6.4025
Nossuk Bay c,H_02_c,55.722637,-133.325372,2018,7.435
Port Caldera a,M_09_a,55.36209,-133.161232,2018,5.83
Port Refugio a,M_08_a,55.282137,-133.334028,"2017, 2018",5.025
S Fish Egg Island a,M_03_a,55.48442,-133.175,"2017, 2018",24.2725
S Wadleigh Island a,M_04_a,55.52904,-133.147,"2017, 2018",20.6
Salt Lake Bay a,H_01_a,55.67264,-133.378,2017,9.05
Salt Lake Bay b,H_01_b,55.684275,-133.377377,2018,12.49
Shinaku Inlet a,M_05_a,55.59929,-133.16,"2017, 2018",11.335
Soda Bay a,L_01_a,55.26366,-132.995,"2017, 2018",9.52
Sukkwan Narrows a,L_08_a,55.188785,-132.842514,2018,13.8775
Tracadero Bay a,M_06_a,55.344914,-133.0011,2017,10.9825
,S16,54.887367,-132.812622,2017,NA
,S23,55.229115,-133.227386,2017,NA
,S3,54.872025,-132.36731,2017,NA
,S32,55.624046,-133.410492,2017,NA
,S33,55.431164,-133.490051,2017,NA
,SHB,55.191471,-132.876587,2017,NA
