geo_region,site_name,site_code,so_region,latitude_N,longitude_E,date_mm.dd.yyyy,year,replicate,n_otter
"west prince of wales island, alaska",Big Clam Bay a,L_10_a,Low,55.194569,-132.967041,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Clam Bay a,L_10_a,Low,55.227691,-132.973932,26/7/18,2018,2,0
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.567959,-133.170975,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.576103,-133.219879,18/7/18,2018,1,2
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.570789,-133.226151,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.572781,-133.232025,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.57848,-133.165192,18/7/18,2018,1,3
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.588394,-133.173508,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.571785,-133.244919,18/7/18,2018,1,13
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.574501,-133.170029,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.572773,-133.175156,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.571629,-133.183716,18/7/18,2018,1,12
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.567612,-133.181015,18/7/18,2018,1,2
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.56657,-133.243057,18/7/18,2018,1,2
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.559155,-133.189819,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.565865,-133.192719,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.55822,-133.212662,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.56123,-133.215088,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.569893,-133.212616,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.574162,-133.196045,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.582283,-133.199753,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.584126,-133.202423,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.5812,-133.208405,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.586983,-133.201263,18/7/18,2018,1,2
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.576889,-133.208817,18/7/18,2018,1,2
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.574028,-133.219284,18/7/18,2018,1,5
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.565556,-133.237595,18/7/18,2018,1,2
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.563068,-133.234863,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.561779,-133.22821,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.560097,-133.229706,18/7/18,2018,1,2
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.558842,-133.225113,18/7/18,2018,1,5
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.562546,-133.245392,18/7/18,2018,1,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.577175,-133.166092,1/8/18,2018,2,7
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.573849,-133.172852,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.574371,-133.176361,1/8/18,2018,2,2
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.56863,-133.187241,1/8/18,2018,2,1
"west prince of wales island, alaska",Big Tree Bay a,M_10_a,Mid,55.573227,-133.184097,1/8/18,2018,2,1
