"site_name","site_code","latitude_N","longitude_E","so_region","date_dd.mm.yy","cage_present","replicate","beach_slope_percent","beach_slope_angle","fucus_upper_elev_mllw_cm","fucus_lower_elev_mllw_cm","fucus_mean_elev_mllw_cm","fucus_band_height_cm","edge_diffuse_elev_mllw_cm","edge_continuous_elev_mllw_cm","diffuse_band_height_cm","diffuse_band_sloped_width_cm","diffuse_band_horizontal_width_cm","shoot_density_diffuse_m2","shoot_density_continuous_m2","shoot_density_inside_m2","flower_density_diffuse_m2","flower_density_continuous_m2","flower_density_inside_m2","leaf_dw_g_m2","rhizome_dw_g_m2","total_biomass_dw_g_m2","leaf.rhizome"
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",1,4.735028906111,0.0473149493524324,214.7398,137.7398,176.2398,77,-43.2602,-57.2602,14,296,295.668733551588,12,92,260,0,4,4,115.89072,60.21792,176.10864,1.92452213560349
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",2,5.46267780546922,0.0545725381546788,209.7398,147.7398,178.7398,62,-57.2602,-60.2602,3,55,54.9181208709839,8,168,308,0,20,0,233.26256,114.25664,347.5192,2.04156677458745
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",3,10.8745449565407,0.108319806515118,207.7398,121.7398,164.7398,86,-57.2602,-65.2602,8,74,73.5662966309981,40,148,232,0,4,20,172.904,101.28336,274.18736,1.70713135899125
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",4,15.5699788832305,0.154459598484184,211.7398,139.7398,175.7398,72,-55.2602,-67.2602,12,78,77.0713954719908,24,80,256,0,0,4,94.42064,61.65968,156.08032,1.5313190078184
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",5,8.85807893036239,0.088350189268807,217.7398,126.7398,172.2398,91,-58.2602,-67.2602,9,102,101.602165331257,64,136,232,0,0,8,173.86512,156.7456,330.61072,1.10921850437907
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",6,9.53206247638796,0.0950334933928602,226.7398,130.7398,178.7398,96,-56.2602,-69.2602,13,137,136.381816969859,56,152,184,4,12,0,NA,NA,NA,NA
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",7,8.96437464955599,0.0894047719275952,214.7398,148.7398,181.7398,66,-62.2602,-67.2602,5,56,55.7763390695374,44,116,284,0,16,8,NA,NA,NA,NA
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",8,5.00626174321759,0.05002085680577,216.7398,148.7398,182.7398,68,-59.2602,-62.2602,3,60,59.9249530663145,88,112,148,0,4,12,NA,NA,NA,NA
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",9,7.26547742148871,0.0725273362856291,213.7398,158.7398,186.2398,55,-52.2602,-57.2602,5,69,68.818602136341,68,156,276,0,8,0,NA,NA,NA,NA
"Salt Lake Bay b","H_01_b",55.684275,-133.377377,"High","26/6/18","Yes",10,10.5341564419863,0.104954485372611,219.7398,138.7398,179.2398,81,-43.2602,-54.2602,11,105,104.422219857653,28,100,312,0,4,4,NA,NA,NA,NA
