site_code,site_name,latitude_N,longitude_E,date_MMDDYYYY,tidalheight_ft_MLLW,layer_number,layer_starting_depth_cm,layer_depths_cm,layer_thickness_cm,layer_volume_cm3,dry_bulk_density,organic_dw_g,organic_dw_percent,organic_density,inorganic_dw_g,inorganic_dw_percent,inorganic_density,sediment_description,freshwater_input
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,1,0,"1,2",1,19.63495408,1.025619918,2.09046,10.38067335,2.144017414,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,2,2,"3,4",1,19.63495408,1.064072262,2.21935,10.6224522,2.361548774,2.2717,11.0689528,2.417252957,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,3,4,"5,6",0.9,17.67145868,1.079582639,1.98055,10.38143811,2.138167396,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,4,6,"7,8",1,19.63495408,1.011748228,1.8826,9.476669001,1.904717214,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,5,8,"9,10",0.9,17.67145868,1.2102289,1.98242,9.269488103,2.399181976,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,6,10,"11,12",1,19.63495408,1.298323892,2.32563,9.122790088,3.019420992,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,7,12,"13,14",0.9,17.67145868,1.354576916,2.17123,9.070469371,2.941098038,2.26972,9.651844368,3.074510318,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,8,14,"15,16",0.9,17.67145868,1.252953161,2.22957,10.06963843,2.793546778,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,9,16,"17,18",0.9,17.67145868,1.33052627,2.14662,9.129759097,2.856134302,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,10,18,"19,20",0.9,17.67145868,1.285067657,2.35398,10.36583701,3.025023564,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,11,20,"21,22",0.9,17.67145868,1.379888353,2.21127,9.06829053,3.051305717,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,12,22,"23,24",0.9,17.67145868,1.62206587,1.91669,6.686686945,3.108997433,2.39897,8.401081543,3.891287361,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,13,24,"25,26",0.8,15.70796327,1.299179891,1.97762,9.690667192,2.569284135,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,14,26,"27,28",0.9,17.67145868,1.182281009,1.77086,8.47600326,2.093654148,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,15,28,"29,30",0.9,17.67145868,1.397474903,2.20768,8.939633341,3.085177394,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,16,30,"31,32",0.9,17.67145868,1.470753517,2.01786,7.763878607,2.967774692,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,17,32,"33,34",1,19.63495408,1.713651575,2.22316,6.607212964,3.809721636,4.47604,13.45779579,7.670372997,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,18,34,"35,36",0.7,13.74446786,1.824325995,1.94451,7.754964328,3.54742014,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,19,36,"37,38",1,19.63495408,1.770779797,1.77133,5.094540625,3.136635377,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_01,Salt Lake Bay,55.67264,-133.378,4/29/2017,-0.71,20,38,"39,40",1,19.63495408,1.750576541,1.91467,5.570355828,3.351776385,NA,NA,NA,fine sand/mud. Lots of clam shells,stream near one end of transect
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,1,0,"1,2",1.5,29.45243113,0.522624089,0.94474,6.689930901,0.493743882,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,2,2,"3,4",1.5,29.45243113,0.71688683,1.19395,6.021723495,0.855927031,0.71464,3.831202773,0.512316005,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,3,4,"5,6",1.4,27.48893572,0.701284335,1.29573,7.095815663,0.908675151,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,4,6,"7,8",1.4,27.48893572,0.681509106,1.22891,6.934555349,0.837513355,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,5,8,"9,10",1.4,27.48893572,0.708519973,1.0816,5.890473999,0.766335203,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,6,10,"11,12",1.4,27.48893572,0.999696397,1.2397,4.746273274,1.239323624,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,7,12,"13,14",1.4,27.48893572,1.063929513,1.4224,5.106995945,1.51333334,1.0387,3.929349635,1.105103585,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,8,14,"15,16",1.4,27.48893572,1.261307835,1.16795,3.484485321,1.473144486,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,9,16,"17,18",1.4,27.48893572,1.183676965,1.32346,4.221699008,1.566549116,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,10,18,"19,20",1.2,23.5619449,1.227747969,1.08459,3.933018404,1.33160317,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,11,20,"21,22",1.4,27.48893572,0.990574909,1.21851,4.687038416,1.207025432,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,12,22,"23,24",1.4,27.48893572,1.187616004,1.17606,3.782415431,1.396707678,1.01823,3.402758887,1.209266244,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,13,24,"25,26",1.4,27.48893572,1.088698024,1.11199,3.896487068,1.210621316,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,14,26,"27,28",1.2,23.5619449,1.223125261,0.92312,3.347449053,1.129091391,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
2017_H_02,Nossuk Bay,55.7073,-133.342,5/29/2017,-0.53,15,28,"29,30",1.4,27.48893572,1.596336812,1.14886,2.696941193,1.833967509,NA,NA,NA,soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay,one stream
