"","site","date_DDMMYY","date_YYYYMMDD","quadrat_number","plant_number","rhizome_length_cm","internode1_length_cm","internode2_length_cm","internode3_length_cm","internode4_length_cm","internode5_length_cm","leaf1_length_cm","leaf2_length_cm","leaf3_length_cm","leaf4_length_cm","leaf5_length_cm","leaf6_length_cm","leaf7_length_cm","leaf8_length_cm","leaf9_length_cm","leaf10_length_cm","leaf1_width_cm","leaf2_width_cm","leaf3_width_cm","leaf4_width_cm","leaf5_width_cm","leaf6_width_cm","leaf7_width_cm","leaf8_width_cm","leaf9_width_cm","leaf10_width_cm","rhizome_fw_g","shoot_fw_g","xs_shoot_fw_g","isopod_count","isopod_fw_g","gammarid_count","gammarid_fw_g","caprelid_count","caprelid_fw_g","limpet_count","limpet_fw_g","gastropod_count","gastropod_fw_g","crab_count","crab_fw_g","polychaete_count","other_epifauna","notes","epiphyte_dw_g","rhizome_dw_g","shoot_dw_g","xs_shoot_dw_g","isopod_dw_g","gammarid_dw_g","caprelid_dw_g","limpet_dw_g","gastropod_dw_g","crab_dw_g"
"1","2017_H_01","29/4/17",20170429,1,1,5,0.5,0.4,0.3,0.2,0.2,22.1,18.9,14.5,6.4,13.3,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,0.2266,0.2687,4.7732,NA,NA,3,0.0059,NA,NA,NA,NA,NA,"",NA,NA,6,"","",0.00609999999999999,0.0256999999999999,0.0389999999999999,0.5913,NA,0.00189999999999996,NA,NA,NA,NA
"2","2017_H_01","29/4/17",20170429,1,2,5,0.7,0.4,0.3,0.3,0.3,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,0.4884,0.4123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.000900000000000012,0.0508,0.0629,NA,NA,NA,NA,NA,NA,NA
"3","2017_H_01","29/4/17",20170429,1,3,5,0.3,0.3,0.4,0.3,0.2,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,0.3458,0.1652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00629999999999997,0.0397,0.0247000000000001,NA,NA,NA,NA,NA,NA,NA
"4","2017_H_01","29/4/17",20170429,1,4,4.6,0.4,0.4,0.3,0.4,0.2,21,18,8.5,17,16.5,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,0.3971,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00240000000000001,0.0352,0.0489000000000001,NA,NA,NA,NA,NA,NA,NA
"5","2017_H_01","29/4/17",20170429,1,5,5,0.2,0.2,0.3,0.2,0.3,13,13.6,9.6,NA,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,0.4551,0.1163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00429999999999997,0.0364,0.0167,NA,NA,NA,NA,NA,NA,NA
"6","2017_H_01","29/4/17",20170429,2,1,4.6,1.2,0.6,0.4,0.3,0.3,32.4,22.1,25,27.3,12.4,9.2,6,NA,NA,NA,0.4,0.4,0.4,0.4,0.2,0.2,0.3,NA,NA,NA,0.8057,0.8043,1.5161,NA,NA,21,0.036,NA,NA,NA,NA,NA,"",NA,NA,7,"1 clam","",0.005,0.0718,0.1486,0.1692,NA,0.00479999999999997,NA,NA,NA,NA
"7","2017_H_01","29/4/17",20170429,2,2,4,0.3,0.3,0.2,0.2,0.2,23,12.3,16.1,9.3,15.5,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.3,NA,NA,NA,NA,NA,0.335,0.2922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00650000000000006,0.0421,0.0419,NA,NA,NA,NA,NA,NA,NA
"8","2017_H_01","29/4/17",20170429,2,3,5,0.3,0.2,0.2,0.2,0.3,16.5,21.1,22.7,8.7,15.5,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.3,NA,NA,NA,NA,NA,0.3151,0.3015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00639999999999996,0.0378,0.0427,NA,NA,NA,NA,NA,NA,NA
"9","2017_H_01","29/4/17",20170429,2,4,5,0.5,0.6,0.4,0.3,0.2,26,21.1,20.2,10.2,17.5,NA,NA,NA,NA,NA,0.3,0.2,0.3,0.3,0.2,NA,NA,NA,NA,NA,0.4294,0.3661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.0071,0.0499,0.0568,NA,NA,NA,NA,NA,NA,NA
"10","2017_H_01","29/4/17",20170429,2,5,3.6,0.4,0.6,0.4,0.2,0.2,26.5,18.1,25.7,11.3,22.7,NA,NA,NA,NA,NA,0.4,0.3,0.3,0.3,0.4,NA,NA,NA,NA,NA,0.4352,0.5658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00700000000000001,0.0682,0.0875,NA,NA,NA,NA,NA,NA,NA
"11","2017_H_01","29/4/17",20170429,3,1,3,0.4,0.3,0.2,0.2,0.3,13.4,3.9,5.4,9.6,8.9,4.4,NA,NA,NA,NA,0.2,0.2,0.2,0.2,0.2,0.2,NA,NA,NA,NA,0.2338,0.1033,1.3837,NA,NA,4,0.0152,1,0.0086,1,0.0064,NA,"",NA,NA,NA,"","",0.00900000000000001,0.024,0.0164,0.1738,NA,0.00190000000000001,0.00159999999999999,0.002,NA,NA
"12","2017_H_01","29/4/17",20170429,3,2,5,0.5,0.6,0.4,0.4,0.2,22.7,21.7,11.5,26.8,15,NA,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,NA,0.3512,0.4314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",0.00600000000000001,0.0442,0.0621,NA,NA,NA,NA,NA,NA,NA
