"","site_code","site_name","latitude","longitude","date_MMDDYYYY","date_YYYYMMDD","time_24hr","depth_m","temperature_c","salinity_ppt","DO_mg.L","light_umol_water","light_umol_air","nox_umol","nh4_umol","po4_umol"
"1","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",20170429,"11:30",1,8,28,13.3,219,591,NA,NA,NA
"2","2017_H_01","Salt Lake Bay",55.67264,-133.378,"4/29/2017",20170429,"11:30",0,8,6,12.8,341,591,0.585,3.931,0.377
"3","2017_H_01","Salt Lake Bay",55.67264,-133.378,"8/14/2017",20170814,"10:30",1,14,30.6,8.63,NA,NA,0.146,0.82,0.331
"4","2017_H_01","Salt Lake Bay",55.67264,-133.378,"8/14/2017",20170814,"10:30",4,14.1,31,8.05,NA,NA,0.581,2.781,0.599
"5","2017_H_02","Nossuk Bay",55.7073,-133.342,"5/29/2017",20170529,"13:00",1,10.3,30.9,10.72,145.4,438.4,NA,NA,NA
"6","2017_H_02","Nossuk Bay",55.7073,-133.342,"5/29/2017",20170529,"13:00",0,10.9,30.4,10.58,235.5,438.4,0.182,1.171,0.347
"7","2017_H_02","Nossuk Bay",55.7073,-133.342,"8/14/2017",20170814,"11:30",1,13.6,30.6,9.34,NA,NA,0.157,1.022,0.213
"8","2017_H_02","Nossuk Bay",55.7073,-133.342,"8/14/2017",20170814,"11:30",4,12.8,31.4,8.22,NA,NA,0.297,2.031,0.457
"9","2017_H_03","Chusini Cove",55.80692,-133.171,"6/25/2017",20170625,"11:20",1,12.8,29.5,8.95,138.8,298.7,NA,NA,NA
"10","2017_H_03","Chusini Cove",55.80692,-133.171,"6/25/2017",20170625,"11:20",0,12.9,29.4,8.68,249.5,298.7,1.628,3.706,0.55
"11","2017_H_03","Chusini Cove",55.80692,-133.171,"8/14/2017",20170814,"14:35",1,14.5,30,8.4,NA,NA,0.146,0.752,0.344
"12","2017_H_03","Chusini Cove",55.80692,-133.171,"8/14/2017",20170814,"14:35",4,14.2,30.7,8.21,NA,NA,0.078,0.893,0.397
"13","2017_H_04","Kaguk Cove",55.73361,-133.29,"6/24/2017",20170624,"10:10",1,11,30.6,10.03,245.5,786.2,NA,NA,NA
"14","2017_H_04","Kaguk Cove",55.73361,-133.29,"6/24/2017",20170624,"10:10",0,11.7,28.9,9.55,452.8,786.2,0.942,3.831,0.935
"15","2017_H_04","Kaguk Cove",55.73361,-133.29,"8/14/2017",20170814,"12:55",1,12.5,31.4,8.44,NA,NA,1.703,2.586,0.626
"16","2017_H_04","Kaguk Cove",55.73361,-133.29,"8/14/2017",20170814,"12:55",4,12.4,31.3,8.18,NA,NA,2.623,3.496,0.866
"17","2017_H_05","Naukati Bay",55.862405,-133.190722,"7/25/2017",20170725,"09:45",1,13.7,29.7,10.7,71.1,363.4,NA,NA,NA
"18","2017_H_05","Naukati Bay",55.862405,-133.190722,"7/25/2017",20170725,"09:45",0,14.1,29,11.62,218.6,363.4,0.49,1.199,0.359
"19","2017_H_05","Naukati Bay",55.862405,-133.190722,"8/14/2017",20170814,"13:50",1,14.9,29.7,8.55,NA,NA,0.304,2.506,0.441
"20","2017_H_05","Naukati Bay",55.862405,-133.190722,"8/14/2017",20170814,"13:50",4,14,30.4,7.87,NA,NA,0.463,3.001,0.668
"21","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",20170724,"09:30",1,11.8,31.4,8.5,215.2,560.4,NA,NA,NA
"22","2017_H_06","Guktu Bay",55.739816,-133.312022,"7/24/2017",20170724,"09:30",0,12,31.3,8.8,380.1,560.4,2.148,2.571,0.746
"23","2017_H_06","Guktu Bay",55.739816,-133.312022,"8/14/2017",20170814,"12:20",1,12.3,31.4,8,NA,NA,1.613,2.641,0.719
"24","2017_H_06","Guktu Bay",55.739816,-133.312022,"8/14/2017",20170814,"12:20",4,12.1,31.5,7.46,NA,NA,2.628,4.906,0.858
"25","2017_H_07","Blanquizal Point",55.62082,-133.38664,"8/14/2017",20170814,"09:40",1,13.3,30.3,7.19,NA,NA,0.749,2.331,0.526
