"","site_code","site_name","latitude","longitude","date_DDMMYY","date_YYYYMMDD","start_time","end_time","depth_MLLW_m","quadrat_number","plant_number","eelgrass_shoots_0.25msq","flowering_shoots_0.25msq","epiphyte_percover_0.25msq","macroalgae_percover_0.25msq","epiphyte_dw_g","shoot_fw_g","shoot_dw_g","xs_shoot_fw_g","xs_shoot_dw_g","rhizome_fw_g","rhizome_dw_g","leaf1_length_cm","leaf2_length_cm","leaf3_length_cm","leaf4_length_cm","leaf5_length_cm","leaf6_length_cm","leaf7_length_cm","leaf8_length_cm","leaf9_length_cm","leaf10_length_cm","leaf1_width_cm","leaf2_width_cm","leaf3_width_cm","leaf4_width_cm","leaf5_width_cm","leaf6_width_cm","leaf7_width_cm","leaf8_width_cm","leaf9_width_cm","leaf10_width_cm","rhizome_length_cm","internode1_length_cm","internode2_length_cm","internode3_length_cm","internode4_length_cm","internode5_length_cm","isopod_count","isopod_fw_g","isopod_dw_g","gammarid_count","gammarid_fw_g","gammarid_dw_g","caprelid_count","caprelid_fw_g","caprelid_dw_g","limpet_count","limpet_fw_g","limpet_dw_g","gastropod_count","gastropod_fw_g","gastropod_dw_g","crab_count","crab_fw_g","crab_dw_g","polychaete_count","other_epifauna","notes"
"1","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,1,54,0,NA,5,0.00609999999999999,0.2687,0.0389999999999999,4.7732,0.5913,0.2266,0.0256999999999999,22.1,18.9,14.5,6.4,13.3,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,5,0.5,0.4,0.3,0.2,0.2,NA,NA,NA,3,0.0059,0.00189999999999996,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,6,"","; "
"2","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,1,41,0,NA,0,0.00609999999999999,0.2687,0.0389999999999999,4.7732,0.5913,0.2266,0.0256999999999999,22.1,18.9,14.5,6.4,13.3,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,5,0.5,0.4,0.3,0.2,0.2,NA,NA,NA,3,0.0059,0.00189999999999996,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,6,"","; "
"3","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,1,59,0,NA,0,0.00609999999999999,0.2687,0.0389999999999999,4.7732,0.5913,0.2266,0.0256999999999999,22.1,18.9,14.5,6.4,13.3,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,5,0.5,0.4,0.3,0.2,0.2,NA,NA,NA,3,0.0059,0.00189999999999996,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,6,"","; "
"4","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,1,46,0,NA,0,0.00609999999999999,0.2687,0.0389999999999999,4.7732,0.5913,0.2266,0.0256999999999999,22.1,18.9,14.5,6.4,13.3,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,5,0.5,0.4,0.3,0.2,0.2,NA,NA,NA,3,0.0059,0.00189999999999996,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,6,"","; "
"5","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,1,66,0,NA,0,0.00609999999999999,0.2687,0.0389999999999999,4.7732,0.5913,0.2266,0.0256999999999999,22.1,18.9,14.5,6.4,13.3,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,5,0.5,0.4,0.3,0.2,0.2,NA,NA,NA,3,0.0059,0.00189999999999996,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,6,"","; "
"6","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,1,60,0,NA,0,0.00609999999999999,0.2687,0.0389999999999999,4.7732,0.5913,0.2266,0.0256999999999999,22.1,18.9,14.5,6.4,13.3,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,5,0.5,0.4,0.3,0.2,0.2,NA,NA,NA,3,0.0059,0.00189999999999996,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,6,"","; "
"7","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,1,72,0,NA,0,0.00609999999999999,0.2687,0.0389999999999999,4.7732,0.5913,0.2266,0.0256999999999999,22.1,18.9,14.5,6.4,13.3,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,5,0.5,0.4,0.3,0.2,0.2,NA,NA,NA,3,0.0059,0.00189999999999996,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,6,"","; "
"8","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,1,55,0,NA,0,0.00609999999999999,0.2687,0.0389999999999999,4.7732,0.5913,0.2266,0.0256999999999999,22.1,18.9,14.5,6.4,13.3,NA,NA,NA,NA,NA,0.3,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,5,0.5,0.4,0.3,0.2,0.2,NA,NA,NA,3,0.0059,0.00189999999999996,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,6,"","; "
"9","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,2,54,0,NA,5,0.000900000000000012,0.4123,0.0629,NA,NA,0.4884,0.0508,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,5,0.7,0.4,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
"10","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,2,41,0,NA,0,0.000900000000000012,0.4123,0.0629,NA,NA,0.4884,0.0508,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,5,0.7,0.4,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
"11","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,2,59,0,NA,0,0.000900000000000012,0.4123,0.0629,NA,NA,0.4884,0.0508,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,5,0.7,0.4,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
"12","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,2,46,0,NA,0,0.000900000000000012,0.4123,0.0629,NA,NA,0.4884,0.0508,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,5,0.7,0.4,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
"13","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,2,66,0,NA,0,0.000900000000000012,0.4123,0.0629,NA,NA,0.4884,0.0508,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,5,0.7,0.4,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
"14","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,2,60,0,NA,0,0.000900000000000012,0.4123,0.0629,NA,NA,0.4884,0.0508,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,5,0.7,0.4,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
"15","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,2,72,0,NA,0,0.000900000000000012,0.4123,0.0629,NA,NA,0.4884,0.0508,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,5,0.7,0.4,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
"16","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,2,55,0,NA,0,0.000900000000000012,0.4123,0.0629,NA,NA,0.4884,0.0508,25.2,17.6,22,14.9,8,3.6,NA,NA,NA,NA,0.3,0.3,0.3,0.3,0.3,0.2,NA,NA,NA,NA,5,0.7,0.4,0.3,0.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
"17","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,3,54,0,NA,5,0.00629999999999997,0.1652,0.0247000000000001,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
"18","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,3,41,0,NA,0,0.00629999999999997,0.1652,0.0247000000000001,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
"19","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,3,59,0,NA,0,0.00629999999999997,0.1652,0.0247000000000001,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
"20","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,3,46,0,NA,0,0.00629999999999997,0.1652,0.0247000000000001,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
"21","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,3,66,0,NA,0,0.00629999999999997,0.1652,0.0247000000000001,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
"22","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,3,60,0,NA,0,0.00629999999999997,0.1652,0.0247000000000001,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
"23","2017_H_01","Salt Lake Bay",55.67264,-133.378,"29/4/17",20170429,1055,1115,-0.5,1,3,72,0,NA,0,0.00629999999999997,0.1652,0.0247000000000001,NA,NA,0.3458,0.0397,16.4,9.8,14.1,9.4,NA,NA,NA,NA,NA,NA,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,NA,5,0.3,0.3,0.4,0.3,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","; "
