site,date,YYYYMMDD,start_time,end_time,slope,tide_height,tide_time,species_common,species_scientific,sp_code,taxon,fork_length,unmeasured,sex
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Helmet crab,Temessus cheiragonus,CRABHEL,Decapoda,NA,10,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Crescent gunnel,Pholis laeta,GUNNCRE,Vertebrata,42,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Crescent gunnel,Pholis laeta,GUNNCRE,Vertebrata,74,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Crescent gunnel,Pholis laeta,GUNNCRE,Vertebrata,86,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Crescent gunnel,Pholis laeta,GUNNCRE,Vertebrata,74,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Crescent gunnel,Pholis laeta,GUNNCRE,Vertebrata,76,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Crescent gunnel,Pholis laeta,GUNNCRE,Vertebrata,74,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Crescent gunnel,Pholis laeta,GUNNCRE,Vertebrata,65,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Crescent gunnel,Pholis laeta,GUNNCRE,Vertebrata,70,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Crescent gunnel,Pholis laeta,GUNNCRE,Vertebrata,71,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,37,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,34,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,21,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,40,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,38,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,39,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,35,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,37,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,56,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,35,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,36,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,34,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,38,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,33,,
2017_H_01,5/12/2017,20170512,900,915,very gentle,-0.61,829,Threespine stickleback,Gasterosteus aculeatus,STICK3,Vertebrata,32,,
