"","site_code","site_name","date","latitude","longitude","start_time","end_time","tide_height_m","tide_time","weather","freshwater","sediment_description","general_description"
"1","2017_H_01","Salt Lake Bay","4/29/2017",55.67264,-133.378,900,1130,-0.71,938,"cloudy, light wind, cool","stream near one end of transect","fine sand/mud. Lots of clam shells","Gradually slopping back of bay. Eelgrass extensive, pits throughout"
"2","2017_H_02","Nossuk Bay","5/29/2017",55.7073,-133.342,1030,1300,-0.53,1048,"high overcast calm","one stream","soft mud with shells intermixed. Changes to sand/mud higher. Cobble outcrops around edge of bay","Gently slopping beach with lots of eelgrass extending to 0 MLLW"
"3","2017_H_03","Chusini Cove","6/25/2017",55.80692,-133.171,820,1120,-1.1,830,"mostly cloudy, occasional sprinkel","1 small stream bed mid bay","*nothing written on data sheet* WR recalls very muddy changing almost immediately to gravel cobble high","Very gradual large eelgrass bed. Back of bay with rocky outcrops around with eelgrass inbetween"
"4","2017_H_04","Kaguk Cove","6/24/2017",55.73361,-133.29,745,1010,-1.03,743,"mostly cloudy, intermittent rain","2 small streams","sand/mud with some shells. Some areas of larger sediments where eelgrass density of a bit lower. Higher shore gravel changing to cobble","Back of narrow inlet. Bedrock at entrance. Part of bay has fucus patch in mid intertidal"
"5","2017_H_05","Naukati Bay","7/25/2017",55.862405,-133.190722,730,1000,-0.78,855,"high overcast, calm","no obvious souces","Transect muddy, quickly changes to sand with gravel then to gravel with cobble high","Moderatly sloped beach along straight section of beach. To right of transect near house more gradual slopping and connect to island the transect is on. Some human debris on beach"
"6","2017_H_06","Guktu Bay","7/24/2017",55.739816,-133.312022,720,930,-0.69,855,"high overcast, calm","one small stream","muddy. Mud switches to pepple and sand and gravel then gravel high","Gradually slopping beach back of bay. Eeglrass bed farly narrow. Bounded low by steep drop. Sea otter pits very abundant. Lots of clam shells. One rocky outcrop near center of back of bay. Opposite shore mostly cobble."
"7","2017_H_07","Blanquizal Point","8/20/2017",55.62082,-133.38664,615,830,-0.55,620,"high overcast, calm","no obvious souces","muddy sand low at transect changing to gravel high. Cobble at edges of transect","Relativley small isolated eelgrass bed. Moderatly sloped. Kelp on edges and in deeper subtidal. Eelgrass wasting samples also collected"
"8","2017_L_01","Soda Bay","4/30/2017",55.26366,-132.995,1025,1300,-0.48,1048,"partly cloudy, light wind","no obvious souces","fine sand/mud changing to gravel and cobble high","small embayment with eelgrass throuhgout. Moderatly sloped on edges and gradual in back of bay"
"9","2017_L_02","Goats mouth inlet","5/27/2017",55.19286,-132.9,730,1100,-0.91,854,"clear, calm, warm","two moderate streams near transect","semi-consolidated sand/mud some shells. One end of transect had cobble on top","Gradually slopping beach for all of inlet"
"10","2017_L_03","North Pass","5/26/2017",55.22962,-132.925,655,1000,-0.88,755,"partly cloudy, calm","moderate stream off one end of transect","semi-consolidated mud. Lots of clam shells on surface and just below. Turns to sand/mud then cobble high. Two rocky outcrops high","Fairly linear beach, gradual slope. Lots of clam shell litter "
"11","2017_L_04","Natzuhini Bay","6/28/2017",55.25051,-132.883,1020,1230,-0.4,1050,"mostly sunny, warm, calm","small stream plus few tiny streamlets","mussy sand, semi-consolidated shells on top. Lost of shells around -0.3m. Upper shore gradually increases grain size ot gravel and then cobble","Gradually slopping beach 1 small rock outcrop nob thing in middle of bay at mid intertidal"
"12","2017_L_05","Dunbar Inlet","6/27/2017",55.0848,-132.826,1000,1200,-0.7,1010,"sunny, light wind","small groundwater seep","semi-consolidated sand/mud mix, some small cobbles and shells on top","Relativley steep beach with eelgrass extenting up to 0 MLLW. Linear"
"13","2017_L_06","Farallon Bay","7/23/2017",55.19112,-133.105314,730,940,-0.81,735,"high overcast, light wind","2 small streams","semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","Small crecsent bay with eelgrass. Some eelgrass starts fairly high (above 0 MLLW). Fair amount of algae around more in areas without eelgrass. Water tannins"
