"","latitude_N","longitude_E","layer_number","layer_thickness_cm","pan_weight","pan_sed_ww_pre_60C","pan_sed_dw_post_60C","pan_sed_dw_pre_450C","pan_sed_dw_post450C","crucible_weight","crucible_sed_dw_pre_950C","crucible_sed_dw_post_950C","site_code"
"1",55.19112,-133.105314,1,1.1,1.29409,25.23823,17.17096,17.17096,11.29137,NA,NA,NA,"2017_L_06"
"2",55.19112,-133.105314,2,1.1,1.29186,39.12236,28.33694,28.33694,11.07443,27.32424,37.33955,36.8753,"2017_L_06"
"3",55.19112,-133.105314,3,1.3,1.28577,46.55486,33.83475,33.83475,11.80249,NA,NA,NA,"2017_L_06"
"4",55.19112,-133.105314,4,1.1,1.27816,36.85464,27.09433,27.09433,11.77326,NA,NA,NA,"2017_L_06"
"5",55.19112,-133.105314,5,1.4,1.29332,44.44818,32.33891,32.33891,11.3854,NA,NA,NA,"2017_L_06"
"6",55.19112,-133.105314,6,1.1,1.27617,36.4029,26.86238,26.86238,11.43155,NA,NA,NA,"2017_L_06"
"7",55.19112,-133.105314,7,1.1,1.28285,40.1781,29.31035,29.31035,11.09889,27.18162,37.31168,36.73588,"2017_L_06"
"8",55.19112,-133.105314,8,1.2,1.2873,34.7275,23.91346,23.91346,11.65552,NA,NA,NA,"2017_L_06"
"9",55.19112,-133.105314,9,1.1,1.29924,39.85357,26.74388,26.74388,10.81595,NA,NA,NA,"2017_L_06"
"10",55.19112,-133.105314,10,1,1.28011,37.7601,25.28452,25.28452,11.29277,NA,NA,NA,"2017_L_06"
"11",55.19112,-133.105314,11,1.1,1.28492,35.10722,24.45962,24.45962,10.96677,NA,NA,NA,"2017_L_06"
"12",55.19112,-133.105314,12,1.1,1.2796,36.41581,24.0124,24.0124,11.07397,27.03366,37.37755,36.47293,"2017_L_06"
"13",55.19112,-133.105314,13,1.1,1.29248,37.06989,25.30367,25.30367,11.02946,NA,NA,NA,"2017_L_06"
"14",55.19112,-133.105314,14,1.1,1.28497,40.15793,29.06922,29.06922,11.08434,NA,NA,NA,"2017_L_06"
"15",55.19112,-133.105314,15,1,1.30373,36.17991,27.3691,27.3691,11.15469,NA,NA,NA,"2017_L_06"
"16",55.19112,-133.105314,16,1.3,1.28411,45.3992,34.14238,34.14238,11.18173,NA,NA,NA,"2017_L_06"
"17",55.19112,-133.105314,17,1,1.27044,36.99406,28.6972,28.6972,11.57455,28.20961,38.73111,38.21217,"2017_L_06"
"18",55.19112,-133.105314,18,1.1,1.27591,41.85765,32.30245,32.30245,11.94743,NA,NA,NA,"2017_L_06"
"19",55.19112,-133.105314,19,1.1,1.27407,42.26951,31.5261,31.5261,11.18118,NA,NA,NA,"2017_L_06"
"20",55.19112,-133.105314,20,1.1,1.27525,34.22254,26.12619,26.12619,11.0349,NA,NA,NA,"2017_L_06"
"21",55.19112,-133.105314,21,1,1.28873,44.56082,34.22778,34.22778,10.97885,NA,NA,NA,"2017_L_06"
"22",55.19112,-133.105314,22,1.2,1.27349,44.7545,35.86514,35.86514,11.02654,27.1399,37.15038,36.66595,"2017_L_06"
"23",55.19112,-133.105314,23,1.2,1.26936,49.19373,39.73353,39.73353,11.05383,NA,NA,NA,"2017_L_06"
"24",55.19112,-133.105314,24,1,1.26402,38.07285,30.08491,30.08491,11.08657,NA,NA,NA,"2017_L_06"
