"","site_code","site_name","latitude_N","longitude_E","date_MMDDYYYY","depth_m_MLLW","layer_number","layer_thickness_cm","layer_depth_cm","layer_volume_cm3","dry_bulk_density","organic_dw_g","organic_dw_percent","organic_density","inorganic_dw_g","inorganic_dw_percent","inorganic_density","sediment_description","freshwater_input"
"1","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,1,1.1,0,21.5984494934298,0.735093044749795,5.87959,37.0324251568477,4.32204571498045,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"2","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,2,1.1,2,21.5984494934298,1.25217692169186,17.26251,63.828652013601,21.6157166324749,0.46425,4.63540319770431,0.581323135895444,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"3","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,3,1.3,4,25.5254403104171,1.27515841467058,22.03226,67.6895558631945,28.0946217332101,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"4","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,4,1.1,6,21.5984494934298,1.19527885591293,15.32107,59.3467969880892,18.3129510209619,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"5","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,5,1.4,8,27.4889357189107,1.12938493936099,20.95351,67.4927099146771,23.6645786207498,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"6","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,6,1.1,10,21.5984494934298,1.18463179534176,15.43083,60.3091665393194,18.2798518465134,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"7","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,7,1.1,12,21.5984494934298,1.29766259418417,18.21146,64.9771117652306,23.6323304274813,0.575800000000001,5.6840729472481,0.747194121731248,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"8","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,8,1.2,14,23.5619449019235,0.960284055250165,12.25794,54.1759626909736,11.7711043322132,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"9","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,9,1.1,16,21.5984494934298,1.17807715816546,15.92793,62.5983704230046,18.7643305098584,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
"10","2017_L_06","Farallon Bay",55.19112,-133.105314,"7/23/2017",-0.81,10,1,18,19.6349540849362,1.22253456240145,13.99175,58.2882478677876,17.1053979634805,NA,NA,NA,"semi-consolidated muddy sand with some gravel in some sections. Changes to sand only with gravel and cobble higher. Scatter rocky outccrops.","2 small streams"
