site,latitude,longitude
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_01,55.67264,-133.378
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
2017_H_02,55.7073,-133.342
