site,place_name,collection_date,YYYYMMDD,processed_date,quadrat,shoot_foil_mass_g,shoot_fw_g,shoot_dw_foil_mass_g,pad_pre_mass_g,pad_dw_mass_g,idotea_count,idotea_foil_mass_g,idotea_fw_mass_g,idotea_dw_foil_mass_g,limpet_count,limpet_foil_mass_g,limpet_fw_mass_g,limpet_dw_foil_mass_g,caprellid_count,caprellid_foil_mass_g,caprellid_fw_mass_g,caprellid_dw_foil_mass_g,amphipod_count,amphipod_foil_mass_g,amphipod_fw_mass_g,amphipod_dw_foil_mass_g,gastropod_count,gastropod_foil_mass_g,gastropod_fw_mass_g,gastropod_dw_foil_mass_g,notes
2018_L_01,North Pass,7/11/2018,20180711,7/11/2018,1,3.8553,5.7129,4.7277,0.5199,0.5228,6,0.4481,0.2211,0.4985,,,,,,,,,1,,,,32,0.4255,0.0292,0.4376,
2018_L_01,North Pass,7/11/2018,20180711,7/11/2018,2,3.9691,8.9391,5.3445,0.5075,0.5162,3,0.4367,0.0142,0.4441,,,,,,,,,1,0.4448,0.0017,0.445,40,0.4499,0.0409,0.4693,
2018_L_01,North Pass,7/11/2018,20180711,7/11/2018,3,3.3386,8.3443,4.4943,0.493,0.4963,4,0.4415,0.2876,0.4899,,,,,,,,,2,,,,48,0.4491,0.1117,0.4929,
2018_L_01,North Pass,7/11/2018,20180711,7/11/2018,4,3.7075,5.398,4.6678,0.5096,0.5102,3,0.4656,0.0068,0.4707,,,,,,,,,1,0.4979,0.0107,0.5003,98,0.4476,0.3049,0.5223,
2018_L_01,North Pass,7/11/2018,20180711,7/11/2018,5,3.7819,16.6261,5.9294,0.4927,0.5051,3,0.46,0.0265,0.4631,,,,,,,,,1,,,,27,0.432,0.0327,0.4454,
2018_L_01,North Pass,7/11/2018,20180711,7/11/2018,6,3.3427,11.4558,5.2075,0.4874,0.4946,5,0.499,0.5466,0.6503,1,0.3517,0.0352,0.3641,1,0.3433,0.0014,0.3437,2,0.4606,0.0021,0.461,30,0.501,0.0185,0.5113,"1 larval fish, 1 shrimp"
2018_L_01,North Pass,7/11/2018,20180711,7/11/2018,7,4.3074,8.3616,5.3583,0.507,0.5095,3,0.4735,0.0023,0.4757,,,,,,,,,4,0.456,0.0056,0.4571,33,0.5441,0.0329,0.5633,
2018_L_01,North Pass,7/11/2018,20180711,7/11/2018,8,4.0834,10.406,5.4682,0.5078,0.5126,3,0.4204,0.4999,0.5334,2,0.4373,0.0485,0.4578,,,,,1,,,,3,0.3402,0.0012,0.3411,"1 shrimp, 2 telmessus"
2018_L_02,Natzuhini,7/12/2018,20180712,7/12/2018,1,3.9513,2.263,4.3033,0.5123,0.5129,8,0.371,0.028,0.3741,2,0.361,0.0364,0.3772,3,0.3631,0.0035,0.3636,1,,,,15,0.3899,0.0169,0.3934,
2018_L_02,Natzuhini,7/12/2018,20180712,7/12/2018,2,4.3596,2.9788,4.8246,0.5276,0.5291,4,0.5073,0.185,0.5438,,,,,,,,,1,,,,5,0.3606,0.006,0.3659,
2018_L_02,Natzuhini,7/12/2018,20180712,7/12/2018,3,3.8043,10.596,5.415,0.5404,0.5497,15,0.4592,0.1871,0.5074,1,0.4632,0.0316,0.4773,1,0.449,0.003,0.4495,4,0.4221,0.0059,0.4227,3,0.5472,0.0252,0.5532,
2018_L_02,Natzuhini,7/12/2018,20180712,7/12/2018,4,2.9915,6.3477,4.0243,0.5015,0.5163,11,0.4403,0.0332,0.4441,2,0.4242,0.0805,0.4437,,,,,5,0.4499,0.016,0.4506,9,0.4417,0.0062,0.4446,
