"site","quadrat","place_name","date","YYYYMMDD","latitude","longitude","primary_observer","secondary_observer","start_time","end_time","depth_m","eelgrass_shoots_m","flowering_shoots_m","idotea_count","limpet_count","caprellid_count","amphipod_count","gastropod_count","shoot_mass","shoot_mass_m","epi_mass","epi_load","idotea_mass","idotea_load","limpet_mass","limpet_load","caprellid_mass","amphipod_mass","gastropod_mass","grazer_mass","grazer_load"
"2018_H_01",1,"Kaguk Cove","7/14/2018",20180714,55.735283,-133.295189,"WR","TS",830,NA,-0.61,192,4,5,0,0,6,5,0.7804,43.35122,0,0,0.0478,0.0612506406970784,0,0,0,0.000399999999999956,0.00319999999999998,0.109050640697078,0.139736853789183
"2018_H_01",2,"Kaguk Cove","7/14/2018",20180714,55.735283,-133.295189,"WR","TS",830,NA,-0.61,152,4,3,1,0,10,3,1.637,90.93535,0.0107,0.00653634697617596,0.0816,0.0498472816127062,0.0119,0.00726939523518629,0,0.000799999999999912,0.00370000000000004,0.150616676847892,0.0920077439510644
"2018_H_01",3,"Kaguk Cove","7/14/2018",20180714,55.735283,-133.295189,"WR","TS",830,NA,-0.61,252,4,4,1,0,6,4,1.4199,78.875445,0.0128,0.00901471934643287,0.1321,0.0930347207549828,0.0255,0.0179590111979717,0,0.000299999999999967,0.003,0.268593731952954,0.189163836856789
"2018_H_01",4,"Kaguk Cove","7/14/2018",20180714,55.735283,-133.295189,"WR","TS",830,NA,-0.61,200,0,4,0,0,8,6,2.0952,116.38836,0.0124,0.00591828942344405,0.2153,0.102758686521573,0,0,0,0.000400000000000067,0.004,0.318058686521573,0.151803496812511
"2018_H_01",5,"Kaguk Cove","7/14/2018",20180714,55.735283,-133.295189,"WR","TS",830,NA,-0.61,212,0,1,4,0,1,9,2.5647,142.469085,0.0153,0.00596561001286699,0.000300000000000022,0.000116972745350342,0.0427,0.0166491207548641,0,0,0.00730000000000003,0.0597660935002145,0.0233033467852827
"2018_H_01",6,"Kaguk Cove","7/14/2018",20180714,55.735283,-133.295189,"WR","TS",830,NA,-0.61,212,8,2,1,0,13,12,2.0544,114.12192,0.00919999999999999,0.00447819314641744,0.000800000000000023,0.000389408099688485,0.014,0.00681464174454829,0,0.000799999999999967,0,0.0220040498442368,0.0107106940441184
"2018_H_01",7,"Kaguk Cove","7/14/2018",20180714,55.735283,-133.295189,"WR","TS",830,NA,-0.61,200,0,5,4,0,21,0,3.041,168.92755,0.0133,0.00437356132851035,0.2392,0.07865833607366,0.0678,0.0222952975994738,0,0.00140000000000001,0,0.407953633673134,0.134151145568278
"2018_H_01",8,"Kaguk Cove","7/14/2018",20180714,55.735283,-133.295189,"WR","TS",830,NA,-0.61,224,24,0,1,0,8,3,0.8062,44.78441,0.0107,0.0132721409079633,0,0,0.0226,0.0280327462168197,0,0.000400000000000011,0.000900000000000012,0.0506327462168197,0.0628042002193248
"2018_H_02",1,"Gaktu Cove","7/15/2018",20180715,55.738953,-133.313514,"WR","TS",1055,NA,-0.5,268,8,12,12,0,1,0,7.7397,429.940335,0.0424,0.0054782485109242,0.3532,0.0456348437277931,0.2204,0.0284765559388607,0,0,0,0.647711399666654,0.0836868870455772
"2018_H_02",2,"Gaktu Cove","7/15/2018",20180715,55.738953,-133.313514,"WR","TS",1055,NA,-0.5,348,8,10,2,0,12,0,3.9397,218.850335,0.0163,0.00413737086580196,0.1929,0.0489631190192147,0.0222,0.00563494682336218,0,0.00130000000000002,0,0.269698065842577,0.0684564981705655
"2018_H_02",3,"Gaktu Cove","7/15/2018",20180715,55.738953,-133.313514,"WR","TS",1055,NA,-0.5,208,0,5,5,0,2,0,2.3072,128.16496,0.00800000000000001,0.00346740638002774,0.00109999999999999,0.00047676837725381,0.0863,0.0374046463245492,0,0.000199999999999978,0.0015,0.125281414701803,0.0543001970794916
"2018_H_02",4,"Gaktu Cove","7/15/2018",20180715,55.738953,-133.313514,"WR","TS",1055,NA,-0.5,208,8,2,3,0,1,0,3.0872,171.49396,0.00460000000000005,0.00149002332210419,0.000300000000000022,9.71754340502794e-05,0.0705,0.0228362270018139,0,0.000100000000000044,0,0.0937334024358643,0.0303619468890465
"2018_H_02",5,"Gaktu Cove","7/15/2018",20180715,55.738953,-133.313514,"WR","TS",1055,NA,-0.5,232,0,15,1,0,6,8,6.9245,384.655975,0.00719999999999998,0.0010397862661564,0.3268,0.0471947433027655,0.0188,0.00271499747274171,0,0.000400000000000011,0,0.395509740775507,0.0571174439707571
"2018_H_02",6,"Gaktu Cove","7/15/2018",20180715,55.738953,-133.313514,"WR","TS",1055,NA,-0.5,256,8,10,5,0,2,1,3.4012,188.93666,0.017,0.00499823591673527,0.6351,0.186728213571681,0.0927,0.02725508644008,0,0.000299999999999967,0.000400000000000011,0.941783300011761,0.276897359758838
"2018_H_02",7,"Gaktu Cove","7/15/2018",20180715,55.738953,-133.313514,"WR","TS",1055,NA,-0.5,176,4,1,4,0,2,0,4.2284,234.88762,0.00680000000000003,0.00160817330432315,0.000400000000000011,9.45984296660702e-05,0.0907000000000001,0.0214501939267808,0,0.000300000000000022,0,0.112644792356447,0.0266400511674503
"2018_H_02",8,"Gaktu Cove","7/15/2018",20180715,55.738953,-133.313514,"WR","TS",1055,NA,-0.5,192,12,9,5,0,14,1,4.1671,231.482405,0.005,0.00119987521297785,0.1333,0.0319886731779895,0.0918,0.0220297089102733,0,0.001,0.00249999999999995,0.279118382088263,0.0669814456308375
"2018_H_03",1,"Nossuk Bay","7/16/2018",20180716,55.706493,-133.341566,"WR","TS",915,NA,-0.5,216,4,1,3,0,1,1,0.7752,43.06236,9.9999999999989e-05,0.000128998968008242,0.000399999999999956,0.000515995872032967,0.0186,0.0239938080495356,0,9.9999999999989e-05,0.000299999999999967,0.0435098039215685,0.0561271980412391
"2018_H_03",2,"Nossuk Bay","7/16/2018",20180716,55.706493,-133.341566,"WR","TS",915,NA,-0.5,196,0,7,0,0,7,0,1.1481,63.776955,0.00190000000000001,0.00165490810904975,0.3042,0.264959498301542,0,0,0,5e-04,0,0.569159498301542,0.495740352148368
"2018_H_03",3,"Nossuk Bay","7/16/2018",20180716,55.706493,-133.341566,"WR","TS",915,NA,-0.5,312,4,4,0,0,20,0,1.0756,59.74958,0.000699999999999978,0.000650799553737429,0.102,0.0948307921160282,0,0,0,0.001,0,0.196830792116028,0.182996273815571
"2018_H_03",4,"Nossuk Bay","7/16/2018",20180716,55.706493,-133.341566,"WR","TS",915,NA,-0.5,204,8,7,1,0,11,0,0.994199999999999,55.22781,0.00219999999999998,0.00221283443975053,0.1324,0.133172399919533,0.00590000000000002,0.0059344196338765,0,0.000399999999999956,0,0.27740681955341,0.279025165513388
"2018_H_03",5,"Nossuk Bay","7/16/2018",20180716,55.706493,-133.341566,"WR","TS",915,NA,-0.5,344,20,6,0,0,48,0,3.3179,184.309345,0.0152,0.00458121100696223,0.00180000000000002,0.000542511829771851,0,0,0,0.00150000000000006,0,0.00234251182977187,0.000706022432795405
"2018_H_03",6,"Nossuk Bay","7/16/2018",20180716,55.706493,-133.341566,"WR","TS",915,NA,-0.5,268,4,5,0,0,16,2,2.3863,132.558965,0.003,0.00125717638184637,0.0867,0.0363323974353602,0,0,0,0.000600000000000045,0.002,0.12303239743536,0.0515578080858904
"2018_H_03",7,"Nossuk Bay","7/16/2018",20180716,55.706493,-133.341566,"WR","TS",915,NA,-0.5,320,8,17,0,0,17,0,2.8585,158.789675,0.0055,0.00192408605912192,0.3887,0.13598040930558,0,0,0,0.000299999999999967,0,0.52468040930558,0.18355095655259
"2018_H_03",8,"Nossuk Bay","7/16/2018",20180716,55.706493,-133.341566,"WR","TS",915,NA,-0.5,212,0,20,0,0,26,0,6.9435,385.711425,0.0129,0.00185785266796284,0.3473,0.050018002448333,0,0,0,0.001,0,0.397318002448333,0.0572215744866901
"2018_L_01",1,"North Pass","7/11/2018",20180711,55.229743,-132.924047,"WR","AB",530,NA,-0.5,216,4,6,0,0,1,32,0.872399999999999,48.46182,0.00290000000000001,0.00332416322787714,0.0504,0.0577716643741403,0,0,0,0,0.0121,0.10817166437414,0.123993196210615
