"ID","Batch","Species_common","Species_scientific","sp_code","sp_group","a.C17.0","a.C18.0","C14.0","C15.0","C16.0","C16.1w7","C16.2w3","C16.2w6","C16.3w3","C16.4w3","C17.0","C17.1w","C17.1w9","C18.0","C18.1w7","C18.1w9","C18.2w3","C18.2w6","C18.3w3","C18.3w6","C18.4w3","C20.0","C20.1w7","C20.1w9","C20.2w3","C20.2w6","C20.3w3","C20.3w6","C20.4w3","C20.4w6","C20.5w3","C22.0","C22.1w9","C22.2w6","C22.3w3","C22.4w3","C22.4w6","C22.5w3","C22.6w3","i.C15.0","i.C16.0","i.C17.0"
"B_001","1","Butter clam","Saxidomus gigantea","CLMBUT","PC",2.6669,0.0864,3.7293,1.5286,50.3976,13.7683,0,1.575,0,0,2.6542,0,0.2157,17.4453,7.1244,6.3415,0,7.1136,1.718,0.421,5.6485,0.1937,11.7229,1.3528,0,1.6322,0.2497,0.3673,1.6288,6.187,21.1632,0.3996,12.8655,0.0301,0.3464,0,4.1232,14.8631,47.7495,0.2169,1.5671,6.3
"B_002","1","Butter clam","Saxidomus gigantea","CLMBUT","PC",1.6646,0.0648,1.3658,0.894,28.5877,4.8894,0,0.6206,0,0,1.8641,0,0.0862,12.7071,2.6849,4.1038,0,1.6479,0.4637,0.0891,1.0062,0.1233,5.9722,1.1164,0,1.043,0.0816,0.1629,0.5216,4.3753,7.7563,0.153,9.272,0.0177,0.2741,0,5.2877,12.077,32.6481,0.1237,0.9375,3.9339
"B_004","3","Pointed Macoma","Macoma inquinata","CLMPOI","PC",0.7509,0,1.3732,1.2378,14.2183,3.9396,0,0.09,1e-04,0,1.2761,0.5807,0.5809,8.9115,0.3068,3.2251,0.0249,0.5213,0.2983,0.1611,0.4467,0.1005,1.8757,6.9013,0,0.1464,0.0298,0.1374,0.2656,5.81,7.2496,0.0304,0.0836,0.0691,0.1735,0.7751,1.1532,5.0731,10.3485,0.0617,0.5258,1.879
"B_005","1","Fucus","Fucus sp.","FUCUS","PP",0,0,46.1761,2.1777,79.2112,11.4044,0,2.6829,0,0,0.9811,0,1.2431,6.6576,0.609,134.4666,0,59.2931,23.5607,4.1577,9.5625,3.0758,5e-04,0.2713,0,0.6708,0.3504,7.0088,2.6081,30.495,10.5115,2.471,0.0699,0,0,0,0.0271,0.0526,0.1061,0.0334,0,0
"B_006","1","Fucus","Fucus sp.","FUCUS","PP",0,0,56.8365,2.8457,103.938,13.9429,0,3.4238,0,0,1.4499,0,1.8779,10.5081,0.4124,196.1135,0,74.9108,27.9737,5.5949,10.0245,4.9216,0,0.5464,0,1.0589,0.4111,9.2207,1.8554,44.4974,11.2095,3.7409,0.13,2e-04,0,0,0.0387,0.0288,0.0676,0.0233,0,0
"B_008","1","Ulva","Ulva sp.","ULVA","PP",0.0097,0,2.5307,0.1442,56.0571,4.1621,0,5.3865,11.434,0,0.0665,0,0.5639,1.7729,32.3505,8.3781,0,33.4201,36.1773,4.2496,16.9887,0.1834,1.2739,0.4716,0,0.1787,0.1269,0.6662,0.6526,1.907,1.7889,3.0482,0.203,0.0308,0.0055,0,0.8839,6.2116,0.1168,0.0465,0,0
"B_009","1","Ulva","Ulva sp.","ULVA","PP",0.0101,0,3.4777,0.3403,62.3484,13.0521,0,8.9681,11.932,0,0.0756,0,0.7482,1.5967,31.627,8.8275,0,39.1787,33.9854,5.4103,15.6012,0.2977,1.2127,0.5582,0,0.1809,0.0957,0.8381,0.7442,2.519,2.694,3.8439,0.1721,0.0319,0.0029,0,0.9735,6.7404,0.1658,0.0706,0,0
"B_015","1","Graceful crab","Metacarcinus gracilis","CRBDUN","SC",1.2574,0.1476,0.6636,1.4723,31.024,10.392,0,0.3343,0,0,2.018,0,2.0785,9.6318,10.0956,17.7232,0,3.6246,0.8713,0.138,0.2736,0.3504,0.7968,0.583,0,1.5082,0.313,0.1322,0.2786,6.5761,29.0942,0.824,0.0262,0.0119,0.1122,0,0.9657,7.7395,30.2157,0.053,0.4078,2.0165
"B_018","1","Idotea","Idotea_rascata","IDORES","PC",0.2314,0.0042,2.023,0.5853,30.4493,9.1913,0,0.7345,0,0,0.8412,0,0.1653,15.3413,17.9976,13.3096,0,4.6014,1.7905,0.7392,0.8998,0.5505,1.8576,2.7973,0,2.9336,2.857,0.53,1.0455,7.0264,21.1309,4.0777,0.3699,0.0335,0.097,0,0.0559,1.493,10.5772,0.2785,0.189,0.3683
"B_019","1","Idotea","Idotea_rascata","IDORES","PC",0.2012,0.0035,3.1756,0.5994,27.5411,15.089,0,1.8533,0,0,0.3624,0,0.2943,11.1312,10.8381,17.614,0,4.191,2.8701,1.1965,2.5122,0.4448,0.3565,1.1457,0,1.1041,0.7184,0.6687,1.3048,7.0719,22.6565,4.0077,0.5061,1.5015,0.1311,0,0.0971,1.9136,11.1127,0.3536,0.1748,0.3051
