Sample,C12:0,C13:0,C14:0,C14:1w5,i-C15:0,C15:0,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w5,i-C17:0,C16:2w6,a-C17:0,C16:3w3,C16:2w,C17:0,C17:1w9,C16:4w3,i-C18:0,C17:3w3,a-C18:0,C17:2w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w,C18:2w6,C18:3w6,C19:0,C19:1w11,C18:3w3,C18:4w3,C20:0,C20:1w9,C20:1w,C20:1w7,C20:2w,C20:2w6,C20:3w6,C21:0,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:2w3,C22:2w,C22:4w6,C22:3w3,C22:5w3,C24:0,C22:6w3
B_001_ButterC__322019_11.qgd,19653,5313,1795380,1411,106180,748359,720429,23169536,0,1513770,110620,2993619,25615,1267280,8096,0,1261225,21594,4486,124563,0,40431,0,8163452,67853,604102,758809,0,568626,77182,14064354,11692,423358,1419111,86693,783344,0,2322502,102401,339484,67894,26125,1505022,60742,335588,8552924,52584,2376839,0,518022,233107,733852,250530,1983862,78,8845364
B_002_ButterC_322019_12.qgd,11510,2907,657552,1000,60574,437662,431019,13142776,0,537565,37354,1869289,4501,790971,2866,0,885765,8627,10,82138,0,30337,0,5946203,28978,390933,285970,0,115377,16341,12267725,-1,114263,254837,55174,707282,0,1183199,60278,216943,30107,12647,1064315,19838,107473,3134654,20136,1724962,0,181545,190302,941107,198299,1611983,11,6047892
B_050_Macoma_322019_7.qgd,159630,35944,22230284,105504,16349,1066125,12277,36416167,0,1253869,76400,234,111459,0,37170,0,466214,125733,41766,0,0,0,97365,3115391,0,12809421,64868,20820,12272374,762149,13855778,39731,5805860,2356403,1376441,360696,0,99,0,139516,1295468,25992,7418097,85227,537351,4248133,325173,9174,0,12,5,4821,13,7016,188634,3
B_005_Fucus_322019_20.qgd,213244,43464,27362460,142342,11392,1393169,13624,47783920,0,1532961,108713,6,118122,1,48173,0,688981,187967,40933,0,0,0,127790,4917221,0,18681970,43924,55535,15313028,1025613,39704793,128174,6893318,2470238,2202482,475423,0,0,0,220243,1704305,57266,10824267,99996,382266,4530232,492297,17097,35,5,-8,6882,-6,3845,236414,34
B_006_Fucus_322019_21.qgd,44535,4584,1218358,970,22747,70594,14361,25771423,0,457601,20291,0,621379,25,2817586,0,31622,56458,3574245,0,0,0,6018,829624,0,798109,3445616,0,6818786,778999,28869245,8,8914849,4186362,82091,109457,0,247893,0,37159,123129,41817,463880,30909,134458,722982,401134,24642,5748,0,18,157311,2095,829094,28226,9
B_030_Fucus_322019_13.qgd,40920,10582,1674229,1486,34555,166580,17045,28663731,0,1435025,23431,8,1013193,5,2940299,0,35937,74910,3903342,0,0,0,235807,747158,0,840915,3368558,0,8040018,991768,25420435,0,8374712,3844471,133245,112996,0,240251,0,37636,154908,37484,612755,23273,153324,1088748,505855,22626,5947,-1,0,173263,2071,899687,48824,18
B_031_Fucus_322019_14.qgd,212430,49519,25549280,228458,118,1196873,13891,37121550,0,1502432,139159,29,114512,6,46802,0,470271,212841,30039,0,0,0,156843,2867555,0,15169298,50066,19519,14667596,805236,10198458,105310,5595528,1714751,1295769,453926,0,0,0,359626,1786417,17689,8450631,149866,699978,4103166,401140,43952,-4,46,23,6988,14,1762,224327,-1
B_008_Ulva_322019_22.qgd,230846,48496,26569292,263952,295,1179982,11018,38049888,0,1686680,145002,20,136666,23,43952,0,480205,213940,31401,0,0,0,142839,3155917,0,15516758,58977,34280,15192196,735674,11226505,100945,5658901,1807119,1418503,405525,0,0,0,451811,2036021,13972,9469196,162947,888542,4259888,429324,30445,0,1023,15,7775,15,3423,253832,4
B_009_Ulva_322019_23.qgd,18504,12892,5415303,10751,3116,203187,11042,8218568,0,213068,19663,-2,172913,0,12057,0,51999,7681,39045,0,0,0,5713,1064928,0,1084452,23794,0,2541389,758519,12029467,11,1257029,2942295,225485,5287,0,0,0,8630,132558,15303,3084777,6495,281535,3816307,9499,0,0,11,-8,0,0,7111,19795,6
B_035_Ulva_322019_25.qgd,11445,9717,6082518,17069,98,244850,3562,9094345,0,466460,15442,36,233442,3,5961,0,66687,10359,9382,0,0,0,5997,663270,0,1291287,14271,0,2456211,831752,20257780,0,800111,1850926,230189,7325,0,0,0,7754,102205,25618,3533590,4786,89700,3129320,7033,46,0,7,0,0,-23,1766,15282,12
