Sample,C12:0,C13:0,C14:0,C14:1w5,i-C15:0,C15:0,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w5,i-C17:0,C16:2w6,a-C17:0,C16:3w3,C16:2w,C17:0,C17:1w9,C16:4w3,i-C18:0,C17:3w3,a-C18:0,C17:2w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w,C18:2w6,C18:3w6,C19:0,C19:1w11,C18:3w3,C18:4w3,C20:0,C20:1w9,C20:1w,C20:1w7,C20:2w,C20:2w6,C20:3w6,C21:0,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:4w3,C22:2w,C22:4w6,C22:3w3,C22:5w3,C24:0,C22:6w3
B_001_ButterC__322019_11.qgd,0.04310,0.01010,3.72930,0.01220,0.21690,1.52860,1.56710,50.39760,0.00000,13.76830,1.00610,6.30000,0.07280,2.66690,0.03290,0.00000,2.65420,0.21570,0.01820,0.26620,0.00000,0.08640,0.00000,17.44530,0.71230,6.34150,7.12440,0.00000,4.63430,0.42100,27.02780,0.05900,1.71800,5.75890,0.19370,3.95390,0.00000,11.72290,0.49230,1.63220,0.36730,0.06460,6.18700,0.24970,1.62880,21.16320,0.39960,12.86550,0.00000,2.79640,1.24990,4.12320,0.34640,14.86310,0.00020,47.74950
B_002_ButterC_322019_12.qgd,0.02530,0.00550,1.36580,0.00860,0.12370,0.89400,0.93750,28.58770,0.00000,4.88940,0.33970,3.93390,0.02770,1.66460,0.01160,0.00000,1.86410,0.08620,0.00000,0.17550,0.00000,0.06480,0.00000,12.70710,0.30420,4.10380,2.68490,0.00000,0.94030,0.08910,23.57520,0.00000,0.46370,1.03420,0.12330,3.57000,0.00000,5.97220,0.28980,1.04300,0.16290,0.03130,4.37530,0.08160,0.52160,7.75630,0.15300,9.27200,0.00000,0.98000,1.02040,5.28770,0.27410,12.07700,0.00000,32.64810
B_050_Macoma_322019_7.qgd,0.35030,0.06830,46.17610,0.90890,0.03340,2.17770,0.02670,79.21120,0.00000,11.40440,0.69490,0.00050,0.39490,0.00000,0.15080,0.00000,0.98110,1.25590,0.16950,0.00000,0.00000,0.00000,0.79350,6.65760,0.00000,134.46660,0.60900,0.16970,100.02020,4.15770,26.62700,0.20050,23.56070,9.56250,3.07580,1.82060,0.00000,0.00050,0.00000,0.67080,7.00880,0.06430,30.49500,0.35040,2.60810,10.51150,2.47100,0.06970,0.00000,0.00010,0.00000,0.02710,0.00000,0.05260,0.46680,0.00000
B_005_Fucus_322019_20.qgd,0.46800,0.08260,56.83650,1.22630,0.02330,2.84570,0.02960,103.93800,0.00000,13.94290,0.98880,0.00000,0.47860,0.00000,0.19550,0.00000,1.44990,1.87750,0.16610,0.00000,0.00000,0.00000,1.04150,10.50810,0.00000,196.11350,0.41240,0.45260,124.80160,5.59490,76.30170,0.64700,27.97370,10.02450,4.92160,2.39970,0.00000,0.00000,0.00000,1.05890,9.22070,0.14170,44.49740,0.41110,1.85540,11.20950,3.74090,0.12990,0.00020,0.00000,0.00000,0.03870,0.00000,0.02880,0.58500,0.00020
B_006_Fucus_322019_21.qgd,0.09770,0.00870,2.53070,0.00840,0.04650,0.14420,0.03120,56.05710,0.00000,4.16210,0.18460,0.00000,5.01800,0.00010,11.43400,0.00000,0.06650,0.56390,14.50460,0.00000,0.00000,0.00000,0.04900,1.77290,0.00000,8.37810,32.35050,0.00000,55.57330,4.24960,55.47870,0.00000,36.17730,16.98870,0.18340,0.55250,0.00000,1.25120,0.00000,0.17870,0.66620,0.10350,1.90700,0.12710,0.65260,1.78890,3.04820,0.18730,0.03080,0.00000,0.00010,0.88390,0.00290,6.21160,0.06980,0.00000
B_030_Fucus_322019_13.qgd,0.08980,0.02010,3.47770,0.01280,0.07060,0.34030,0.03710,62.34840,0.00000,13.05210,0.21310,0.00000,8.09340,0.00000,11.93200,0.00000,0.07560,0.74820,15.84010,0.00000,0.00000,0.00000,1.92180,1.59670,0.00000,8.82750,31.62700,0.00000,65.52640,5.41030,48.85110,0.00000,33.98540,15.60120,0.29770,0.57030,0.00000,1.21270,0.00000,0.18090,0.83810,0.09270,2.51900,0.09570,0.74420,2.69400,3.84390,0.17190,0.03190,0.00000,0.00000,0.97350,0.00290,6.74040,0.12080,0.00010
B_031_Fucus_322019_14.qgd,0.46620,0.09410,53.07020,1.96810,0.00020,2.44480,0.03020,80.74550,0.00000,13.66520,1.26570,0.00010,0.39870,0.00000,0.18990,0.00000,0.98970,2.12590,0.12190,0.00000,0.00000,0.00000,1.27830,6.12800,0.00000,159.23930,0.47010,0.15910,119.54130,4.39270,19.59860,0.53160,22.70720,6.95860,2.89550,2.29120,0.00000,0.00000,0.00000,1.72900,9.66500,0.04380,34.73970,0.61610,3.39750,10.15280,3.04820,0.33400,0.00000,0.00020,0.00010,0.03930,0.00000,0.01320,0.55510,0.00000
B_008_Ulva_322019_22.qgd,0.50660,0.09220,55.18900,2.27390,0.00060,2.41030,0.02400,82.76480,0.00000,15.34100,1.31880,0.00000,0.48930,0.00000,0.17840,0.00000,1.01060,2.13690,0.12740,0.00000,0.00000,0.00000,1.16410,6.74420,0.00000,162.88680,0.55370,0.27940,123.81680,4.01320,21.57420,0.50950,22.96440,7.33350,3.16980,2.04690,0.00000,0.00000,0.00000,2.17220,11.01540,0.03460,38.92690,0.66990,4.31270,10.54060,3.26240,0.23130,0.00000,0.00550,0.00010,0.04370,0.00000,0.02560,0.62810,0.00000
B_009_Ulva_322019_23.qgd,0.04060,0.02450,11.24850,0.09260,0.00640,0.41500,0.02400,17.87680,0.00000,1.93790,0.17880,0.00000,0.75600,0.00000,0.04890,0.00000,0.10940,0.07670,0.15840,0.00000,0.00000,0.00000,0.04660,2.27580,0.00000,11.38400,0.22340,0.00000,20.71240,4.13790,23.11730,0.00010,5.10110,11.94010,0.50390,0.02670,0.00000,0.00000,0.00000,0.04150,0.71720,0.03790,12.68120,0.02670,1.36650,9.44300,0.07220,0.00000,0.00000,0.00010,0.00000,0.00000,0.00000,0.05330,0.04900,0.00000
B_035_Ulva_322019_25.qgd,0.02510,0.01850,12.63440,0.14700,0.00020,0.50010,0.00770,19.78170,0.00000,4.24260,0.14050,0.00010,1.40190,0.00000,0.02420,0.00000,0.14030,0.10350,0.03810,0.00000,0.00000,0.00000,0.04890,1.41740,0.00000,13.55530,0.13400,0.00000,20.01820,4.53740,38.92990,0.00000,3.24690,7.51120,0.51440,0.03700,0.00000,0.00000,0.00000,0.03730,0.55300,0.06340,14.52620,0.01970,0.43540,7.74310,0.05340,0.00030,0.00000,0.00000,0.00000,0.00000,0.00000,0.01320,0.03780,0.00010
