Sample,C12:0,C13:0,C13:1w,C14:0,C14:1w5,i-C15:0,C15:0,i-C16:0,C16:0,C16:1w,C16:1w7,C16:1w5,i-C17:0,C16:2w6,a-C17:0,C16:2w,C17:0,C16:3w3,C17:1w9,C16:4w3,i-C18:0,C17:3w3,a-C18:0,C17:2w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:1w,C18:2w,i-C19:0,C18:2w6,C18:3w6,C19:0,C19:1w11,C18:3w3,C18:4w3,C20:0,C20:1w9,C20:1w,C20:1w7,C20:2w,C20:2w6,C20:3w6,C21:0,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:2w3,C22:2w,C23:0,C22:4w6,C22:3w3,C22:5w3,C24:0,C22:6w3
B_015_Dung_342019_11.qgd,17742,21,819,319489,0,25957,720772,187462,14262824,86028,1142555,27454,958193,29816,597503,0,958898,216309,66,0,266645,24,50399,20012,4507145,126293,1688332,1075271,90482,39,34908,538988,25292,16350677,55,214712,68632,156818,174990,46,71541,22347,313688,24432,29230,1599668,76144,57390,11758163,108443,20,2221,139948,6737,60781,171881,81193,1033035,1019,5597311
B_018_Ido_342019_12.qgd,50654,5,549,973927,15,136328,286531,86885,13998616,43638,1010543,36024,175005,96113,109954,0,399720,17140,-3,0,12023,0,14,6811,7178869,0,1267887,1916907,27909,168,41698,653855,135497,12793815,171,441206,224537,246375,559647,298,167340,2641,610170,97961,33684,1709206,694994,215414,8539853,536619,48706,6248,62518,93,39565,0,70146,199282,1288,1959377
B_019_Ido_342019_13.qgd,108262,0,516,1528821,175092,173098,293429,80343,12661627,26618,1658978,48106,144998,228108,95600,0,172209,30811,23,0,11991,0,123,13756,5208808,84,1677926,1154352,19726,1247,34998,747231,219341,12519470,-104,707246,626433,199068,256851,342,31995,11667,229653,123599,32282,1720292,174764,268818,9156425,527399,66653,280043,80850,261,211237,17284,94811,255424,4042,2058581
B_020_Ido_342019_14.qgd,63057,0,140,1112519,1,110489,244039,60531,10948785,34803,1589544,34256,103941,264846,63963,0,126795,20023,19,0,8214,50,11,10624,4117543,24,1386863,916629,13904,1502,30088,646298,243624,11284940,219,378415,565607,176724,173579,144,15067,2308,214737,77775,28743,1712170,130750,156504,8357780,526303,50886,528,55293,2,82354,17015,72050,176161,975,1581364
B_040_EG_342019_15.qgd,62614,0,0,225268,37,0,40861,0,12642723,33,396697,0,59,120568,11,0,89436,206578,0,0,0,1,19,3202,1375276,0,214207,70654,1738,16,8,2618239,1840,12823797,43,16621699,12949,1198536,29044,268,1205,44,30917,0,210821,7043,54704,76,46396,1980280,30490,31,14,58,1492239,17,25,76,6167878,9
B_042_Ido_342019_16.qgd,45650,0,35434,253053,28,0,162585,44371,8298162,19372,464562,13865,79865,28929,63337,0,131554,19171,30,0,11640,11,24,8427,4672589,91,1409536,819518,13410,216,33397,601461,55425,13076334,93,699278,213620,243168,209241,461,11524,773,307965,54101,43572,1843838,241009,142022,7666800,762838,51058,773,44083,953,117869,14398,56840,214028,2932,1696001
B_048_ButterC_342019_18.qgd,5828,0,0,562098,10,7,453199,478325,15681578,1378,534683,39904,2111775,20697,820429,0,966030,11169,20,0,98824,8,9914,29,7218520,97978,443211,333608,38789,177,33167,119214,42015,13841562,106,88948,190591,67738,1053657,1453,716045,93879,217697,43428,18229,1462713,18283,145040,3978173,29804,2699995,6028,238162,251950,48115,1061853,242868,2106944,6678,8409220
B_063_EG_342019_7.qgd,65932,0,0,352888,16,33,154438,0,16686585,40,339438,11,9,149492,4547,0,140124,225059,0,0,12,-1,11,3482,2954237,-4,273593,118434,1445,9,26,4406331,5051,15025827,74,18961124,107354,1339792,33893,415,1798,156,42374,3427,281861,40051,73013,4224,143323,2421596,28,0,10,24,1531305,-16,5,100,8205214,18
B_064_EG_342019_9.qgd,41201,0,1147,308521,-21,101,74559,0,14698381,9,366750,-6,11,110049,3782,0,92970,194337,0,0,4,14,10,2818,2351353,59,212193,87656,1545,-122,20,3164013,5537,13930259,117,17562915,59551,1295384,25052,-54,1606,73,40047,1889,263556,30663,72026,3032,99003,2337605,41,71,9,24,1543144,-19,111,2421,7268586,0
B_066_Fucus_342019_8.qgd,147307,27707,0,21629930,89591,4,905950,-8,36385386,167,958595,60895,6,439858,20,0,428306,115831,22,0,2,18863,0,95460,3048504,242,13022148,40596,7966,20940,30,13226653,590587,11042792,74662,5946004,2737846,1329892,357026,30,136,144,132550,934658,21272,6560213,80668,407030,4043535,312428,10010,22,8,9,29486,3496,36,91,1256255,-3
