Sample,C12:0,i-C13:0,C13:0,C13:1w,C14:0,C14:1w5,i-C15:0,a-C15:0,C15:0,i-C16:0,C16:0,C16:1w7,C16:1w5,C16:1w,i-C17:0,C16:2w6,a-C17:0,C17:0,C17:1w,C16:3w3,C17:1w9,C17:1w7,C16:4w3,C18:0,C18:1w9,C18:1w7,C18:2w6,C18:2w3,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:4w2,C20:0,C20:1w9,C20:1w7,C20:2w6,C20:2w,C20:3w6,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:4w3,C22:2w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_004_PMacoma_3102019_9.qgd,4464,0,0,8277,905137,1927,41396,19515,830674,333234,9011858,969698,1072,32946,1213648,26419,484987,824266,147784,19,147835,6905,4,5746984,755112,89218,153083,7317,41965,14673788,99681,-14,0,62647,1783804,482932,42798,40281,38954,1557432,9636,75295,3996082,16774,20259,17803,206883,1943,2166,261062,159221,864877,2432498
B_137_Fucus_3102019_10.qgd,90112,0,0,3384,19109319,85902,154,2928,608733,0,29294685,779183,13862,73255,0,177278,0,263288,91220,36,91479,2557,20,2068815,11748044,33403,11946137,13307,471467,14425621,5156338,4564,0,778932,359468,15,163044,309,1095380,7465143,89439,474294,4041141,167201,94525,0,30,356,2313,3288,0,119,0
B_139_Ulva_3102019_12.qgd,43906,2776,0,9565,1304322,1539,15,21509,86434,14,29685250,651526,244166,26642,5248,1906010,31,32973,-18,3660373,67079,32,42177,828058,938319,4097166,10090254,15183,1125898,16251529,10053296,621,0,115175,144308,20,39251,1547,141728,406887,26062,116794,676948,508223,43652,6013,49,487,2460,117784,0,793883,32499
B_140_Ulva_3102019_23.qgd,48466,4712,0,16206,1495751,2136,28,19378,135666,0,23617379,375938,252189,20238,23160,178839,12,46850,-12,819871,105268,51,110862,931817,400344,2154983,3156028,20422,241085,15960938,7586819,-379,0,224069,59965,11,37425,268,156579,257109,65753,1030402,1498227,1218289,8655,4252,846,985,2751,82722,0,1714663,111351
B_143_Limpet_3102019_14.qgd,98092,23884,26052,38823,13045219,24618,982548,57512,909870,413424,41606882,9023897,5877,297133,374135,990295,277914,427556,52435,43,7176,16561,0,14846309,2687228,9438303,1474302,1341019,630576,15327862,579795,27406,573241,1242606,4777547,2257838,1113502,845924,552354,4688021,556860,1867223,25555418,355425,299296,2698410,526318,87143,8235,180434,156584,3088804,1702573
B_144_Limpet_3102019_25.qgd,107388,24221,27230,51585,14202517,17620,1046451,70373,944234,445053,43189304,10289670,10637,311087,371467,1133493,294428,398560,53122,-8,9458,17271,0,13723150,2741694,9267940,1612767,1297960,680575,13714323,694181,30272,607423,1375611,4121246,2164319,972555,790241,576244,4382393,516813,1954303,25224468,405313,298333,2248530,503684,62290,8964,160251,148903,2734973,1667308
B_150_Idotea_3102019_16.qgd,233219,11901,17975,37125,3409889,5390,132023,48257,365904,66051,13646409,2034684,10599,40193,98176,386865,52960,152475,25299,12,1621,3976,32,5032767,1999734,1058860,923191,16714,162484,15884988,1085935,-1180,0,218927,239064,22327,253751,333,91049,1899149,263273,319302,10328595,504268,36940,420006,166925,524,10635,13777,47308,187646,1956231
B_151_Idotea_3102019_27.qgd,960974,29670,49887,110046,8161309,34011,443269,157998,961007,175938,31807791,6638068,8496,125908,264921,1528103,138911,309054,93222,187,6739,16289,126,9113305,5748112,3259074,1839654,58087,569947,13932522,2175166,163,0,423023,1316631,112843,345719,15945,208651,2026978,331263,980666,19034716,450789,28447,308206,368015,211363,11422,22162,127821,365641,3813084
B_157_BMacoma_3102019_19.qgd,5808,0,4983,6906,504045,879,42357,18990,1282670,219468,8435038,437144,6541,29568,1170059,20146,349132,1122436,322639,33,323752,5277,9,5421730,925619,59795,109731,6942,32851,16823502,63073,21,0,75408,1874426,436006,17650,46286,56467,1388726,105,67368,3267062,21651,30617,23503,228646,1625,3878,217413,158002,1053943,2172332
B_158_BMacoma_3102019_30.qgd,3717,0,4073,4477,483467,655,33843,13104,928210,203421,8349483,364083,8694,28362,1066294,14067,347645,821979,187758,21,187758,3946,30,5503010,821467,48174,122598,5495,32976,15342056,59860,2857,0,66229,1798584,400528,31454,34595,47870,1494800,4141,63743,2892585,17978,23271,22282,241421,9020,2732,230500,131769,1025795,2465612
B_161_Ulva_3102019_32.qgd,49468,0,0,11267,1338136,534,10,14749,81561,-24,30785068,530084,244128,24614,7962,1209951,58,28291,88,3359522,79834,78475,47497,629809,886286,4262105,15459,14599,1191633,15628191,10092482,45,0,93668,132077,11,42072,1260,114035,485179,35167,101301,799883,643357,37235,145,1788,2382,3328,153726,0,974228,42023
B_162_Ulva_3102019_34.qgd,38382,0,0,4681,1294773,560,-15,7934,82829,11,30002425,804064,270279,22538,3683,1166710,49,29534,210,3318268,43534,42455,35336,809435,916248,3572243,13704,12593,1106837,16754873,10521360,319,0,114494,134189,29,37128,304,135944,543675,28495,102900,922999,568434,43836,0,1615,556,3155,139327,0,735390,19017
B_164_SugarKelp_3102019_8.qgd,5271,0,0,1189,5463273,11069,26,0,155300,0,9948737,432748,5342,18571,0,173102,2,53503,9218,5,9218,125,13,393890,1672042,14890,2175848,14724,1275866,14850062,455904,2,0,147826,0,0,8770,811,88231,3619694,5012,32747,2028534,4996,7778,0,190,1523,0,0,0,0,0
B_165_Eelgrass_3102019_21.qgd,55190,0,0,384,672561,15873,19,12916,37354,0,16625153,346552,812039,4414,35,271327,29,107896,-12,2960054,739,134,125391,1850274,328050,146468,4412393,12202,12457,16134733,18343009,391,0,1561039,48966,-6,36737,786,941,45497,52558,11338,593784,2922489,0,104,517,2755,140010,0,0,392,17232
Blank_ProdMar9.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5434,0,0,0,91,0,0,0,0,0,0,0,191,387,582,0,0,0,0,0
