Sample,C12:0,i-C13:0,C13:0,C13:1w,C14:0,C14:1w5,i-C15:0,a-C15:0,C15:0,i-C16:0,C16:0,C16:1w7,C16:1w5,C16:1w,i-C17:0,C16:2w6,a-C17:0,C17:0,C17:1w,C16:3w3,C17:1w9,C17:1w7,C16:4w3,C18:0,C18:1w9,C18:1w7,C18:2w6,C18:2w3,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:4w2,C20:0,C20:1w9,C20:1w7,C20:2w6,C20:2w,C20:3w6,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:4w3,C22:2w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_004_PMacoma_3102019_9.qgd,0.0072,0,0,0.0323,1.3732,0.0069,0.0617,0.0291,1.2378,0.5258,14.2183,3.9396,0.0044,0.1338,1.879,0.09,0.7509,1.2761,0.5807,0.0001,0.5809,0.0271,0,8.9115,3.2251,0.3068,0.5213,0.0249,0.1611,23.5514,0.2983,0,0,0.1005,6.9284,1.8757,0.1464,0.1378,0.1374,5.81,0.0298,0.2656,7.2496,0.0304,0.0836,0.0691,0.7751,0.0075,0.004,1.1532,0.1735,5.0731,10.3485
B_137_Fucus_3102019_10.qgd,0.1455,0,0,0.0132,28.9902,0.3061,0.0002,0.0044,0.9071,0,46.219,3.1656,0.0563,0.2976,0,0.6037,0,0.4076,0.3584,0.0001,0.3594,0.01,0.0001,3.208,50.1755,0.1148,40.6784,0.0453,1.8101,23.1531,15.4305,0.0137,0,1.2502,1.3962,0.0001,0.5577,0.0011,3.8637,27.8487,0.2768,1.673,7.3313,0.3033,0.39,0,0.0001,0.0014,0.0043,0.0145,0,0.0007,0
B_139_Ulva_3102019_12.qgd,0.0709,0.004,0,0.0373,1.9787,0.0055,0,0.0321,0.1288,0,46.8352,2.647,0.992,0.1082,0.0081,6.4902,0,0.051,-0.0001,10.9538,0.2636,0.0001,0.1262,1.284,4.0075,14.087,34.3588,0.0517,4.3226,26.0837,30.0847,0.0019,0,0.1849,0.5605,0.0001,0.1343,0.0053,0.4999,1.5179,0.0806,0.412,1.2281,0.922,0.1801,0.0233,0.0002,0.0019,0.0045,0.5203,0,4.6566,0.1383
B_140_Ulva_3102019_23.qgd,0.0783,0.0069,0,0.0632,2.2692,0.0076,0,0.0289,0.2022,0,37.2618,1.5273,1.0246,0.0822,0.0359,0.6089,0,0.0725,0,2.4535,0.4136,0.0002,0.3318,1.4449,1.7099,7.4093,10.7467,0.0695,0.9256,25.6173,22.7037,-0.0011,0,0.3596,0.2329,0,0.128,0.0009,0.5523,0.9591,0.2035,3.6345,2.718,2.2102,0.0357,0.0165,0.0032,0.0038,0.0051,0.3654,0,10.0576,0.4737
B_143_Limpet_3102019_14.qgd,0.1584,0.0348,0.038,0.1514,19.7905,0.0877,1.4641,0.0857,1.3558,0.6523,65.6443,36.6613,0.0239,1.2072,0.5792,3.3721,0.4303,0.6619,0.206,0.0001,0.0282,0.0651,0,23.0212,11.4771,32.4511,5.0203,4.5664,2.421,24.6012,1.7351,0.082,1.7154,1.9944,18.5562,8.7695,3.8086,2.8934,1.9483,17.4886,1.7232,6.5862,46.3619,0.6448,1.235,10.4751,1.972,0.3383,0.0152,0.797,0.1706,18.1179,7.2432
B_144_Limpet_3102019_25.qgd,0.1734,0.0353,0.0397,0.2011,21.5462,0.0628,1.5593,0.1049,1.407,0.7022,68.141,41.8038,0.0432,1.2639,0.5751,3.8597,0.4558,0.617,0.2087,0,0.0372,0.0679,0,21.2796,11.7097,31.8653,5.4917,4.4198,2.6129,22.0115,2.0774,0.0906,1.8177,2.2079,16.0071,8.4063,3.3265,2.7029,2.0326,16.3485,1.5993,6.8934,45.7615,0.7353,1.231,8.7286,1.8871,0.2418,0.0165,0.7079,0.1622,16.0424,7.0932
B_150_Idotea_3102019_16.qgd,0.3765,0.0173,0.0262,0.1448,5.173,0.0192,0.1967,0.0719,0.5452,0.1042,21.5303,8.2663,0.0431,0.1633,0.152,1.3174,0.082,0.2361,0.0994,0,0.0064,0.0156,0.0001,7.804,8.5408,3.6406,3.1436,0.0569,0.6238,25.4954,3.2497,-0.0035,0,0.3514,0.9285,0.0867,0.8679,0.0011,0.3212,7.0848,0.8147,1.1263,18.7378,0.9148,0.1524,1.6305,0.6254,0.002,0.0196,0.0609,0.0515,1.1007,8.3223
B_151_Idotea_3102019_27.qgd,1.5516,0.0432,0.0727,0.4291,12.3813,0.1212,0.6605,0.2354,1.432,0.2776,50.184,26.9684,0.0345,0.5115,0.4101,5.2035,0.2151,0.4785,0.3663,0.0006,0.0265,0.064,0.0004,14.1314,24.55,11.2055,6.2643,0.1978,2.1882,22.3617,6.5092,0.0005,0,0.679,5.1138,0.4383,1.1825,0.0545,0.736,7.5616,1.0251,3.4591,34.5322,0.8178,0.1174,1.1964,1.3788,0.8205,0.0211,0.0979,0.1393,2.1447,16.2219
B_157_BMacoma_3102019_19.qgd,0.0094,0,0.0073,0.0269,0.7647,0.0031,0.0631,0.0283,1.9113,0.3463,13.3082,1.776,0.0266,0.1201,1.8115,0.0686,0.5405,1.7377,1.2677,0.0001,1.272,0.0207,0,8.4071,3.9533,0.2056,0.3737,0.0236,0.1261,27.0017,0.1887,0.0001,0,0.121,7.2803,1.6935,0.0604,0.1583,0.1992,5.1806,0.0003,0.2376,5.927,0.0393,0.1263,0.0912,0.8567,0.0063,0.0072,0.9604,0.1721,6.1821,9.2417
B_158_BMacoma_3102019_30.qgd,0.006,0,0.0059,0.0175,0.7335,0.0023,0.0504,0.0195,1.3831,0.3209,13.1732,1.4792,0.0353,0.1152,1.6508,0.0479,0.5382,1.2726,0.7377,0.0001,0.7377,0.0155,0.0001,8.5332,3.5085,0.1656,0.4175,0.0187,0.1266,24.624,0.1791,0.0085,0,0.1063,6.9858,1.5557,0.1076,0.1183,0.1689,5.5763,0.0128,0.2248,5.2476,0.0326,0.096,0.0865,0.9045,0.035,0.005,1.0182,0.1436,6.017,10.4894
B_161_Ulva_3102019_32.qgd,0.0799,0,0,0.0439,2.03,0.0019,0,0.022,0.1215,0,48.5704,2.1536,0.9918,0.1,0.0123,4.12,0.0001,0.0438,0.0003,10.0535,0.3137,0.3083,0.1421,0.9766,3.7853,14.6541,0.0526,0.0497,4.575,25.0832,30.202,0.0001,0,0.1503,0.513,0,0.1439,0.0043,0.4022,1.81,0.1088,0.3573,1.4511,1.1672,0.1536,0.0006,0.0067,0.0092,0.0061,0.6791,0,5.7145,0.1788
B_162_Ulva_3102019_34.qgd,0.062,0,0,0.0183,1.9643,0.002,0,0.0118,0.1234,0,47.3357,3.2667,1.0981,0.0916,0.0057,3.9729,0.0001,0.0457,0.0008,9.93,0.171,0.1668,0.1057,1.2551,3.9133,12.2822,0.0467,0.0429,4.2495,26.8915,31.4854,0.001,0,0.1838,0.5212,0.0001,0.127,0.001,0.4795,2.0282,0.0882,0.363,1.6745,1.0312,0.1809,0,0.0061,0.0022,0.0058,0.6155,0,4.3135,0.0809
B_164_SugarKelp_3102019_8.qgd,0.0085,0,0,0.0046,8.2882,0.0394,0,0,0.2314,0,15.6964,1.7581,0.0217,0.0754,0,0.5894,0,0.0828,0.0362,0,0.0362,0.0005,0,0.6108,7.1412,0.0512,7.4091,0.0501,4.8984,23.8343,1.3643,0,0,0.2373,0,0,0.03,0.0028,0.3112,13.5032,0.0155,0.1155,3.6801,0.0091,0.0321,0,0.0007,0.0059,0,0,0,0,0
B_165_Eelgrass_3102019_21.qgd,0.0891,0,0,0.0015,1.0203,0.0566,0,0.0192,0.0557,0,26.23,1.4079,3.2991,0.0179,0.0001,0.9239,0,0.167,0,8.858,0.0029,0.0005,0.3752,2.8691,1.4011,0.5036,15.0249,0.0415,0.0478,25.8962,54.8919,0.0012,0,2.5055,0.1902,0,0.1257,0.0027,0.0033,0.1697,0.1626,0.04,1.0772,5.3019,0,0.0004,0.0019,0.0107,0.2585,0,0,0.0023,0.0733
Blank_ProdMar9.qgd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0087,0,0,0,0.0003,0,0,0,0,0,0,0,0.0007,0.0014,0.0023,0,0,0,0,0
