Sample,C12:0,i-C13:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w5,i-C15:0,a-C15:0,C15:0,i-C16:0,C16:0,C16:1w7,C16:1w,i-C17:0,C16:2w6,a-C17:0,C17:0,C16:3w3,C17:1w9,C17:1w7,C18:0,C18:1w9,C18:1w7,C18:2w6,C18:1w,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:4w2,C20:0,C20:1w9,C20:1w7,C20:2w6,C20:3w6,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_102_Ulva_3122019_7.qgd,34871,0,4253,0,4810,969780,0,19346,5933,91031,0,26567007,226937,12377,0,50863,0,47929,760873,106,2326,1381787,262680,2039529,3364185,3675,309578,14397524,10207295,8173795,589,380460,52254,37088,27760,97865,201449,58619,662097,1410966,1896252,0,342,116,3009,77230,351,47919,37316
B_105_Eelgrass_3122019_8.qgd,58060,0,568,0,1565,305489,0,0,0,39997,0,15066857,140912,3636,0,64657,0,59187,2800553,0,21,1546275,270985,60976,3460216,877,0,13340893,17039449,34928,85,1342198,52040,4463,51585,2672,14989,67074,3853,117196,2440780,0,4,848,225396,0,0,0,16848
B_106_Eelgrass_3122019_9.qgd,142757,0,621,0,4480,625963,0,0,0,82906,0,16660203,317839,4958,0,74174,0,126271,2819397,0,200,2272819,266965,98935,2681401,587,0,14318613,17552951,100231,-11,1682821,61720,6022,57278,4491,46278,81671,8431,368723,2747946,0,0,127,249764,0,0,0,29247
B_108_Fucus_3122019_10.qgd,197229,1499,46486,0,7698,26040588,160564,11287,6815,1225233,0,41607391,1324759,114267,40,533166,0,516327,121,166899,4790,3383756,14880463,67057,15496093,20717,808539,11809802,7570443,3008837,32,1342507,481578,0,264296,1593314,10082877,135359,741431,5577371,386174,391270,33,148,6985,0,0,0,0
B_110_SugarKelp_3122019_11.qgd,20698,0,22695,0,2970,7914646,28858,10739,5807,484902,0,12224997,571156,52674,223,233399,0,184167,-6,14910,2246,1342628,1549038,70573,3054006,459,744213,16166186,1033811,1893080,-1,563571,135052,43110,46529,182432,3079573,13600,178923,3765183,52954,89154,6103,366,92523,0,3379,0,17596
B_111_SugarKelp_3122019_12.qgd,16946,0,19088,0,0,8295104,30451,18334,2851,393173,0,11451715,470070,63954,575,266348,0,211681,-5,11539,481,1232003,1830022,68516,3189410,370,1428097,17693184,960844,2055320,56,599733,192561,56977,54382,251201,4194432,14360,137245,3663660,67247,109280,10945,577,134518,0,5064,0,8376
B_113_Limpet_3122019_13.qgd,105319,30932,37934,0,80819,13307921,1812053,1373765,76037,1121909,683123,43258364,8212021,334114,502195,885558,320420,668454,60,16925,18162,17560022,2728415,9522730,3200666,26676,597482,15546917,1122805,2707123,651265,1537092,5076870,5014247,2070312,619003,5130958,900860,2197154,28778892,472453,482410,2849073,2160,154189,246864,179408,64880,1989336
B_115_Limpet_3122019_14.qgd,108579,37421,43362,0,81012,13270712,1964766,1475301,84315,1182231,714089,42375294,7856376,334759,576347,938875,357331,705067,298,18013,20839,17119536,2657040,9018663,3298542,27963,608866,15434576,1217917,2641284,807015,1574191,4746178,4867724,2127527,589302,5029738,889468,2148764,28262112,505587,470426,2816089,1615,142934,246274,179361,60201,1900409
B_116_Idotea_3122019_15.qgd,1309141,39932,82628,0,124608,13038422,62128,525762,174272,1341914,204379,40932671,7376269,208152,306822,2184017,159995,477260,986,103672,16350,12723367,7232987,3293532,3144609,98010,842754,14694403,3161971,4238338,282515,886228,1924097,284175,627085,323303,2722862,631994,1792330,26305661,768296,160234,230091,2342,135640,37519,151602,31435,5107163
B_117_Idotea_3122019_16.qgd,624388,22832,58353,0,73178,10381628,34118,296500,109427,1079887,128360,30112144,5637961,162223,209076,1691465,96258,430074,776,63086,11750,10192795,4005027,2045971,2230226,72482,656550,16127174,1725977,3109861,122075,620828,530463,134990,392420,204278,1940273,248965,994268,20718154,703036,154604,0,574,150679,21922,95908,15635,3928989
B_119_BMacoma_3122019_18.qgd,9362,0,15274,0,5986,1681343,8379,37082,16742,1086711,300381,12219934,588894,56846,1614196,5597,468381,1040468,12,150706,4284,8045387,1303275,87911,236362,17751,122391,16735349,74849,438958,3604,331777,2532832,1034391,137660,112653,2167540,14422,102118,3734267,62319,111526,76191,181,87859,333452,166542,4670,3367493
B_120_BMacoma_3122019_19.qgd,7689,0,13009,0,5672,1525822,8710,40098,19475,1214465,274828,11511504,513250,60060,1365939,4220,430005,1084118,41,198773,4672,7584819,1227984,92622,228597,17721,122580,16476499,68530,295991,2820,379721,2489257,1079084,137968,107020,2011021,14696,81396,3698991,68001,124159,73986,220,101468,336343,184914,5066,3270655
B_122_ButterC_3122019_20.qgd,10278,1132,13667,0,5003,1899017,13270,62421,11405,532284,474414,18000754,651344,83765,1786275,13111,534670,773406,26,16092,4088,6210124,566539,446139,683262,37619,44714,17744086,282859,451913,7461,385053,1006629,1691397,950600,65547,947234,133346,355194,5412166,90501,206206,2271408,129,131796,238439,146876,18595,8154319
B_130_Eelgrass_3122019_21.qgd,104574,0,10043,0,5791,2015330,30,35,157,347698,8,17130590,1185347,35049,155,86811,0,282155,3097978,0,723,2933137,390676,158077,2418467,946,38192,16174838,17452351,235466,9,2079469,177053,54885,73491,10547,141353,76084,26953,907688,2931291,85283,11014,282,368550,0,9610,0,69694
B_134_SugarKelp_3122019_22.qgd,18983,0,27272,0,0,7503080,29433,10876,0,488782,0,12144752,528523,60883,283,309532,0,194954,24,4494,205,969288,1672508,58448,3050267,1119,952211,15817167,842294,1452921,70,656121,139091,43695,40987,203867,3602010,18894,175461,3707075,61784,118580,8968,199,100516,0,5389,0,10186
B_135_SugarKelp_3122019_23.qgd,30718,5412,66725,0,0,8768426,27160,10064,5351,566619,0,14826555,370859,76640,277,55097,0,220687,17,4605,79,1333662,1990471,71285,3442851,914,665431,17536486,1049981,1593929,19,615909,166744,51287,47356,245612,3523743,22241,280451,3724304,68387,97420,11468,162,116990,0,3567,0,11615
B_136_Fucus_3122019_24.qgd,160388,0,54720,0,5331,24399898,155183,10213,4549,1429191,4831,39544575,1229613,140217,210,454224,0,587602,0,182019,5112,3387214,13296332,115656,13896384,23342,684836,13538301,6912295,2627205,57,1428304,515999,32358,263959,1462411,8845228,121131,671514,4525286,430376,269096,7696,120,107383,0,0,0,0
B_024_Eelgrass.qgd,33873,0,1717,0,0,268919,32,302,92,27071,78,11420155,102572,3451,0,66150,0,63632,1910499,0,328,1576831,223080,160834,2602366,1177,0,10951415,12121997,10554,0,1022120,98368,29207,28867,1471,33289,39424,5236,201765,1785309,0,0,202,136688,0,0,0,22213
B_107_Fucus.qgd,126323,0,26737,0,0,19245519,115405,3985,4117,843439,0,32244816,1062097,90090,0,453363,0,384337,55,113482,3449,2489109,11146922,46420,12064016,15176,731730,9397679,5602553,2515131,21,1216392,409725,0,221619,1308721,7954783,113346,548023,4801642,363833,380546,0,0,7073,0,0,0,0
B_131_Eelgrass.qgd,87837,0,6663,0,1568,944691,6130,8029,302,176624,0,10622261,176097,21233,129,39927,0,178728,2073564,0,196,1920770,211199,75073,1379650,838,8887,12179800,12173090,34921,-6,1281727,145690,38057,48244,5180,26136,52440,2242,181838,1762141,0,6726,287,234634,0,0,0,19359
Blank6Mar_Blank6Mar_382019_4.qgd,3860,0,5186,0,0,454749,748,3391,3241,82272,69,1137458,18413,14038,0,0,0,61788,386,0,263,333196,74424,23017,44439,644,0,11149021,13942,4437,1640,173945,44242,0,17025,3413,10092,4465,0,0,26845,0,0,0,0,0,0,0,0
Blank7mar_Blank7mar_382019_2.qgd,1954,0,0,0,0,6281,355,64,355,0,0,88737,968,541,0,0,0,3104,0,0,729,84625,33425,1267,18098,0,0,9983545,12934,0,494,5594,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
