Sample,C12:0,i-C13:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w5,i-C15:0,a-C15:0,C15:0,i-C16:0,C16:0,C16:1w7,C16:1w,i-C17:0,C16:2w6,a-C17:0,C17:0,C16:3w3,C17:1w9,C17:1w7,C18:0,C18:1w9,C18:1w7,C18:2w6,C18:1w,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:4w2,C20:0,C20:1w9,C20:1w7,C20:2w6,C20:3w6,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_102_Ulva_3122019_7.qgd,0.0648,0.0000,0.0067,0.0000,0.0084,1.6900,0.0000,0.0330,0.0101,0.1551,0.0000,48.2809,1.0458,0.0570,0.0000,0.2059,0.0000,0.0832,2.6231,0.0005,0.0105,2.4287,1.3534,8.1424,13.6191,0.0189,1.3773,22.7626,35.1893,28.1789,0.0020,0.6921,0.2323,0.1649,0.1117,0.4419,0.8849,0.2027,2.6928,5.7386,3.9362,0.0000,0.0016,0.0005,0.0065,0.3593,0.0004,0.3084,0.1638
B_105_Eelgrass_3122019_8.qgd,0.1080,0.0000,0.0009,0.0000,0.0027,0.5323,0.0000,0.0000,0.0000,0.0682,0.0000,27.3814,0.6494,0.0168,0.0000,0.2617,0.0000,0.1028,9.6548,0.0000,0.0001,2.7178,1.3962,0.2434,14.0078,0.0045,0.0000,21.0920,58.7429,0.1204,0.0003,2.4417,0.2314,0.0198,0.2076,0.0121,0.0658,0.2319,0.0157,0.4767,5.0666,0.0000,0.0000,0.0037,0.4844,0.0000,0.0000,0.0000,0.0739
B_106_Eelgrass_3122019_9.qgd,0.2655,0.0000,0.0010,0.0000,0.0078,1.0908,0.0000,0.0000,0.0000,0.1413,0.0000,30.2770,1.4647,0.0228,0.0000,0.3003,0.0000,0.2193,9.7198,0.0000,0.0009,3.9948,1.3755,0.3950,10.8550,0.0030,0.0000,22.6378,60.5132,0.3455,0.0000,3.0614,0.2744,0.0268,0.2305,0.0203,0.2033,0.2824,0.0343,1.4996,5.7042,0.0000,0.0000,0.0006,0.5367,0.0000,0.0000,0.0000,0.1283
B_108_Fucus_3122019_10.qgd,0.3667,0.0024,0.0733,0.0000,0.0134,45.3787,1.0988,0.0192,0.0116,2.0880,0.0000,75.6142,6.1050,0.5266,0.0001,2.1584,0.0000,0.8966,0.0004,0.7516,0.0216,5.9475,76.6706,0.2677,62.7319,0.1067,3.5972,18.6714,26.0988,10.3729,0.0001,2.4423,2.1413,0.0000,1.0635,7.1945,44.2915,0.4680,3.0155,22.6839,0.8016,1.9320,0.0002,0.0006,0.0150,0.0000,0.0000,0.0000,0.0000
B_110_SugarKelp_3122019_11.qgd,0.0385,0.0000,0.0358,0.0000,0.0052,13.7922,0.1975,0.0183,0.0099,0.8264,0.0000,22.2168,2.6321,0.2427,0.0004,0.9449,0.0000,0.3198,0.0000,0.0671,0.0101,2.3599,7.9813,0.2817,12.3634,0.0024,3.3110,25.5588,3.5641,6.5263,0.0000,1.0253,0.6005,0.1917,0.1872,0.8238,13.5278,0.0470,0.7277,15.3135,0.1099,0.4402,0.0280,0.0016,0.1988,0.0000,0.0038,0.0000,0.0772
B_111_SugarKelp_3122019_12.qgd,0.0315,0.0000,0.0301,0.0000,0.0000,14.4552,0.2084,0.0312,0.0049,0.6700,0.0000,20.8115,2.1663,0.2947,0.0010,1.0782,0.0000,0.3676,0.0000,0.0520,0.0022,2.1654,9.4291,0.2735,12.9114,0.0019,6.3537,27.9730,3.3125,7.0856,0.0002,1.0910,0.8562,0.2533,0.2189,1.1343,18.4251,0.0496,0.5582,14.9006,0.1396,0.5396,0.0503,0.0025,0.2891,0.0000,0.0057,0.0000,0.0368
B_113_Limpet_3122019_13.qgd,0.1958,0.0488,0.0598,0.0000,0.1408,23.1906,7.3395,2.3412,0.1296,1.9119,1.2415,78.6146,37.8443,1.5397,0.8720,3.5849,0.5564,1.1608,0.0002,0.0762,0.0818,30.8644,14.0580,38.0175,12.9571,0.1374,2.6582,24.5798,3.8708,9.3327,2.2452,2.7963,22.5740,22.2956,8.3310,2.7951,22.5390,3.1146,8.9361,117.0473,0.9807,2.3821,13.0825,0.0095,0.3313,1.1486,0.2024,0.4176,8.7300
B_115_Limpet_3122019_14.qgd,0.2019,0.0590,0.0684,0.0000,0.1412,23.1258,7.9491,2.5142,0.1437,2.0147,1.2977,77.0097,36.2053,1.5427,1.0008,3.8008,0.6205,1.2243,0.0010,0.0811,0.0938,30.0902,13.6902,36.0051,13.3532,0.1441,2.7089,24.4021,4.1987,9.1057,2.7822,2.8638,21.1036,21.6440,8.5613,2.6610,22.0944,3.0753,8.7393,114.9455,1.0495,2.3229,12.9310,0.0071,0.3072,1.1459,0.2024,0.3875,8.3397
B_116_Idotea_3122019_15.qgd,2.4343,0.0630,0.1303,0.0000,0.2171,22.7210,0.4252,0.8960,0.2970,2.2869,0.3714,74.3880,33.9928,0.9592,0.5328,8.8414,0.2778,0.8288,0.0034,0.4669,0.0736,22.3632,37.2675,13.1487,12.7300,0.5050,3.7495,23.2319,10.9008,14.6115,0.9740,1.6122,8.5554,1.2636,2.5234,1.4599,11.9608,2.1851,7.2896,106.9884,1.5948,0.7912,1.0565,0.0103,0.2915,0.1746,0.1710,0.2023,22.4122
B_117_Idotea_3122019_16.qgd,1.1610,0.0360,0.0920,0.0000,0.1275,18.0912,0.2335,0.5053,0.1865,1.8403,0.2333,54.7236,25.9820,0.7476,0.3631,6.8474,0.1671,0.7468,0.0027,0.2841,0.0529,17.9154,20.6356,8.1681,9.0285,0.3735,2.9210,25.4971,5.9502,10.7211,0.4208,1.1294,2.3587,0.6002,1.5791,0.9224,8.5231,0.8608,4.0438,84.2633,1.4594,0.7634,0.0000,0.0025,0.3238,0.1020,0.1082,0.1006,17.2419
B_119_BMacoma_3122019_18.qgd,0.0174,0.0000,0.0241,0.0000,0.0104,2.9299,0.0573,0.0632,0.0285,1.8520,0.5459,22.2076,2.7139,0.2620,2.8030,0.0227,0.8133,1.8067,0.0000,0.6787,0.0193,14.1410,6.7150,0.3510,0.9568,0.0915,0.5445,26.4587,0.2580,1.5133,0.0124,0.6036,11.2621,4.5994,0.5540,0.5087,9.5215,0.0499,0.4153,15.1877,0.1294,0.5507,0.3499,0.0008,0.1888,1.5515,0.1879,0.0301,14.7779
B_120_BMacoma_3122019_19.qgd,0.0143,0.0000,0.0205,0.0000,0.0099,2.6589,0.0596,0.0683,0.0332,2.0697,0.4995,20.9202,2.3653,0.2768,2.3719,0.0171,0.7467,1.8825,0.0001,0.8952,0.0210,13.3315,6.3271,0.3698,0.9254,0.0913,0.5454,26.0494,0.2362,1.0204,0.0097,0.6908,11.0684,4.7981,0.5552,0.4832,8.8339,0.0508,0.3310,15.0443,0.1412,0.6130,0.3397,0.0010,0.2180,1.5650,0.2086,0.0326,14.3529
B_122_ButterC_3122019_20.qgd,0.0191,0.0018,0.0216,0.0000,0.0087,3.3093,0.0908,0.1064,0.0194,0.9071,0.8622,32.7132,3.0017,0.3860,3.1018,0.0531,0.9284,1.3430,0.0001,0.0725,0.0184,10.9152,2.9191,1.7811,2.7660,0.1938,0.1989,28.0535,0.9752,1.5580,0.0257,0.7005,4.4760,7.5207,3.8253,0.2960,4.1610,0.4610,1.4446,22.0119,0.1879,1.0182,10.4300,0.0006,0.2832,1.1094,0.1657,0.1197,35.7843
B_130_Eelgrass_3122019_21.qgd,0.1945,0.0000,0.0158,0.0000,0.0101,3.5119,0.0002,0.0001,0.0003,0.5925,0.0000,31.1319,5.4626,0.1615,0.0003,0.3514,0.0000,0.4900,10.6802,0.0000,0.0033,5.1554,2.0129,0.6311,9.7905,0.0049,0.1699,25.5725,60.1665,0.8118,0.0000,3.7830,0.7872,0.2440,0.2958,0.0476,0.6209,0.2631,0.1096,3.6917,6.0848,0.4211,0.0506,0.0012,0.7920,0.0000,0.0108,0.0000,0.3058
B_134_SugarKelp_3122019_22.qgd,0.0353,0.0000,0.0430,0.0000,0.0000,13.0750,0.2014,0.0185,0.0000,0.8330,0.0000,22.0710,2.4356,0.2806,0.0005,1.2530,0.0000,0.3385,0.0001,0.0202,0.0009,1.7037,8.6175,0.2333,12.3481,0.0058,4.2364,25.0070,2.9038,5.0089,0.0002,1.1936,0.6185,0.1943,0.1650,0.9206,15.8227,0.0653,0.7136,15.0771,0.1283,0.5855,0.0412,0.0009,0.2160,0.0000,0.0061,0.0000,0.0447
B_135_SugarKelp_3122019_23.qgd,0.0571,0.0085,0.1052,0.0000,0.0000,15.2800,0.1859,0.0172,0.0091,0.9656,0.0000,26.9447,1.7091,0.3532,0.0005,0.2230,0.0000,0.3832,0.0001,0.0207,0.0004,2.3441,10.2558,0.2846,13.9375,0.0047,2.9605,27.7253,3.6198,5.4950,0.0001,1.1205,0.7415,0.2280,0.1906,1.1090,15.4789,0.0769,1.1406,15.1472,0.1420,0.4810,0.0527,0.0007,0.2514,0.0000,0.0040,0.0000,0.0510
B_136_Fucus_3122019_24.qgd,0.2982,0.0000,0.0863,0.0000,0.0093,42.5196,1.0620,0.0174,0.0078,2.4356,0.0088,71.8654,5.6665,0.6462,0.0004,1.8388,0.0000,1.0204,0.0000,0.8197,0.0230,5.9535,68.5085,0.4617,56.2558,0.1203,3.0469,21.4041,23.8300,9.0572,0.0002,2.5984,2.2944,0.1439,1.0621,6.6034,38.8548,0.4188,2.7311,18.4049,0.8934,1.3287,0.0354,0.0005,0.2308,0.0000,0.0000,0.0000,0.0000
B_024_Eelgrass.qgd,0.0630,0.0000,0.0027,0.0000,0.0000,0.4686,0.0002,0.0005,0.0002,0.0461,0.0001,20.7541,0.4727,0.0159,0.0000,0.2678,0.0000,0.1105,6.5864,0.0000,0.0015,2.7715,1.1494,0.6421,10.5350,0.0061,0.0000,17.3142,41.7902,0.0364,0.0000,1.8595,0.4374,0.1299,0.1162,0.0066,0.1462,0.1363,0.0213,0.8206,3.7060,0.0000,0.0000,0.0009,0.2937,0.0000,0.0000,0.0000,0.0975
B_107_Fucus.qgd,0.2349,0.0000,0.0422,0.0000,0.0000,33.5375,0.7898,0.0068,0.0070,1.4374,0.0000,58.5993,4.8946,0.4152,0.0000,1.8353,0.0000,0.6674,0.0002,0.5111,0.0155,4.3750,57.4338,0.1853,48.8381,0.0782,3.2555,14.8578,19.3146,8.6708,0.0001,2.2129,1.8218,0.0000,0.8918,5.9095,34.9433,0.3919,2.2289,19.5289,0.7552,1.8791,0.0000,0.0000,0.0152,0.0000,0.0000,0.0000,0.0000
