Sample,C12:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w5,i-C15:0,a-C15:0,C15:0,i-C16:0,a-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w,i-C17:0,C16:2w6,a-C17:0,C17:1w,C17:0,C17:1w9,C16:3w3,C16:4w3,i-C18:0,a-C18:0,C17:2w,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w6,i-C19:0,a-C19:0,C18:3w6,C19:0,C18:3w3,C19:1w,C18:4w3,C18:4w2,C20:0,C20:1w9,C20:1w7,C20:2w6,C20:3w6,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:4w3,C22:3w,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_025_Eelgrass_3142019_8.qgd,80625,0,0,972,237154,9212,48,41,30583,0,0,11026701,0,530338,39,0,56215,0,184,64993,0,1664718,125,0,19,0,1559950,2139,162863,76214,1947220,0,19,340,11480279,11417745,0,5046,10135,1023717,43285,6249,20693,0,6182,26366,0,36599,1689345,0,0,3580,0,126449,0,0,0,12918
B_101_Ulva_3142019_27.qgd,26325,0,0,6080,792257,0,19486,6717,70752,0,0,20675062,0,666693,9263,7700,141498,0,24,38080,13199,707063,0,0,0,0,1736744,3580,275597,1646331,3248943,0,44,258806,9993567,6769008,0,4782140,17106,256021,50092,55954,23116,56013,164113,36488,338428,882864,1093020,72697,0,807,30,2293,54746,0,1138077,45382
B_023_Limpet_3142019_7.qgd,53052,17937,0,23506,7429465,10804,512153,37270,665122,216427,22685,27548497,0,4332936,120463,214710,264697,152970,2345,346896,37711,0,0,0,0,0,10881926,28623,1658321,1677914,1345056,0,11993,297823,10502729,426499,0,991368,169825,604320,3877948,3079792,977346,284118,4572556,474452,747864,17849153,179762,29553,2090136,238750,46120,9605,208925,101895,2511024,1346177
B_049_ButterC_3142019_9.qgd,5392,1508,0,2507,513423,239,41992,7714,422600,355808,4495,12990472,0,448235,31108,1370557,0,573056,3075,753010,9167,0,0,101638,44186,0,5690448,26420,322021,272986,191316,0,65461,6832,11183078,50652,0,123058,-9,48212,660457,1193865,168609,43444,1096196,7092,83977,2970958,13676,26403,2105182,292327,107699,2592,930415,165448,1450955,6044177
B_051_Macoma_3142019_10.qgd,5344,2937,0,4602,535831,0,32051,13366,909143,238642,2407,7886939,0,460959,20906,1062938,0,360956,25198,967195,269480,0,95,17454,112031,0,5253902,20576,724174,51650,109432,0,80350,32916,10730851,34609,0,109997,12,63067,1925387,826080,53712,46975,1341256,4181,55148,2689519,17020,60969,101136,200457,2444,2204,274581,193106,805356,2055033
B_056_Limpet_3142019_12.qgd,107105,23556,0,52961,10792960,27113,976633,60929,890137,496568,25444,39019406,0,6058048,187223,386892,449236,259286,4669,491893,68369,0,44,87,116,0,12682414,22359,2519748,7991358,2212148,0,15763,508716,10227552,762633,0,1646270,302659,841436,4764384,4198038,1683947,518950,5288360,804238,1407505,21819261,299789,54794,2246055,365120,60027,15119,281152,165648,3152647,1801595
B_057_Limpet_3142019_13.qgd,116456,24519,0,51146,10560068,29725,1030029,65713,935117,505107,27278,37969270,0,5237783,185593,410961,381668,282852,5577,521062,69854,0,-5,193,7,0,12490501,24306,2594795,7977443,2123210,0,20460,425759,11353503,701690,0,1357277,271883,776721,4918859,4128259,1759879,480597,5379001,823834,1276831,22005005,292578,26663,2391230,350321,63448,14766,308555,176419,3180769,1866678
B_078_Idotea_3142019_14.qgd,129929,10091,0,48106,1607957,2118,133432,49313,242152,63698,2860,11802696,0,1017612,34818,118872,116249,67531,2387,217812,19274,0,0,5312,16615,0,5350875,29196,1414217,1131796,851994,0,17549,114176,10265746,756256,0,625271,7705,210234,400307,161064,402838,96175,1500006,458858,282551,7984579,498384,257242,0,194602,83,7560,16101,42983,180429,1452726
B_080_ButterC_3142019_15.qgd,7895,1791,0,2211,672778,28,32187,6652,398477,288807,3751,13015371,0,496773,26775,1093503,0,455294,3132,680022,6497,0,0,96525,37840,0,6150025,31817,341252,246710,224612,0,49449,9620,10861343,43819,0,112655,36,46503,675134,1240192,188882,58237,1056845,8379,82997,2993988,17383,24895,1825956,351102,123145,3043,1099204,157379,1763681,5472239
B_081_ButterC_3142019_16.qgd,6134,2173,0,2504,576688,255,34524,6528,351796,310098,3530,14772391,0,454963,27426,1208081,0,465011,3150,677200,7946,0,780,77909,40074,0,6356596,39903,318523,395110,329151,0,44245,12690,10958429,55873,0,157363,32,45756,788900,1527031,282507,88924,1122284,14940,143518,4028126,17911,33373,2055676,414012,96027,2022,842521,162466,1695237,6059915
B_086_PMacoma_3142019_18.qgd,8791,3465,0,4492,799606,474,39229,15664,847132,297483,4319,8272638,0,626774,26282,1063570,0,409449,19301,793776,74274,0,0,30948,175399,0,5759851,21395,720813,71389,129031,0,118449,34739,11066761,42417,0,161171,29,65207,1848473,1023766,74099,69196,1400618,5134,93272,3206330,16893,44036,46688,245136,1811,1948,329183,134060,913569,2063514
B_088_Limpet_3142019_19.qgd,89947,22961,0,60864,11276894,25853,949921,52640,868870,444579,16582,37524275,0,5313567,200709,364864,455261,213930,4834,504076,50671,0,0,-44,131,0,13642656,19904,3059358,7043836,2431426,0,21153,484457,10573790,1319116,0,1995003,374865,1054838,4447228,4344997,1666934,627974,5299274,1483455,2065775,19138562,428666,51958,1988068,390525,61826,14962,305125,209400,3148230,1689410
B_055_DungC_3142019_11.qgd,28595,5567,0,4341,412121,755,55274,23074,928224,199080,12150,10658860,0,1067421,54853,761637,14552,381677,16467,1281314,274453,0,540,33490,114929,0,4392441,99847,853108,909473,418043,0,29676,19293,11056087,117076,0,60125,114,155948,217090,287618,190925,34211,1116242,31519,92385,8861972,70968,57003,0,229062,1278,6105,138513,74950,881504,4216133
B_090_RedRockC_3142019_20.qgd,19007,2366,0,1130,364464,836,12898,3904,398269,113259,3325,8983723,0,1196177,11152,585958,13803,261888,6648,339400,105189,0,-1,139468,98295,0,3412010,61912,1249200,664860,268065,0,41677,13360,9773921,55097,0,44010,5285,185951,248960,241593,175237,17750,1414882,25540,31814,8123744,156790,62180,0,136451,253,8860,43461,43210,279771,2786477
B_091_HelmetC_3142019_21.qgd,19913,1131,0,1395,456993,426,19944,5261,425638,55473,1154,14035060,0,474427,11872,217507,9423,78890,2430,457225,23642,0,0,22000,21280,0,5943117,42769,1327326,1401290,911645,0,13463,60867,10368981,385554,0,152076,30,285203,248777,305102,324137,53475,1547665,167301,212943,12298428,157718,49243,0,283230,108,11318,30809,51174,767181,4464784
