Sample,C12:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w5,i-C15:0,a-C15:0,C15:0,i-C16:0,a-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w,i-C17:0,C16:2w6,a-C17:0,C17:1w,C17:0,C17:1w9,C16:3w3,C16:4w3,i-C18:0,a-C18:0,C17:2w,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w6,i-C19:0,a-C19:0,C18:3w6,C19:0,C18:3w3,C19:1w,C18:4w3,C18:4w2,C20:0,C20:1w9,C20:1w7,C20:2w6,C20:3w6,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:4w3,C22:3w,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_025_Eelgrass_3142019_8.qgd,0.2037,0.0000,0.0000,0.0024,0.5743,0.0509,0.0001,0.0001,0.0746,0.0000,0.0000,28.0544,0.0000,3.4256,0.0003,0.0000,0.3303,0.0000,0.0012,0.1668,0.0000,9.4044,0.0007,0.0000,0.0000,0.0000,4.0130,0.0147,1.1181,0.4261,11.4443,0.0000,0.0001,0.0023,27.8137,64.5015,0.0000,0.0285,0.0573,2.7553,0.2730,0.0394,0.1246,0.0000,0.0418,0.1561,0.0000,0.2400,5.5423,0.0000,0.0000,0.0249,0.0000,0.4143,0.0000,0.0000,0.0000,0.0899
B_101_Ulva_3142019_27.qgd,0.0665,0.0000,0.0000,0.0147,1.9185,0.0000,0.0476,0.0164,0.1727,0.0000,0.0000,52.6020,0.0000,4.3062,0.0598,0.0198,0.8316,0.0000,0.0002,0.0977,0.0826,3.9944,0.0000,0.0000,0.0000,0.0000,4.4678,0.0246,1.8921,9.2034,19.0948,0.0000,0.0003,1.7832,24.2117,38.2397,0.0000,27.0155,0.0966,0.6891,0.3160,0.3529,0.1392,0.4102,1.1090,0.2160,2.2195,5.7900,3.5859,0.4966,0.0000,0.0056,0.0002,0.0075,0.4118,0.0000,12.3242,0.3160
B_023_Limpet_3142019_7.qgd,0.1340,0.0412,0.0000,0.0569,17.9911,4.4724,1.2498,0.0910,1.6231,0.5506,0.0577,70.0896,0.0000,27.9871,0.7781,0.5510,1.5557,0.3926,0.0147,0.8902,0.2360,0.0000,0.0000,0.0000,0.0000,0.0000,27.9937,0.1965,11.3852,9.3800,7.9053,0.0000,0.0826,2.0520,25.4453,2.4094,0.0000,5.6005,0.9594,1.6265,24.4598,19.4255,5.8868,2.0805,30.8979,2.8088,4.9046,117.0582,0.5897,0.2018,15.0041,1.6623,0.3469,0.0315,1.5716,0.1853,27.1918,9.3727
B_049_ButterC_3142019_9.qgd,0.0136,0.0035,0.0000,0.0061,1.2433,0.0263,0.1025,0.0188,1.0313,0.9053,0.0114,33.0507,0.0000,2.8952,0.2009,3.5172,0.0000,1.4706,0.0192,1.9324,0.0574,0.0000,0.0000,0.2615,0.1137,0.0000,14.6386,0.1814,2.2108,1.5261,1.1244,0.0000,0.4510,0.0471,27.0936,0.2862,0.0000,0.6952,-0.0001,0.1298,4.1658,7.5302,1.0155,0.3181,7.4073,0.0420,0.5507,19.4841,0.0449,0.1803,15.1121,2.0353,0.8102,0.0085,6.9990,0.3009,15.7123,42.0825
B_051_Macoma_3142019_10.qgd,0.0135,0.0068,0.0000,0.0111,1.2976,0.0135,0.0782,0.0326,2.2186,0.6072,0.0061,20.0661,0.0000,2.9774,0.1350,2.7278,0.0000,0.9263,0.1577,2.4821,1.6861,0.0000,0.0005,0.0449,0.2882,0.0000,13.5156,0.1412,4.9718,0.2887,0.6432,0.0000,0.5536,0.2268,25.9980,0.1955,0.0000,0.6214,0.0001,0.1697,12.1442,5.2104,0.3235,0.3440,9.0632,0.0248,0.3617,17.6384,0.0558,0.4164,0.7261,1.3957,0.0184,0.0072,2.0655,0.3512,8.7212,14.3081
B_056_Limpet_3142019_12.qgd,0.2706,0.0541,0.0000,0.1282,26.1360,6.7828,2.3833,0.1487,2.1723,1.2634,0.0647,99.2741,0.0000,39.1299,1.2093,0.9929,2.6403,0.6654,0.0292,1.2623,0.4278,0.0000,0.0002,0.0002,0.0003,0.0000,32.6254,0.1535,17.2993,44.6739,13.0013,0.0000,0.1086,3.5050,24.7786,4.3082,0.0000,9.3002,1.7098,2.2647,30.0508,26.4787,10.1427,3.8002,35.7348,4.7611,9.2307,143.0949,0.9835,0.3742,16.1232,2.5421,0.4515,0.0495,2.1149,0.3013,34.1399,12.5436
B_057_Limpet_3142019_13.qgd,0.2942,0.0564,0.0000,0.1239,25.5721,6.3019,2.5136,0.1604,2.2820,1.2851,0.0694,96.6024,0.0000,33.8317,1.1988,1.0546,2.2432,0.7259,0.0349,1.3372,0.4370,0.0000,0.0000,0.0005,0.0000,0.0000,32.1317,0.1668,17.8145,44.5961,12.4787,0.0000,0.1410,2.9335,27.5065,3.9641,0.0000,7.6676,1.5359,2.0905,31.0252,26.0386,10.6001,3.5193,36.3473,4.8771,8.3737,144.3131,0.9599,0.1821,17.1655,2.4391,0.4773,0.0484,2.3211,0.3209,34.4444,12.9967
B_078_Idotea_3142019_14.qgd,0.3283,0.0232,0.0000,0.1165,3.8938,0.0480,0.3256,0.1203,0.5909,0.1621,0.0073,30.0287,0.0000,6.5729,0.2249,0.3051,0.6832,0.1733,0.0149,0.5590,0.1206,0.0000,0.0000,0.0137,0.0427,0.0000,13.7651,0.2004,9.7093,6.3271,5.0074,0.0000,0.1209,0.7867,24.8712,4.2722,0.0000,3.5323,0.0435,0.5658,2.5249,1.0159,2.4263,0.7043,10.1359,2.7165,1.8530,52.3644,1.6351,1.7570,0.0000,1.3549,0.0006,0.0248,0.1211,0.0782,1.9539,10.1146
B_080_ButterC_3142019_15.qgd,0.0199,0.0041,0.0000,0.0054,1.6292,0.0164,0.0785,0.0162,0.9724,0.7348,0.0095,33.1140,0.0000,3.2087,0.1729,2.8062,0.0000,1.1684,0.0196,1.7451,0.0406,0.0000,0.0000,0.2483,0.0973,0.0000,15.8209,0.2185,2.3429,1.3792,1.3201,0.0000,0.3407,0.0663,26.3141,0.2475,0.0000,0.6364,0.0002,0.1252,4.2583,7.8224,1.1377,0.4265,7.1414,0.0496,0.5443,19.6352,0.0570,0.1700,13.1076,2.4445,0.9263,0.0100,8.2687,0.2863,19.0988,38.1004
B_081_ButterC_3142019_16.qgd,0.0155,0.0050,0.0000,0.0061,1.3965,0.0302,0.0843,0.0159,0.8585,0.7890,0.0090,37.5843,0.0000,2.9387,0.1771,3.1002,0.0000,1.1933,0.0197,1.7379,0.0497,0.0000,0.0044,0.2004,0.1031,0.0000,16.3523,0.2739,2.1868,2.2088,1.9345,0.0000,0.3048,0.0874,26.5493,0.3156,0.0000,0.8890,0.0002,0.1231,4.9759,9.6316,1.7016,0.6512,7.5836,0.0884,0.9412,26.4172,0.0588,0.2279,14.7568,2.8825,0.7224,0.0066,6.3378,0.2955,18.3576,42.1920
B_086_PMacoma_3142019_18.qgd,0.0222,0.0080,0.0000,0.0109,1.9363,0.0391,0.0957,0.0382,2.0673,0.7569,0.0110,21.0475,0.0000,4.0484,0.1698,2.7294,0.0000,1.0508,0.1208,2.0370,0.4647,0.0000,0.0000,0.0796,0.4512,0.0000,14.8172,0.1469,4.9487,0.3991,0.7584,0.0000,0.8161,0.2393,26.8118,0.2396,0.0000,0.9105,0.0002,0.1755,11.6591,6.4573,0.4463,0.5067,9.4643,0.0304,0.6117,21.0277,0.0554,0.3008,0.3351,1.7068,0.0136,0.0064,2.4763,0.2438,9.8930,14.3672
B_088_Limpet_3142019_19.qgd,0.2273,0.0528,0.0000,0.1474,27.3079,8.2315,2.3181,0.1285,2.1204,1.1311,0.0422,95.4702,0.0000,34.3212,1.2964,0.9363,2.6757,0.5490,0.0302,1.2936,0.3170,0.0000,0.0000,-0.0001,0.0003,0.0000,35.0956,0.1366,21.0040,39.3770,14.2900,0.0000,0.1457,3.3379,25.6175,7.4520,0.0000,11.2702,2.1177,2.8390,28.0505,27.4056,10.0402,4.5985,35.8086,8.7821,13.5478,125.5144,1.4063,0.3549,14.2714,2.7190,0.4651,0.0490,2.2953,0.3809,34.0920,11.7625
B_055_DungC_3142019_11.qgd,0.0722,0.0128,0.0000,0.0105,0.9980,0.0321,0.1349,0.0563,2.2652,0.5065,0.0309,27.1185,0.0000,6.8946,0.3543,1.9546,0.0855,0.9795,0.1030,3.2882,1.7172,0.0000,0.0031,0.0862,0.2956,0.0000,11.2995,0.6855,5.8570,5.0842,2.4569,0.0000,0.2045,0.1329,26.7859,0.6614,0.0000,0.3397,0.0006,0.4197,1.3693,1.8141,1.1500,0.2505,7.5427,0.1866,0.6059,58.1185,0.2328,0.3893,0.0000,1.5948,0.0096,0.0200,1.0420,0.1363,9.5458,29.3547
B_090_RedRockC_3142019_20.qgd,0.0480,0.0054,0.0000,0.0027,0.8826,0.0423,0.0315,0.0095,0.9719,0.2882,0.0085,22.8566,0.0000,7.7263,0.0720,1.5037,0.0811,0.6721,0.0416,0.8710,0.6581,0.0000,0.0000,0.3588,0.2528,0.0000,8.7774,0.4251,8.5764,3.7168,1.5755,0.0000,0.2872,0.0920,23.6796,0.3113,0.0000,0.2486,0.0299,0.5005,1.5703,1.5238,1.0555,0.1300,9.5607,0.1512,0.2086,53.2771,0.5144,0.4247,0.0000,0.9500,0.0019,0.0290,0.3269,0.0786,3.0296,19.4008
B_091_HelmetC_3142019_21.qgd,0.0503,0.0026,0.0000,0.0034,1.1066,0.0413,0.0487,0.0128,1.0387,0.1411,0.0029,35.7084,0.0000,3.0644,0.0767,0.5582,0.0554,0.2025,0.0152,1.1734,0.1480,0.0000,0.0000,0.0566,0.0547,0.0000,15.2886,0.2936,9.1127,7.8336,5.3580,0.0000,0.0928,0.4194,25.1213,2.1781,0.0000,0.8591,0.0002,0.7676,1.5691,1.9244,1.9523,0.3916,10.4580,0.9904,1.3965,80.6555,0.5174,0.3363,0.0000,1.9720,0.0008,0.0371,0.2318,0.0931,8.3078,31.0860
B_092_HelmetC_3142019_22.qgd,0.0467,0.0027,0.0000,0.0037,0.7662,0.0199,0.0462,0.0153,0.4854,0.1309,0.0049,29.4267,0.0000,1.8193,0.0615,0.6037,0.0344,0.2115,0.0135,1.0317,0.1259,0.0000,0.0000,0.0688,0.0781,0.0000,11.9005,0.2799,9.4874,5.1279,4.0842,0.0000,0.1284,0.2991,24.5598,1.3267,0.0000,0.4970,0.0007,0.8389,1.2466,1.0896,1.8030,0.2678,9.7273,0.7871,0.7804,65.2626,0.4911,0.3234,0.0000,1.4391,0.0024,0.0324,0.1778,0.0737,5.7277,28.8769
B_093_HelmetC_3142019_23.qgd,0.0261,0.0020,0.0000,0.0032,1.1180,0.0472,0.0450,0.0111,0.6870,0.1465,0.0058,32.0202,0.0000,2.6432,0.0632,0.7270,0.0558,0.2455,0.0119,1.2362,0.1589,0.0000,0.0000,0.0865,0.0695,0.0000,11.6318,0.3457,8.3845,5.4307,4.6849,0.0000,0.0952,0.3494,24.0895,2.3380,0.0000,0.7243,0.0009,0.4962,1.2431,1.2646,1.8076,0.2884,9.2076,0.9634,1.0924,70.5931,0.3206,0.1970,0.0000,1.5331,0.0007,0.0275,0.2229,0.0620,8.5135,33.4623
B_094_DungC_3142019_24.qgd,0.0376,0.0048,0.0000,0.0037,0.5644,0.0287,0.0573,0.0159,1.0560,0.2888,0.0131,25.9196,0.0000,4.7393,0.1257,1.3057,0.0586,0.7696,0.0361,1.1877,0.5403,0.0000,0.0000,0.6314,0.1657,0.0000,7.5377,0.2931,8.8102,3.6693,3.5103,0.0000,0.0967,0.0853,24.8551,0.8970,0.0000,0.2109,0.0005,0.3563,0.9920,0.6282,1.4080,0.0687,8.5598,0.2643,0.1541,56.1308,0.3404,0.1939,0.0000,0.8685,0.0101,0.0244,0.7039,0.0628,4.5792,28.9512
B_095_DungC_3142019_25.qgd,0.0341,0.0063,0.0000,0.0031,0.3652,0.0633,0.0358,0.0138,0.9611,0.2735,0.0124,21.8289,0.0000,3.4092,0.0587,1.5634,0.0346,0.9038,0.0229,1.2945,0.5568,0.0000,0.0001,1.1033,0.2196,0.0000,9.7087,0.2868,8.0401,2.8688,2.8103,0.0000,0.1431,0.0557,25.6040,0.7203,0.0000,0.1249,0.0001,0.3375,0.8524,0.6071,1.5228,0.0881,9.7292,0.5520,0.1456,51.1853,0.3000,0.2091,0.0000,0.6507,0.0124,0.0224,0.6066,0.0603,4.3999,27.7994
B_096_HelmetC_3142019_26.qgd,0.0444,0.0022,0.0000,0.0032,1.7332,0.0185,0.0533,0.0115,0.5978,0.1223,0.0036,38.0020,0.0000,3.1285,0.0769,0.4536,0.1078,0.1860,0.0107,0.9051,0.1035,0.0000,0.0000,0.1148,0.0653,0.0000,14.8970,0.8003,8.4524,7.0229,5.6812,0.0000,0.1103,0.4341,26.0512,1.9913,0.0000,1.2198,0.0006,0.5794,1.2811,1.7223,2.0397,0.3070,8.6234,0.8631,1.4971,85.4072,0.4655,0.2927,0.0000,2.2785,-0.0004,0.0251,0.2543,0.0644,7.3664,36.5371
