Sample,C12:0,i-C13:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w,C14:1w5,i-C15:0,a-C15:0,C15:0,C15:1w,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w5,i-C17:0,C16:2w6,C16:2w3,a-C17:0,C17:0,C16:3w3,C17:1w9,C16:4w,i-C18:0,C17:3w,C16:2w,C16:4w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w6,i-C19:0,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:4w2,C20:0,C20:1w9,C20:1w7,C20:2w,C20:2w3,C20:2w6,C20:3w6,C21:0,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C20:6w3,C22:0,C22:1w,C22:1w9,C22:2w6,C22:2w3,C22:2w6,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_166_Eelgrass_3152019_7.qgd,47077,0,0,0,0,257217,808,0,7767,1769,34355,4137,15053,10486619,0,80001,440721,7301,21269,38808,-13,56701,1638481,0,0,0,0,1898,0,1378201,36,152840,63518,1970636,0,2864,11740935,12109844,55820,0,964388,36944,4055,0,0,16904,-30,101523,15887,25033,0,163294,0,1537425,207,0,0,0,0,356,74020,0,0,0,7015
B_168_Fucus_3152019_8.qgd,65481,0,22760,589,0,14195437,14079,45875,2988,1152,539697,1202,4835,23171406,0,582100,49522,0,163040,3685,0,219499,0,62899,0,0,0,48584,0,1382819,8054,8459311,38383,8437528,0,326654,11699272,3905778,1433134,0,670730,254012,0,0,0,84240,681726,13662,5382039,42040,262429,2972118,0,140506,99351,0,27,0,27,353,2558,0,0,0,0
B_169_Fucus_3152019_9.qgd,68686,0,20114,2020,0,14389803,10873,49390,2378,1414,538995,1038,5069,23896395,0,529076,42558,0,139887,5302,0,233468,0,72406,0,0,0,55047,0,1507055,7375,9307651,20541,8354317,0,338137,10897913,3384418,1354945,0,659191,225971,0,0,0,74110,641228,310,5172630,33822,196525,2647662,0,127519,83443,0,0,0,0,120,2260,0,0,0,0
B_208_POM_3152019_32.qgd,97173,8857,57793,0,25447,9742405,5462,8700,138180,56281,486884,5111,52832,11556013,0,3090104,109954,68348,793913,178896,35492,147264,365094,12124,24223,12805,1013331,39915,1013331,1276152,3809,377079,206560,488533,0,142615,11133328,241116,985977,16659,82376,92536,54965,0,0,46088,33836,13534,277203,17653,186570,4602865,0,43638,9960,31996,7592,0,7592,26066,4850,0,36196,146712,1911906
B_209_POM_3152019_33.qgd,80875,8189,71993,0,24010,9885447,6034,8891,123662,52955,456898,7516,41840,11375395,0,3267187,108029,46755,798800,211090,23335,108854,384389,10438,1046,7924,1129893,36880,1129893,881956,2398,259883,178625,475827,0,151082,11011848,212271,1005341,18207,65885,60784,32151,0,0,41747,42112,12727,217339,16812,185387,4747785,0,46461,10709,26098,10104,0,10104,21266,4549,0,22355,130348,1762136
B_212_POM_3152019_34.qgd,90147,8855,42393,0,27864,11622609,7987,10438,138887,61848,467393,3839,54910,11910580,0,3850817,90330,47718,1213362,327945,25666,100336,785323,9978,23943,2968,1923163,28345,1923163,876824,2591,313133,169151,523633,0,201898,11533040,185274,1324759,20622,62102,55134,28359,0,0,22994,44555,13209,256336,10932,218709,6666155,0,52065,15880,26193,9448,0,9448,17072,4065,0,18891,113626,1684985
B_213_POM_3152019_35.qgd,85503,8156,40642,0,25216,10942765,7589,10376,125683,54396,437582,3025,41682,11219310,0,3602231,87259,45526,1155153,290964,25148,90021,762677,10314,22356,7795,1756266,26826,1756266,840698,3112,324520,156563,490423,0,194016,11591799,175804,1197809,18034,55768,64944,30970,0,0,25575,39678,13625,253811,11530,208904,6159885,0,45751,13798,25395,8115,0,8115,20763,2600,0,20782,112441,1627404
B_217_POM_3152019_36.qgd,112555,9531,31490,0,26365,12524664,8508,11755,139422,58437,454867,2037,40760,12144913,0,4243411,78790,45100,1176162,379759,21703,96270,586000,10176,32535,0,2224845,21663,2224845,846107,3134,289759,139510,606077,0,220869,11156596,231207,1497380,14836,66319,39700,19358,0,0,23616,56562,14435,281049,14586,339044,8200865,0,47195,16019,18446,6790,0,6790,17322,3671,0,15316,96791,1582031
B_218_POM_3152019_37.qgd,137411,12562,45220,0,34957,15821947,11757,16388,179540,78560,639070,3770,53838,15836991,0,5479876,107527,54162,1621113,550949,27006,125244,815010,13754,48821,0,3014439,33175,3014439,1054640,3430,345451,176514,778910,0,299587,11581617,335449,2116649,27521,80223,49889,23114,0,0,28708,69935,14069,370838,18266,422133,10544521,0,61031,19884,25003,726,0,726,22178,3249,0,21249,123532,2108951
B_226_POM_3152019_38.qgd,410158,24215,88374,0,56386,7978197,10427,5059,514454,101487,1389502,3928,173930,21294300,0,841265,96009,281486,174142,79549,215241,677116,110803,21654,228142,197509,211189,2601,211189,4225589,19675,982611,565330,1461384,0,73221,12625172,1441443,2953226,19966,840161,568575,185396,0,0,402274,32187,48376,284351,195386,563034,6199022,0,279208,9059,229074,293410,0,293410,172805,21736,84546,180241,666247,11831608
B_228_POM_3152019_40.qgd,202810,14590,76668,0,43976,12175924,9608,9838,182969,63841,765469,7028,65093,15017428,0,4141565,128733,115220,1195625,344848,48950,214394,393913,20104,23975,53644,1685840,14291,1685840,1679598,13938,524856,338454,777597,0,357020,12693749,510729,1514802,24776,292411,188199,109403,0,0,103761,79665,21659,231144,52208,284086,6045859,0,145210,14993,69900,21170,0,21170,64709,9701,0,42729,278038,3713738
B_229_POM_3172019_41.qgd,186960,15046,64793,0,49547,13426222,9759,12285,213046,70321,860120,6490,78494,16683888,0,4768113,152555,133058,1799940,502334,54985,267053,694887,23589,76135,51032,2996900,18375,2996900,2057861,14768,819416,373797,930957,0,470846,11402942,537067,2078611,50239,313543,190874,126784,0,0,91880,92783,20894,337304,46686,406046,8761707,0,180009,24793,73320,25469,0,25469,83752,10759,0,61708,353582,4583279
B_231_POM_3172019_1.qgd,241876,19489,81334,0,49226,12978603,10713,12895,308188,66462,852526,10107,82221,18191521,0,3836158,130929,133536,1388245,351062,61274,238861,565754,18020,100691,67466,2299874,22382,2299874,2194534,9817,595510,352451,1071312,0,334897,11887236,874175,2672170,28831,503199,154841,93488,0,0,108784,65361,23024,243163,54842,394922,7825090,0,218540,15685,92834,41841,0,41841,74961,12569,0,61994,354863,6632225
