Sample,C12:0,i-C13:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w,C14:1w5,i-C15:0,a-C15:0,C15:0,C15:1w,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w5,i-C17:0,C16:2w6,C16:2w3,a-C17:0,C17:0,C16:3w3,C17:1w9,C16:4w,i-C18:0,C17:3w,C16:2w,C16:4w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w6,i-C19:0,C18:3w6,C19:0,C18:3w3,C18:4w3,C18:4w2,C20:0,C20:1w9,C20:1w7,C20:2w,C20:2w3,C20:2w6,C20:3w6,C21:0,C20:4w6,C20:3w3,C20:4w3,C20:5w3,C20:6w3,C22:0,C22:1w,C22:1w9,C22:2w6,C22:2w3,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_166_Eelgrass_3152019_7.qgd,0.1134,0.0000,0.0000,0.0000,0.0000,0.5962,0.0042,0.0000,0.0179,0.0041,0.0792,0.0249,0.0362,25.2360,0.0000,0.4809,2.6494,0.0176,0.1153,0.2104,0.0000,0.1364,8.3298,0.0000,0.0000,0.0000,0.0000,0.0103,0.0000,3.3382,0.0002,0.9790,0.3294,10.6818,0.0000,0.0180,26.4513,61.5647,0.2838,0.0000,2.4399,0.2168,0.0238,0.0000,0.0000,0.0935,-0.0002,0.2569,0.0976,0.1293,0.0000,0.9631,0.0000,4.5878,0.0013,0.0000,0.0000,0.0000,0.0022,0.2187,0.0000,0.0000,0.0000,0.0434
B_168_Fucus_3152019_8.qgd,0.1578,0.0000,0.0497,0.0035,0.0000,32.9018,0.0736,0.2399,0.0069,0.0027,1.2448,0.0072,0.0116,55.7619,0.0000,3.4994,0.2977,0.0000,0.8838,0.0200,0.0000,0.5279,0.0000,0.3694,0.0000,0.0000,0.0000,0.2633,0.0000,3.3493,0.0516,54.1854,0.1991,45.7353,0.0000,2.0502,26.3574,19.8564,7.2859,0.0000,1.6970,1.4903,0.0000,0.0000,0.0000,0.4658,4.4875,0.0346,33.0751,0.2172,1.5478,17.5297,0.0000,0.4193,0.6236,0.0000,0.0002,0.0000,0.0022,0.0076,0.0000,0.0000,0.0000,0.0000
B_169_Fucus_3152019_9.qgd,0.1655,0.0000,0.0439,0.0121,0.0000,33.3523,0.0569,0.2582,0.0055,0.0033,1.2431,0.0062,0.0122,57.5066,0.0000,3.1806,0.2558,0.0000,0.7583,0.0287,0.0000,0.5615,0.0000,0.4253,0.0000,0.0000,0.0000,0.2984,0.0000,3.6503,0.0472,59.6193,0.1065,45.2843,0.0000,2.1223,24.5520,17.2059,6.8883,0.0000,1.6678,1.3258,0.0000,0.0000,0.0000,0.4098,4.2210,0.0008,31.7881,0.1747,1.1591,15.6160,0.0000,0.3805,0.5238,0.0000,0.0000,0.0000,0.0007,0.0067,0.0000,0.0000,0.0000,0.0000
B_208_POM_3152019_32.qgd,0.1939,0.0185,0.1232,0.0000,0.0569,22.2907,0.0280,0.0534,0.3070,0.1271,1.1055,0.0307,0.1277,27.4278,0.2437,18.1852,0.5262,0.1471,4.2875,0.9045,0.0842,0.3507,1.8204,0.0474,0.1231,0.0210,0.0000,0.1750,5.0619,3.0046,0.1346,2.3776,1.0701,2.5631,0.0000,0.9032,24.8060,1.1756,4.8762,0.0705,0.2082,0.5117,0.3185,0.0153,0.0144,0.2411,0.2166,0.0325,1.6641,0.0915,1.0677,26.8085,0.0000,0.1343,0.0585,0.3333,0.0484,0.0307,0.1482,0.0145,0.0944,0.0602,1.3116,11.6247
B_209_POM_3152019_33.qgd,0.2148,0.0176,0.1554,0.0000,0.0535,22.6645,0.0292,0.0482,0.2738,0.1212,1.0288,0.0417,0.0990,26.8970,0.1669,19.4009,0.5821,0.0987,4.2881,1.0800,0.0561,0.2628,1.9258,0.0602,0.1026,0.0126,0.0000,0.1558,5.6936,2.0798,0.0955,1.6427,0.9215,2.4934,0.0000,0.9504,24.5004,1.0146,5.0236,0.0619,0.1682,0.3534,0.1872,0.0119,0.0091,0.2076,0.2628,0.0334,1.3195,0.0855,1.0529,27.5480,0.0000,0.1399,0.0604,0.2484,0.0787,0.0202,0.1330,0.0087,0.0848,0.0369,1.1693,10.7483
B_212_POM_3152019_34.qgd,0.2039,0.0191,0.0893,0.0000,0.0614,26.6917,0.0432,0.0617,0.3071,0.1330,1.0632,0.0178,0.1066,28.3203,0.2500,22.7541,0.3986,0.1009,6.4668,1.7311,0.0583,0.2190,3.8906,0.0556,0.1081,0.0105,0.0000,0.0878,9.6057,2.0662,0.0707,1.9753,0.8764,2.7699,0.0000,1.2749,25.5860,0.9481,6.6199,0.0862,0.1527,0.2927,0.1699,0.0092,0.0070,0.1188,0.2837,0.0337,1.5340,0.0565,1.2362,38.5910,0.0000,0.1556,0.0955,0.2729,0.0714,0.0371,0.1046,0.0108,0.0538,0.0306,1.0298,10.3005
B_213_POM_3152019_35.qgd,0.2684,0.0178,0.0878,0.0000,0.0542,25.1102,0.0367,0.0566,0.2790,0.1216,0.9924,0.0169,0.0983,26.4630,0.2502,21.3141,0.3618,0.0960,6.2425,1.5192,0.0562,0.2219,3.8027,0.0643,0.0994,0.0130,0.0000,0.0882,8.7874,1.9910,0.0609,2.0465,0.8114,2.5549,0.0000,1.2314,25.5929,0.9120,5.9362,0.0895,0.1396,0.3842,0.1831,0.0072,0.0075,0.1185,0.2584,0.0333,1.5126,0.0576,1.1920,35.7587,0.0000,0.1342,0.0789,0.2487,0.0521,0.0237,0.1246,0.0077,0.0614,0.0338,1.0256,9.9394
B_217_POM_3152019_36.qgd,0.3268,0.0209,0.0661,0.0000,0.0571,28.7243,0.0430,0.0630,0.3090,0.1318,1.0328,0.0111,0.0969,28.7091,0.2196,25.1747,0.3400,0.0947,6.2724,1.9702,0.0499,0.2214,2.9319,0.0833,0.1468,0.0097,0.0000,0.0695,11.1612,1.9965,0.0852,1.8299,0.7212,3.2155,0.0000,1.4002,24.7665,1.1436,7.4633,0.0762,0.1648,0.2300,0.1139,0.0102,0.0102,0.1188,0.3656,0.0344,1.6983,0.0728,1.9214,47.5905,0.0000,0.1423,0.0971,0.1541,0.0626,0.0314,0.1044,0.0080,0.0539,0.0251,0.8772,9.6815
B_218_POM_3152019_37.qgd,0.9832,0.0275,0.0966,0.0000,0.0776,36.3912,0.0538,0.0839,0.3966,0.1725,1.4579,0.0221,0.1249,37.5159,0.3269,32.4039,0.6208,0.1166,8.6291,2.9040,0.0648,0.2894,4.0353,0.1278,0.2313,0.0118,0.0000,0.1151,15.1485,2.4983,0.0831,2.1887,0.9134,4.0941,0.0000,1.8926,25.7465,1.6026,10.5196,0.1065,0.1971,0.2798,0.1357,0.0082,0.0082,0.1322,0.4492,0.0360,2.2414,0.0939,2.3829,61.0088,0.0000,0.1826,0.1079,0.2169,0.0742,0.0277,0.1159,0.0119,0.0709,0.0336,1.1417,12.8635
B_226_POM_3152019_38.qgd,0.4841,0.0530,0.1866,0.0000,0.1232,18.2817,0.0513,0.0403,1.1458,0.2212,3.1687,0.0196,0.4089,50.5511,0.8457,4.7332,0.4703,0.5864,0.9497,0.4266,0.5117,1.6041,0.5311,0.1157,1.1013,0.3941,0.0000,0.0101,1.0540,10.0283,0.5121,6.2210,2.9235,7.7922,0.0000,0.4538,27.9492,7.0495,14.7572,0.0796,2.1041,3.2681,1.0878,0.0937,0.0937,2.1820,0.1979,0.1212,1.6899,1.0194,3.2695,35.9392,0.0000,0.8370,0.0730,1.4538,1.8456,0.4758,1.0562,0.0638,0.5621,0.2951,6.1384,72.4655
B_228_POM_3152019_40.qgd,0.4467,0.0320,0.1638,0.0000,0.0979,27.9863,0.0416,0.0569,0.4086,0.1380,1.7451,0.0363,0.1526,35.5752,0.4302,24.5820,0.7295,0.2454,6.3397,1.7706,0.1122,0.4997,1.9614,0.1427,0.2371,0.0962,0.0000,0.0532,8.3688,3.9704,0.5011,3.3235,1.7506,4.0895,0.0000,2.2374,28.1046,2.4827,7.5734,0.0954,0.7398,1.0878,0.6419,0.0780,0.0780,0.5354,0.4834,0.0553,1.4035,0.2697,1.6128,35.0615,0.0000,0.4336,0.0809,0.4562,0.1216,0.1684,0.3846,0.0293,0.1931,0.0666,2.5352,22.5055
B_229_POM_3172019_41.qgd,0.5747,0.0328,0.1468,0.0000,0.1110,30.8459,0.0465,0.0677,0.4722,0.1496,1.9530,0.0319,0.1842,39.4476,0.4871,28.1696,0.8362,0.2855,9.5427,2.6297,0.1303,0.6283,3.4828,0.1077,0.3633,0.0641,0.0000,0.0385,14.8777,4.8971,0.4930,5.1746,1.9283,4.9576,0.0000,2.9614,25.5190,2.8077,10.4016,0.2138,0.7854,1.1060,0.7439,0.0855,0.0855,0.4856,0.5830,0.0516,2.0396,0.2412,2.3083,50.9437,0.0000,0.5347,0.1211,0.5075,0.1728,0.1727,0.5162,0.0366,0.2161,0.0993,3.2463,27.9773
B_231_POM_3172019_1.qgd,0.4437,0.0428,0.1728,0.0000,0.1099,29.7724,0.0544,0.0626,0.6913,0.1342,1.9263,0.0546,0.1978,43.1651,0.4528,22.8198,0.6146,0.2849,7.3534,1.8552,0.1451,0.5443,2.8254,0.1009,0.4886,0.1129,0.0000,0.0652,11.4558,5.2274,0.3600,3.7837,1.8161,5.6952,0.0000,2.1083,26.3521,4.1578,13.3259,0.1434,1.2540,0.8639,0.5486,0.0683,0.0683,0.5919,0.4000,0.0573,1.4739,0.2834,2.2459,45.4980,0.0000,0.6563,0.0846,0.6106,0.2573,0.1024,0.4488,0.0368,0.2111,0.1010,3.2661,40.4042
