Sample,C12:0,i-C13:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w,C14:1w5,i-C15:0,a-C15:0,C15:0,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w,i-C17:0,C16:2w,a-C17:0,C16:2w6,C16:3w3,C17:0,C17:1w9,i-C18:0,C16:4w3,C18:0,C18:1w9,C18:1w7,C18:1w,C18:2w,C18:2w6,C18:3w6,C19:0,C18:3w3,C18:4w3,C20:0,C20:1w9,C20:1w7,C20:2w,C20:2w6,C20:3w6,C20:4w6,C20:3w3,C20:5w,C20:4w3,C20:5w3,C22:0,C22:1w,C22:1w9,C22:2w,C22:2w6,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_278_EGDia_3192019_1.qgd,45366,15541,12649,0,42419,8389947,0,12272,178527,43031,447632,40684,16350455,0,3480518,66328,75153,138825,27859,638573,576009,79350,10262,1774,0,1283500,381540,208529,2765,26015,752049,2099615,9731156,257391,1048466,86420,19458,29878,-22,24061,86324,697789,8099,69846,103283,5318699,39531,0,6097,0,276969,16220,2371,6598,107912,69316,699179
B_280_EGDia_3192019_2.qgd,40894,13154,16913,0,35271,7624061,0,10199,185481,42856,454448,53658,14299242,0,3170038,66032,97312,152011,42113,835152,679880,98655,10816,0,0,1516752,335824,211010,3405,42308,713888,1741159,10170058,304920,1071199,106616,30998,48477,-18,46019,86792,893436,15947,67720,146533,5928622,60577,0,7742,0,168348,22808,2578,9602,162378,107464,1006557
B_281_EGDia_3192019_3.qgd,45542,13521,12652,0,39801,8694639,0,14024,177264,42880,449518,40079,16504011,0,3550452,71566,76631,158166,28578,845356,647810,81270,13576,0,0,1300793,396101,211964,2034,31568,821527,2290041,10064769,241168,1123358,97722,18471,31481,12,27952,108841,786945,8953,70878,121172,5906265,47586,0,6214,0,195837,13523,2674,7132,108437,85689,719101
B_266_Limpet_3182019_11.qgd,82196,16502,20554,0,36603,11649687,122424,27722,883817,46027,791523,345969,40140098,0,6670104,199945,376225,129533,193219,592812,0,389883,47685,0,0,12478834,3237312,6893196,9339,66479,2625432,592156,10553160,1242074,2652485,836888,4075563,4587770,663006,753496,578778,4113117,1133067,0,1977446,19894811,411445,291412,25032,1667381,0,326602,16400,176284,183385,2026844,1594006
B_267_DShrimp_3182019_13.qgd,103232,0,4180,0,5240,1284787,0,312,58692,19514,457248,62024,13615993,0,831643,13497,348991,9707,129354,27566,0,580182,94232,59225,0,3857693,1509893,1152166,37316,0,521080,22187,13858163,205624,62963,98401,137832,113854,4683,46589,14958,552055,12679,0,59479,7018559,64850,0,5555,0,0,177232,15956,58138,26751,273619,3998715
B_268_DShrimp_3182019_14.qgd,133800,562,4132,0,3708,1402537,0,399,48222,11747,380561,39605,14380800,0,726001,10796,228007,9417,78351,19412,0,553022,49594,37632,0,4303837,1658774,1072725,33860,0,656572,15464,12334576,271033,50711,92865,129818,115239,2537,46292,7551,581860,19366,0,41966,6858556,47050,0,4730,0,0,87003,6121,12290,14487,179378,4057395
B_259_SPerch_3182019_7.qgd,118587,0,10081,0,15519,3261002,8609,16565,149685,32237,503527,95231,34757109,0,2944670,56320,439986,108865,161340,168676,0,697499,108396,73408,0,11972756,6083315,1977676,104998,49949,937591,89655,13022034,504847,813230,222628,860790,328079,21726,309067,69375,1575289,193591,0,372914,10632939,165140,112427,52911,167059,0,150616,9056,288251,131097,2041162,11225253
B_260_SPerch_3182019_8.qgd,7396,0,1665,0,1249,417666,349,480,11798,3340,187250,11206,15762011,0,288209,24094,93589,2781,21221,22256,0,267691,22337,18095,0,6011315,967418,523292,25913,5823,277456,10784,13234194,87921,56108,86019,162036,76668,6824,47530,17266,1012466,14125,0,62632,5402520,57574,11196,8700,7219,0,16575,7293,37989,68741,606950,8562623
B_270_SPerch_3182019_15.qgd,11229,496,2224,0,1427,543216,1016,623,19314,4150,142408,9999,13182073,0,273611,16195,74035,5843,18170,15079,0,196717,13152,14300,0,5028690,858710,484550,23198,3448,237460,9869,11404544,81120,95090,42004,119364,46010,4371,32728,8929,612112,10940,0,57284,3864444,21930,8470,6759,3920,0,49156,4131,22237,49149,384025,8231410
B_271_SPerch_3182019_16.qgd,537766,4062,23411,0,19420,7710480,29366,71070,131613,29010,612411,121389,53073597,0,6933838,103484,649432,341790,208468,409707,0,647026,154371,124732,0,13259583,10905292,3261478,3459,119447,1482601,168992,11914232,570051,977301,338588,1046899,1550552,35293,352068,102732,1651743,130608,0,373671,13550021,184554,52107,58704,72160,0,248709,16832,189332,109233,1670578,8828821
