Sample,C12:0,i-C13:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w,C14:1w5,i-C15:0,a-C15:0,C15:0,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w,i-C17:0,C16:2w,a-C17:0,C16:2w6,C16:3w3,C17:0,C17:1w9,i-C18:0,C16:4w3,C18:0,C18:1w9,C18:1w7,C18:1w,C18:2w,C18:2w6,C18:3w6,C19:0,C18:3w3,C18:4w3,C20:0,C20:1w9,C20:1w7,C20:2w,C20:2w6,C20:3w6,C20:4w6,C20:3w3,C20:5w,C20:4w3,C20:5w3,C22:0,C22:1w,C22:1w9,C22:2w,C22:2w6,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_278_EGDia_3192019_1.qgd,0.0774,0.0227,0.0185,0.0000,0.0684,13.5217,0.0000,0.0428,0.2826,0.0681,0.7086,0.0670,26.9068,0.0000,14.0141,0.2671,0.1193,0.5006,0.0442,2.3026,1.9974,0.1260,0.0398,0.0000,0.0000,2.0541,1.6773,0.7206,0.0122,0.0938,2.7117,9.0047,14.4406,0.8925,3.6357,0.1504,0.0775,0.1189,-0.0001,0.0898,0.4002,2.9842,0.0300,0.2873,0.4249,21.8808,0.0753,0.0000,0.0254,0.0000,1.1283,0.0680,0.0046,0.0299,0.1193,0.4414,2.9302
B_280_EGDia_3192019_2.qgd,0.0697,0.0192,0.0247,0.0000,0.0568,12.2874,0.0000,0.0356,0.2936,0.0678,0.7194,0.0883,23.5313,0.0000,12.7640,0.2659,0.1545,0.5482,0.0669,3.0114,2.3576,0.1566,0.0420,0.0000,0.0000,2.4274,1.4764,0.7292,0.0150,0.1526,2.5742,7.4673,15.0919,1.0574,3.7146,0.1855,0.1234,0.1929,-0.0001,0.1718,0.4023,3.8209,0.0590,0.2786,0.6028,24.3900,0.1153,0.0000,0.0322,0.0000,0.6858,0.0956,0.0050,0.0436,0.1795,0.6842,4.2184
B_281_EGDia_3192019_3.qgd,0.0777,0.0197,0.0185,0.0000,0.0641,14.0128,0.0000,0.0489,0.2806,0.0679,0.7116,0.0660,27.1595,0.0000,14.2957,0.2882,0.1217,0.5703,0.0454,3.0482,2.2463,0.1290,0.0527,0.0000,0.0000,2.0818,1.7413,0.7325,0.0089,0.1138,2.9623,9.8213,14.9356,0.8363,3.8954,0.1701,0.0736,0.1253,0.0000,0.1044,0.5045,3.3655,0.0331,0.2916,0.4985,24.2980,0.0906,0.0000,0.0259,0.0000,0.7978,0.0567,0.0052,0.0324,0.1199,0.5456,3.0137
B_266_Limpet_3182019_11.qgd,0.1402,0.0241,0.0300,0.0000,0.0590,18.7753,0.4271,0.0967,1.3992,0.0729,1.2531,0.5693,66.0558,0.0000,26.8568,0.8051,0.5973,0.4671,0.3068,2.1376,0.0000,0.6190,0.3214,0.0000,0.0000,19.9709,14.2319,23.8211,0.0411,0.2397,9.4669,2.5396,15.6604,4.3071,9.1980,1.4564,16.2208,18.2594,2.4754,2.8132,2.6829,17.5904,4.1908,0.0000,8.1351,81.8461,0.7834,1.2136,0.1042,6.7926,0.0000,1.3688,0.0316,0.7997,0.2027,12.9054,6.6803
B_267_DShrimp_3182019_13.qgd,0.1761,0.0000,0.0061,0.0000,0.0084,2.0706,0.0000,0.0011,0.0929,0.0309,0.7239,0.1021,22.4069,0.0000,3.3486,0.0543,0.5541,0.0350,0.2054,0.0994,0.0000,0.9211,0.7055,0.0948,0.0000,6.1738,6.6378,3.9816,0.1640,0.0000,1.8789,0.0952,20.5648,0.7130,0.2183,0.1712,0.5486,0.4531,0.0175,0.1739,0.0693,2.3610,0.0469,0.0000,0.2447,28.8739,0.1235,0.0000,0.0231,0.0000,0.0000,0.7428,0.0308,0.2638,0.0296,1.7422,16.7582
B_268_DShrimp_3182019_14.qgd,0.2282,0.0008,0.0060,0.0000,0.0060,2.2604,0.0000,0.0014,0.0763,0.0186,0.6025,0.0652,23.6655,0.0000,2.9232,0.0435,0.3620,0.0339,0.1244,0.0700,0.0000,0.8780,0.3760,0.0602,0.0000,6.8878,7.2923,3.7071,0.1489,0.0000,2.3675,0.0663,18.3039,0.9399,0.1758,0.1616,0.5166,0.4587,0.0095,0.1728,0.0350,2.4884,0.0716,0.0000,0.1726,28.2157,0.0896,0.0000,0.0197,0.0000,0.0000,0.3646,0.0118,0.0558,0.0160,1.1421,17.0041
B_259_SPerch_3182019_7.qgd,0.2023,0.0000,0.0147,0.0000,0.0250,5.2556,0.0300,0.0578,0.2370,0.0510,0.7971,0.1567,57.1973,0.0000,0.7503,0.2268,0.6985,0.3926,0.2561,0.6082,0.0000,1.1073,0.8290,0.1175,0.0000,19.1610,26.7435,6.8343,0.4445,0.1801,3.3808,0.3845,19.3241,1.7507,2.8200,0.3874,3.4260,1.3058,0.0811,1.1539,0.3216,6.7370,0.7160,0.0000,1.5341,43.7433,0.3144,0.4682,0.2203,0.0862,0.0000,0.6312,0.0175,1.3077,0.1449,12.9966,47.0438
B_260_SPerch_3182019_8.qgd,0.0126,0.0000,0.0024,0.0000,0.0020,0.6731,0.0012,0.0017,0.0187,0.0053,0.2964,0.0184,25.9384,0.0000,1.1605,0.0970,0.1486,0.0100,0.0337,0.0803,0.0000,0.4250,0.1731,0.0290,0.0000,9.6204,4.2530,1.8084,0.1139,0.0210,1.0005,0.0462,19.6389,0.3049,0.1946,0.1497,0.6449,0.3051,0.0255,0.1775,0.0800,4.3300,0.0522,0.0000,0.2577,22.2256,0.1096,0.0466,0.0362,0.1018,0.0000,0.0695,0.0141,0.1723,0.0760,3.8646,35.8850
B_270_SPerch_3182019_15.qgd,0.0192,0.0007,0.0032,0.0000,0.0023,0.8755,0.0035,0.0022,0.0306,0.0066,0.2254,0.0165,21.6928,0.0000,1.1017,0.0652,0.1175,0.0210,0.0288,0.0544,0.0000,0.3123,0.1008,0.0229,0.0000,8.0478,3.7751,1.6745,0.1020,0.0124,0.8562,0.0423,16.9238,0.2813,0.3297,0.0731,0.4751,0.1831,0.0163,0.1222,0.0414,2.6178,0.0405,0.0000,0.2357,15.8981,0.0418,0.0353,0.0281,0.0317,0.0000,0.2060,0.0080,0.1009,0.0543,2.4452,34.4969
B_271_SPerch_3182019_16.qgd,0.9172,0.0059,0.0342,0.0000,0.0313,12.4267,0.1025,0.2480,0.2084,0.0459,0.9695,0.1998,87.3395,0.0000,2.1239,0.4167,1.0310,1.2324,0.3310,1.4773,0.0000,1.0272,1.1818,0.1996,0.0000,21.2204,47.9419,11.2708,0.5054,0.4307,5.3460,0.7248,17.6801,1.9768,3.3890,0.5892,4.1667,6.1712,0.1318,1.3145,0.4762,7.0640,0.4831,0.0000,1.5373,55.7440,0.3514,0.2170,0.2445,0.2814,0.0000,1.0423,0.0325,0.8589,0.1207,10.6370,37.0006
