Sample,C12:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w,C14:1w5,i-C15:0,a-C15:0,C15:0,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w,i-C17:0,C16:2w,C16:2w6,a-C17:0,C17:1w,C17:0,C16:3w3,C17:1w9,C17:1w5,i-C18:0,a-C18:0,C16:4w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w6,i-C19:0,a-C19:0,C18:3w,C18:3w6,C19:0,C18:3w3,C18:4w3,C20:0,C20:1w9,C20:1w7,C20:2w6,C20:3w6,C20:4w6,C20:3w3,C20:5w,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_318_EGDia_3212019_27.qgd,32687,7299,0,26121,9977694,10790,7694,106021,38207,271809,0,15935595,36005,3919434,59337,38742,91734,1053233,10994,0,55176,493082,8009,0,0,0,2044813,835464,2555,276540,151326,615183,0,0,0,1467367,14753846,223569,0,74011,23729,15790,12228,54124,446533,7075,57822,103529,8697557,70628,22181,79424,47822,4974,6043,51623,88276,519050
B_319_EGDia_3212019_29.qgd,36590,8206,0,27775,9143358,9603,7145,99096,39471,247486,0,14970668,31357,3721653,55609,59320,92700,1089700,15660,0,65546,507939,7896,0,0,0,2005008,975014,1058,291668,174394,640035,0,0,0,1204054,14756406,285044,0,95031,41532,30620,23686,49311,557522,12884,50098,106918,8262610,82956,41469,50441,9927,4496,5664,36712,82355,526926
B_340_EGDia_3212019_42.qgd,47521,16211,0,43659,6259175,22040,5529,144496,71584,372117,0,13680367,50902,3714241,50931,36221,65055,667772,16788,0,64432,536901,21436,0,15,5,890643,982522,15423,285997,210581,341269,0,0,0,263577,14878044,245132,0,93313,36332,20963,9413,25944,327263,4930,31339,110759,5191544,89356,7323,0,15449,6034,3309,35261,61557,610017
B_341_EGDia_3212019_43.qgd,55313,13024,0,33121,7652911,17370,5896,159086,52134,402110,0,16472363,39090,4221680,62880,45915,104316,1310755,15366,0,77135,1066618,16898,0,0,0,1666531,1443563,9477,362351,271776,497560,0,0,0,564401,14496986,404241,0,104268,42221,24082,12252,48137,584716,8171,33863,170128,7821966,96333,13864,10566,16506,5588,8069,61797,86809,893844
B_339_EGDia_3212019_41.qgd,47435,18292,0,38802,6145154,18815,6008,136440,57796,334301,0,14658550,48269,3893312,48210,30028,56652,653386,15605,0,71228,396591,18937,0,26,35,883770,974545,9817,276392,285520,351179,0,0,0,276934,13575669,243682,0,134879,30775,17574,8773,30431,381474,6143,31168,101172,4902489,79335,28165,4716,7056,4111,2352,22293,45303,458464
B_062_Skelp_3212019_8.qgd,15766,11567,0,3685,8210368,3949,15410,3,15,182342,0,14037617,16083,480674,28570,-7,134928,33647,1365,0,54294,0,10128,0,0,0,0,723334,0,2446531,21558,2282476,0,0,43213,904646,16694059,688910,0,231282,0,0,5940,147465,4067177,0,6414,58861,3208432,3271,17771,0,327,0,0,0,0,0
B_343_SKelp_3212019_48.qgd,5985,3527,0,1534,4715095,2787,6972,0,0,212608,0,8643556,12174,187158,14025,27,50146,66355,1077,0,56635,0,8624,0,0,0,0,377436,0,1209411,6925,1953322,0,0,13300,1026129,14648354,818763,0,183274,0,0,5587,105162,3459638,0,8397,92630,3429160,3452,26298,0,273,0,0,0,0,0
B_058_Limpet_3212019_55.qgd,67255,15628,0,31280,8494978,105493,14866,645528,40316,583496,305336,31944892,54146,4504440,117124,253393,44225,228341,169618,0,329739,0,31599,8676,55,30,0,9896258,0,1988867,6583511,1344063,0,0,0,303548,13004125,454364,0,539670,7161040,3160937,1051125,315619,4224384,544195,68731,838324,17983005,174193,23600,619928,231225,9213,192918,116013,2527574,1359665
B_089_Limpet_3212019_45.qgd,63794,13396,0,43059,10106477,82211,17625,671768,38806,579195,314741,34259242,61239,4195381,148709,255247,48264,241614,152515,0,335935,0,27963,9958,0,0,0,10819807,0,2872487,6381276,1734552,0,0,0,302838,13017944,971686,0,697735,6553481,3836816,1170503,470125,4570944,1248329,42174,1680582,19844465,307990,7179,642431,276686,8477,226114,155296,2562264,1315487
B_044_Ido_3212019_7.qgd,26155,1942,0,4882,189651,0,187,30517,9505,130988,28741,8244559,7274,317680,7043,57741,0,10325,37839,0,100754,0,11650,0,8008,9582,0,4358937,0,1350293,664219,464572,0,13260,0,29291,13880005,480897,0,138151,121094,10818,152163,27454,1592147,151486,0,65727,7087853,571762,8499,0,28524,5900,7091,14144,112121,1031984
B_342_Macoma_3212019_47.qgd,4919,2073,0,3439,385329,0,423,32042,12047,484794,197252,6141831,9400,344349,17427,809736,0,0,309407,0,503164,0,30335,0,50652,99432,0,4271147,0,668540,39154,53692,0,93652,0,13759,13195261,25604,0,46447,1525882,768579,10799,12405,1130123,0,0,25902,1709260,10832,7159,8904,168880,2230,294213,108286,678561,1998993
