Sample,C12:0,C13:0,C13:1w,i-C14:0,C14:0,C14:1w,C14:1w5,i-C15:0,a-C15:0,C15:0,i-C16:0,C16:0,C16:1w9,C16:1w7,C16:1w,i-C17:0,C16:2w,C16:2w6,a-C17:0,C17:1w,C17:0,C16:3w3,C17:1w9,C17:1w5,i-C18:0,a-C18:0,C16:4w3,C18:0,C18:1w,C18:1w9,C18:1w7,C18:2w6,i-C19:0,a-C19:0,C18:3w,C18:3w6,C19:0,C18:3w3,C18:4w3,C20:0,C20:1w9,C20:1w7,C20:2w6,C20:3w6,C20:4w6,C20:3w3,C20:5w,C20:4w3,C20:5w3,C22:0,C22:1w9,C22:2w6,C22:4w3,C23:0,C22:4w6,C22:3w3,C22:5w3,C22:6w3
B_318_EGDia_3212019_27.qgd,0.0666,0.0140,0.0000,0.0516,19.7012,0.0509,0.0363,0.2140,0.0771,0.5486,0.0000,33.2899,0.0000,22.0663,0.3341,0.0842,0.4863,5.5833,0.0239,0.0000,0.1199,2.4248,0.0444,0.0000,0.0000,0.0000,10.0557,1.8387,0.0145,1.5720,0.7174,3.2612,0.0000,0.0000,0.0000,8.6671,29.9122,1.0994,0.0000,0.1732,0.1323,0.088,0.0689,0.3494,2.5320,0.0365,0.3215,0.5756,48.3539,0.1984,0.1260,0.5181,0.2699,0.0136,0.0380,0.0782,0.8074,2.9295
B_319_EGDia_3212019_29.qgd,0.0745,0.0158,0.0000,0.0548,18.0538,0.0453,0.0337,0.2000,0.0797,0.4995,0.0000,31.2741,0.0000,20.9528,0.3131,0.1289,0.4914,5.7766,0.0340,0.0000,0.1424,2.4979,0.0438,0.0000,0.0000,0.0000,9.8599,2.1459,0.0060,1.6579,0.8268,3.3929,0.0000,0.0000,0.0000,7.1118,29.9174,1.4017,0.0000,0.2225,0.2315,0.1707,0.1334,0.3184,3.1613,0.0665,0.2785,0.5944,45.9358,0.2330,0.2356,0.3290,0.0560,0.0123,0.0356,0.0556,0.7532,2.9740
B_340_EGDia_3212019_42.qgd,0.0968,0.0312,0.0000,0.0862,12.3589,0.1040,0.0261,0.2917,0.1445,0.7511,0.0000,28.5786,0.0000,20.9110,0.2867,0.0787,0.3449,3.5399,0.0365,0.0000,0.1400,2.6403,0.1189,0.0000,0.0000,0.0000,4.3799,2.1624,0.0877,1.6257,0.9983,1.8091,0.0000,0.0000,0.0000,1.5568,30.1640,1.2055,0.0000,0.2184,0.2026,0.1169,0.0530,0.1675,1.8557,0.0255,0.1742,0.6158,28.8623,0.2510,0.0416,0.0000,0.0872,0.0165,0.0208,0.0534,0.5630,3.4429
B_341_EGDia_3212019_43.qgd,0.1126,0.0251,0.0000,0.0654,15.1109,0.0820,0.0278,0.3211,0.1052,0.8116,0.0000,34.4112,0.0000,23.7679,0.3540,0.0997,0.5530,6.9484,0.0334,0.0000,0.1675,5.2453,0.0937,0.0000,0.0000,0.0000,8.1954,3.1771,0.0539,2.0597,1.2884,2.6377,0.0000,0.0000,0.0000,3.3337,29.3915,1.9879,0.0000,0.2441,0.2354,0.1343,0.0690,0.3108,3.3155,0.0422,0.1883,0.9458,43.4860,0.2706,0.0788,0.0689,0.0932,0.0152,0.0507,0.0936,0.7939,5.0449
B_339_EGDia_3212019_41.qgd,0.0966,0.0352,0.0000,0.0766,12.1338,0.0888,0.0284,0.2754,0.1167,0.6748,0.0000,30.6221,0.0000,21.9192,0.2714,0.0652,0.3003,3.4636,0.0339,0.0000,0.1547,1.9503,0.1050,0.0000,0.0001,0.0001,4.3461,2.1448,0.0558,1.5711,1.3536,1.8871,0.0000,0.0000,0.0000,1.6357,27.5236,1.1983,0.0000,0.3157,0.1716,0.098,0.0494,0.1965,2.1631,0.0317,0.1733,0.5625,27.2553,0.2228,0.1600,0.0308,0.0398,0.0112,0.0148,0.0338,0.4143,2.5876
B_062_Skelp_3212019_8.qgd,0.0321,0.0223,0.0000,0.0073,16.2116,0.0186,0.0727,0.0000,0.0000,0.3680,0.0000,29.3249,0.0000,2.7062,0.1608,0.0000,0.7153,0.1784,0.0030,0.0000,0.1179,0.0000,0.0562,0.0000,0.0000,0.0000,0.0000,1.5920,0.0000,13.9070,0.1022,12.0996,0.0000,0.0000,0.2552,5.3434,33.8458,3.3878,0.0000,0.5414,0.0000,0,0.0335,0.9521,23.0623,0.0000,0.0357,0.3272,17.8372,0.0092,0.1010,0.0000,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000
B_343_SKelp_3212019_48.qgd,0.0122,0.0068,0.0000,0.0030,9.3101,0.0132,0.0329,0.0000,0.0000,0.4291,0.0000,18.0566,0.0000,1.0537,0.0790,0.0001,0.2658,0.3518,0.0023,0.0000,0.1230,0.0000,0.0478,0.0000,0.0000,0.0000,0.0000,0.8307,0.0000,6.8747,0.0328,10.3548,0.0000,0.0000,0.0786,6.0609,29.6983,4.0264,0.0000,0.4290,0.0000,0,0.0315,0.6790,19.6174,0.0000,0.0467,0.5150,19.0643,0.0097,0.1494,0.0000,0.0015,0.0000,0.0000,0.0000,0.0000,0.0000
B_058_Limpet_3212019_55.qgd,0.1369,0.0301,0.0000,0.0618,16.7736,0.4980,0.0702,1.3030,0.0814,1.1778,0.6379,66.7337,0.0000,25.3598,0.6594,0.5504,0.2344,1.2105,0.3684,0.0000,0.7162,0.0000,0.1753,0.0481,0.0001,0.0001,0.0000,21.7802,0.0000,11.3055,31.2108,7.1492,0.0000,0.0000,0.0000,1.7929,26.3648,2.2344,0.0000,1.2633,39.9279,17.6245,5.9216,2.0378,23.9537,2.8098,0.3821,4.6606,99.9761,0.4892,0.1341,4.0437,1.3050,0.0251,1.2121,0.1756,23.1169,7.6740
B_089_Limpet_3212019_45.qgd,0.1299,0.0258,0.0000,0.0850,19.9555,0.3881,0.0832,1.3559,0.0783,1.1691,0.6575,71.5684,0.0000,23.6198,0.8372,0.5544,0.2559,1.2808,0.3313,0.0000,0.7297,0.0000,0.1551,0.0552,0.0000,0.0000,0.0000,23.8128,0.0000,16.3283,30.2520,9.4194,0.0000,0.0000,0.0000,1.7887,26.3928,4.7784,0.0000,1.6333,36.5404,21.393,6.5942,3.0353,25.9188,6.4453,0.2345,9.3432,110.3249,0.8650,0.0408,4.1905,1.5616,0.0231,1.4207,0.2351,23.4341,7.4246
B_044_Ido_3212019_7.qgd,0.0533,0.0037,0.0000,0.0096,0.3745,0.0000,0.0009,0.0616,0.0192,0.2644,0.0600,17.2231,0.0000,1.7885,0.0397,0.1254,0.0000,0.0547,0.0822,0.0000,0.2189,0.0000,0.0646,0.0000,0.0176,0.0211,0.0000,9.5934,0.0000,7.6756,3.1489,2.4628,0.0000,0.0269,0.0000,0.1730,28.1406,2.3649,0.0000,0.3234,0.6752,0.0603,0.8572,0.1773,9.0280,0.7821,0.0000,0.3654,39.4048,1.6059,0.0483,0.0000,0.1610,0.0161,0.0446,0.0214,1.0254,5.8245
