Biomarker_ID,Tray,del_N,del_C,percent_N,percent_C
B_001,1,9.32,-17.60,9.88,47.07
B_002,1,9.87,-16.63,11.44,46.37
B_004,1,10.72,-12.42,10.67,46.28
B_005,1,,-12.64,0.59,38.86
B_005,8,6.64,-12.95,0.67,6.68
B_006,1,,-10.85,0.65,40.92
B_006,7,6.64,-10.82,0.79,16.71
B_009,1,6.80,-16.80,1.25,37.27
B_015,1,12.00,-13.60,14.59,48.56
B_018,1,9.42,-13.10,8.03,36.28
B_019,1,8.99,-12.12,7.22,33.61
B_019_B,1,8.92,-11.96,6.97,32.73
B_020,1,9.24,-13.00,7.53,34.11
B_023,1,8.54,-1.74,10.85,46.08
B_023,7,8.58,-1.72,9.52,45.11
B_024,1,6.34,-7.39,1.75,36.74
B_025,1,6.36,-7.49,1.69,37.35
B_030,1,,-17.44,0.78,39.52
B_030,7,7.44,-17.57,0.53,20.59
B_031,1,,-17.78,0.90,39.97
B_031,7,6.99,-17.98,0.82,8.18
B_033,1,,-20.33,0.78,28.85
B_033,7,6.81,-20.33,0.46,18.24
B_034,1,,-19.05,0.78,30.56
B_034,7,7.44,-19.23,0.74,6.51
B_035,1,7.34,-18.22,1.40,38.16
B_036,1,7.86,-18.33,1.35,35.70
B_039,1,5.10,-8.14,1.85,37.88
B_040,1,5.22,-8.05,1.59,38.33
B_042,1,9.08,-12.91,7.34,32.67
B_044,1,9.76,-12.34,7.07,30.82
B_048,1,9.38,-17.32,12.33,49.70
B_049,1,10.04,-16.93,11.47,44.85
B_050,6,10.24,-11.60,10.62,43.88
B_051,1,10.14,-11.46,10.73,44.84
B_051_B,1,10.20,-11.40,10.83,45.00
B_055,1,10.88,-12.80,13.58,45.44
B_056,1,8.65,-1.33,10.57,47.50
B_056,7,8.46,-1.16,9.09,42.22
B_057,1,8.48,-1.47,10.13,45.87
B_057,7,8.38,-1.48,8.43,42.45
B_058,6,8.49,-1.20,10.53,46.67
B_058,7,8.36,-1.23,9.26,47.04
B_060,1,,-18.08,1.04,31.11
B_060,7,7.42,-18.37,0.67,9.72
B_061,1,,-19.05,1.11,28.73
B_061,7,7.70,-19.17,0.65,10.24
B_062,1,,-17.27,1.22,30.38
B_062,7,7.88,-17.53,0.87,8.80
B_063,1,5.04,-8.55,1.90,38.07
B_064,1,6.10,-9.57,1.85,37.87
B_066,2,,-12.36,0.64,39.93
B_066,7,6.88,-12.75,0.63,8.44
B_067,2,,-11.87,0.55,40.84
B_067,7,7.35,-12.15,0.59,7.58
B_069,2,6.92,-21.49,1.73,34.88
B_070,2,7.16,-21.32,1.80,36.59
B_078,2,9.49,-12.44,8.41,36.91
B_079,2,9.11,-12.42,7.58,33.92
B_080,2,9.46,-16.32,11.56,45.42
B_081,2,8.80,-16.58,11.41,46.15
B_086,2,9.95,-11.27,10.33,45.56
B_086_B,2,9.76,-11.16,9.87,45.31
B_088,2,8.15,-0.17,10.31,47.37
B_088,7,8.23,-0.47,8.79,42.29
B_089,6,8.25,-0.40,10.00,47.81
B_089,7,8.14,-0.29,8.61,40.65
B_089_B,6,8.40,-0.61,10.62,47.78
B_090,2,12.31,-12.85,13.52,45.20
B_091,2,10.91,-9.19,13.16,44.28
B_092,2,10.64,-12.74,12.40,41.94
B_093,2,10.98,,3.23,9.54
B_093,8,11.23,-11.81,13.47,39.90
B_094,2,12.83,-13.06,13.86,46.73
B_095,2,12.47,-13.36,14.06,46.77
B_096,2,11.27,-10.65,13.90,47.65
B_101,2,7.28,-20.39,1.45,22.38
B_102,2,7.03,-20.28,1.44,21.39
B_104,2,6.04,-6.57,1.43,37.28
B_105,2,5.72,-8.70,1.55,36.03
B_106,6,6.76,-8.34,1.45,37.37
B_107,2,,-14.19,0.80,38.55
B_107,7,7.62,-14.52,0.60,10.55
B_108,2,,-16.25,0.70,39.13
B_108,7,7.62,-16.50,0.60,19.12
B_108B,7,7.90,-16.63,0.64,8.72
B_110,2,,-18.37,0.81,31.51
B_110,7,8.36,-18.62,0.79,7.45
B_111,2,,-15.89,0.80,33.01
B_111,7,7.85,-16.15,0.55,20.12
B_113,2,9.13,0.14,10.27,47.00
B_113,7,9.38,0.16,9.08,47.36
B_113_B,2,9.32,0.12,10.23,46.94
B_115,2,9.22,0.16,10.27,46.67
B_115,7,9.22,-0.08,9.11,44.28
B_116,2,9.43,-13.82,7.40,38.66
B_117,2,9.45,-14.10,7.18,36.28
B_119,2,10.42,-11.31,11.25,46.43
B_120,2,9.98,-11.35,10.87,45.58
B_122,2,8.30,-15.38,10.03,45.26
B_130,2,6.90,-6.98,1.32,35.85
B_131,2,6.70,-7.21,1.36,38.97
B_134,3,,-14.99,0.72,32.07
B_134,7,8.63,-15.12,0.53,10.80
B_135,3,,-20.13,0.74,25.97
B_135,7,8.41,-20.14,0.57,9.81
B_136,3,,-16.07,0.77,38.36
B_136,7,8.04,-16.34,0.65,10.20
B_137,3,,-15.48,0.73,38.44
B_137,7,7.95,-15.78,0.62,9.81
B_139,3,7.31,-12.99,1.66,41.24
B_140,3,7.39,-19.80,1.42,29.87
B_143,3,9.07,-1.30,9.99,48.26
B_143,7,9.18,-1.36,8.91,48.54
B_144,3,9.16,-1.22,9.75,49.25
B_144,7,9.21,-0.93,8.78,44.86
B_144B,7,9.15,-1.06,9.00,48.19
B_150,3,9.44,-13.13,7.59,35.69
B_150_B,3,9.34,-13.22,7.44,35.32
B_151,3,9.44,-12.45,7.71,40.18
B_157,3,11.27,-10.13,11.42,46.52
B_158,3,10.27,-10.86,10.91,45.88
B_160,3,8.45,-16.69,9.09,45.34
B_161,3,7.44,-18.85,1.64,37.58
B_162,3,7.66,-14.69,1.86,38.59
B_164,3,7.71,-14.77,1.12,28.49
B_165,3,5.41,-7.54,2.47,36.29
B_166,3,5.76,-7.16,2.00,36.88
B_168,3,,-10.71,0.64,37.58
B_168,7,7.21,-11.15,0.49,11.15
B_169,3,,-10.11,0.65,39.37
B_169,7,6.91,-10.49,0.66,8.79
B_171,3,8.03,-3.54,11.19,46.96
B_171,7,8.25,-3.67,9.54,44.07
B_172,3,8.11,-4.40,11.06,45.65
B_172,7,8.18,-4.58,9.34,40.49
B_179,3,9.00,-12.83,6.98,31.81
B_180,3,8.74,-12.74,6.36,30.26
B_182,3,7.88,-17.47,9.92,45.38
B_183,3,9.53,-12.43,10.22,44.91
B_183_B,3,9.90,-12.28,10.63,45.22
B_184,3,9.31,-13.94,10.09,45.09
B_185,3,11.33,-12.08,13.86,45.62
B_186,3,11.25,-12.20,18.09,58.25
B_191,3,13.92,-14.18,14.75,49.90
B_192,3,13.59,-14.76,14.75,49.87
B_195,3,11.65,-13.26,13.89,47.26
B_197,3,11.94,-12.42,14.49,48.54
B_198,3,11.90,-12.49,14.47,47.34
B_201,4,12.22,-10.98,14.91,48.78
B_202,4,12.11,-12.45,14.45,48.70
B_204,4,11.67,-11.63,13.23,44.48
B_205,4,11.01,-12.71,14.69,48.76
B_207,4,11.72,-12.06,12.54,43.33
B_208,4,8.15,-20.13,2.37,20.26
B_209,4,7.84,-19.91,1.98,18.19
B_212,4,7.69,-19.20,2.31,21.28
B_213,4,7.76,-19.23,2.39,21.42
B_213_B,4,7.73,-19.03,2.39,21.28
B_217,4,7.58,-19.41,2.08,23.44
B_218,4,7.47,-19.42,2.16,23.75
B_226,4,8.59,-17.14,6.70,35.61
B_226,7,7.74,-1.59,8.36,44.01
B_228,4,8.74,-18.06,3.59,22.25
B_229,4,8.63,-18.15,4.23,25.31
B_231,4,8.45,-18.35,4.92,29.18
B_232,4,8.50,-17.93,4.50,26.44
B_239,4,12.89,-16.37,15.29,50.42
B_241,4,12.76,-17.39,14.96,50.91
B_242,4,11.41,-12.58,15.25,51.27
B_244,4,11.63,-12.60,14.78,49.58
B_247,4,12.65,-14.49,14.72,49.29
B_248,4,12.93,-14.48,14.72,49.04
B_250,4,11.91,-13.30,15.11,50.27
B_251,4,11.72,-13.55,14.97,50.62
B_255,4,13.47,-12.66,15.58,52.16
B_256,4,13.13,-12.54,16.56,55.73
B_256_B,4,13.23,-12.45,15.50,52.06
B_259,4,12.92,-15.80,14.52,53.64
B_260,4,12.85,-16.22,15.09,51.02
B_262,4,13.87,-13.35,16.06,54.01
B_265,4,14.41,-13.18,14.31,50.10
B_266,4,7.78,-1.32,9.92,49.50
B_267,4,11.05,-13.68,14.58,49.08
B_268,4,11.17,-13.50,14.38,48.33
B_270,4,12.93,-16.78,14.60,49.71
B_271,5,12.81,-13.08,13.36,53.97
B_273,5,12.68,-13.86,15.02,50.74
B_274,5,12.07,-16.19,14.72,49.53
B_276,5,13.26,-14.67,15.42,50.79
B_277,5,13.57,-13.55,15.27,51.00
B_278,5,8.46,-14.49,1.67,18.37
B_280,5,8.40,-14.73,1.77,17.82
B_281,5,8.12,-14.46,1.57,18.29
B_284,5,13.71,-15.19,15.13,52.32
B_284_B,5,13.69,-15.22,15.10,52.21
B_285,5,13.63,-15.76,14.78,50.78
B_287,6,14.08,-16.84,14.70,49.59
B_288,5,14.04,-15.69,14.29,49.39
B_291,5,12.47,-13.03,14.84,50.56
B_292,5,12.80,-15.94,14.78,50.10
B_293,5,11.99,-13.45,17.44,58.28
B_294,5,12.06,-13.34,17.70,58.73
B_295,5,11.90,-13.24,14.50,49.39
B_296,5,12.85,-13.54,13.96,46.19
B_299,5,12.85,-13.85,14.34,47.78
B_301,5,12.86,-14.40,14.94,48.97
B_302,5,12.69,-13.68,13.51,45.44
B_304,5,12.05,-13.85,13.54,45.42
B_305,5,13.19,-14.07,14.59,48.66
B_307,5,12.05,-11.75,14.48,48.99
B_308,5,12.89,-15.67,15.16,51.85
B_310,5,13.61,-14.84,14.86,50.45
B_315,5,13.31,-12.56,14.52,51.46
B_315_B,5,13.27,-12.34,14.68,50.67
B_317,5,13.07,-13.76,14.99,50.39
B_318,5,8.90,-14.05,1.57,17.26
B_319,5,8.70,-13.59,1.46,15.49
B_320,5,11.85,-11.43,14.92,49.96
B_321,5,11.52,-12.18,14.99,50.17
B_322,5,11.81,-12.07,14.91,50.43
B_325,5,12.96,-16.15,14.58,49.03
B_326,5,13.60,-14.37,14.78,50.24
B_330,6,14.09,-14.97,14.56,49.79
B_331,6,14.26,-15.05,14.69,50.03
B_333,6,13.05,-13.41,14.68,50.00
B_335,6,13.06,-13.55,14.77,50.33
B_339,6,9.84,-15.00,1.37,13.66
B_340,6,9.43,-15.88,1.41,13.58
B_341,6,8.94,-14.41,1.91,16.14
B_342,6,11.31,-12.97,11.16,45.57
B_343,6,,-16.51,0.83,30.17
B_343,7,7.29,-16.66,0.80,6.71
B_346,6,11.38,-12.99,12.46,47.50
B_348,6,11.76,-11.67,14.48,46.30
B_356,6,8.28,-17.21,10.58,45.28
B_357,6,8.12,-17.07,10.80,45.69
B_358,6,7.99,-17.05,10.71,45.53
