Site,date_YYYYMMDD,transect_location,species_common,species_scientific,species_code?,death_estimate,width_mm,notes,measures
N. Fish Egg,20180619,Edge,Cockle,Clinocardium nutallii,,Sea otter,104,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Edge,Cockle,Clinocardium nutallii,,Whole,52,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Edge,Cockle,Clinocardium nutallii,,Whole,31,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Edge,Bentose Macoma,Macoma nasuta,,Whole,56,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Edge,Pointed Macoma,Macoma inquinata,,Whole,49,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Outside,Butter Clam,Saxidomus gigantea,,Sea otter,29,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Outside,Butter Clam,Saxidomus gigantea,,Whole,16,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Outside,Cockle,Clinocardium nutallii,,Sea otter,57,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Outside,Cockle,Clinocardium nutallii,,Sea otter,87,estimate,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Outside,Cockle,Clinocardium nutallii,,Whole,13,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Outside,Cockle,Clinocardium nutallii,,Whole,109,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Outside,Cockle,Clinocardium nutallii,,Whole,70,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Outside,Cockle,Clinocardium nutallii,,Whole,14,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Outside,Cockle,Clinocardium nutallii,,Whole,69,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Outside,Cockle,Clinocardium nutallii,,Whole,17,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Inside,Steamer Clam,Protothaca staminea,,Whole,53,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Inside,Cockle,Clinocardium nutallii,,Sea otter,74,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Inside,Cockle,Clinocardium nutallii,,Whole,101,,"Lia, Maggie, Mel, Tiff"
N. Fish Egg,20180619,Inside,Pointed Macoma,Macoma inquinata,,Sea otter,103,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Butter Clam,Saxidomus gigantea,,Sea otter,120,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Butter Clam,Saxidomus gigantea,,Crab chipped,96,,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Butter Clam,Saxidomus gigantea,,Crab chipped,22,estimate,"Lia, Maggie, Mel, Tiff"
Nossuk-Photographers Point,20180617,Edge,Butter Clam,Saxidomus gigantea,,Whole,81,,"Lia, Maggie, Mel, Tiff"
