Site,Date,Pre/Post,Soak time,String no.,Pot type,Common Name,Scientific name,Size,Sex,Notes
Nossuk Bay,20180630,Pre,24,1,Dungie,,,,,0 organisms
Nossuk Bay,20180630,Pre,24,1,Fukoi ,Helmet crab,Temessus cheiragonus,40,M,
Nossuk Bay,20180630,Pre,24,1,Fukoi ,Helmet crab,Temessus cheiragonus,49,M,
Nossuk Bay,20180630,Pre,24,1,Fukoi ,Helmet crab,Temessus cheiragonus,43,M,
Nossuk Bay,20180630,Pre,24,1,Fukoi ,Helmet crab,Temessus cheiragonus,50,M,
Nossuk Bay,20180630,Pre,24,1,Fukoi ,Helmet crab,Temessus cheiragonus,40,M,
Nossuk Bay,20180630,Pre,24,1,Fukoi ,Helmet crab,Temessus cheiragonus,47,M,
Nossuk Bay,20180630,Pre,24,1,Fukoi ,Helmet crab,Temessus cheiragonus,45,M,
Nossuk Bay,20180630,Pre,24,1,Fukoi ,Dungeness,Cancer magister,59,M,
Nossuk Bay,20180630,Pre,24,1,Fukoi ,Dungeness,Cancer magister,61,M,
Nossuk Bay,20180630,Pre,24,2,Dungie,,,,,none
Nossuk Bay,20180630,Pre,24,2,Fukoi,,,,,none
Nossuk Bay,20180630,Pre,24,3,Dungie,,,,,none
Nossuk Bay,20180630,Pre,24,3,Fukoi,,,,,none
Nossuk Bay,20180630,Pre,24,4,Dungie,,,,,none
Nossuk Bay,20180630,Pre,24,4,Fukoi,Dungeness,Cancer magister,45,F,
North Fish Egg,20180627,Pre,24,1,Dungie,,,,,none
North Fish Egg,20180627,Pre,24,1,Fukoi ,Red rock,Cancer productus,99,F,
North Fish Egg,20180627,Pre,24,1,Fukoi,Red rock,Cancer productus,105,F,
North Fish Egg,20180627,Pre,24,2,Dungie,,,,,none
North Fish Egg,20180627,Pre,24,2,Fukoi,Red rock,Cancer productus,127,M,"single claw, old shell"
North Fish Egg,20180627,Pre,24,3,Dungie,Red rock,Cancer productus,108,M,
North Fish Egg,20180627,Pre,24,3,Fukoi,Red rock,Cancer productus,117,M,2 Staghorn sculpin 
North Fish Egg,20180627,Pre,24,3,Fukoi,Red rock,Cancer productus,107,F,
North Fish Egg,20180627,Pre,24,3,Fukoi,Red rock,Cancer productus,96,F,
North Fish Egg,20180627,Pre,24,4,Dungie,,,,,none
North Fish Egg,20180627,Pre,24,4,Fukoi,,,,,none
Nossuk Bay,20180804,Post,24.25,1,Dungie,,,,,none
Nossuk Bay,20180804,Post,24.25,1,Fukoi ,,,,,none
Nossuk Bay,20180804,Post,24.25,2,Dungie,,,,,none
Nossuk Bay,20180804,Post,24.25,2,Fukoi,Helmet crab,Temessus cheiragonus,49,M,
Nossuk Bay,20180804,Post,24.25,2,Fukoi,Dungeness,Cancer magister,49,F,
Nossuk Bay,20180804,Post,24.25,2,Fukoi,Dungeness,Cancer magister,58,M,
Nossuk Bay,20180804,Post,24.25,2,Fukoi,Dungeness,Cancer magister,56,M,
Nossuk Bay,20180804,Post,24.25,3,Fukoi,,,,,none
Nossuk Bay,20180804,Post,24.25,3,Dungie,,,,,none
Nossuk Bay,20180804,Post,24.25,4,Dungie,,,,,
Nossuk Bay,20180804,Post,24.25,4,Fukoi,Dungeness,Cancer magister,51,M,
Nossuk Bay,20180804,Post,24.25,4,Fukoi,Dungeness,Cancer magister,48,F,
North Fish Egg,20180804,Post,24,1,Dungie,,,,,none
North Fish Egg,20180804,Post,24,1,Fukoi,Red rock,Cancer productus,110,F,
North Fish Egg,20180804,Post,24,1,Fukoi,Red rock,Cancer productus,95,F,
North Fish Egg,20180804,Post,24,2,Dungie,,,,,
North Fish Egg,20180804,Post,24,2,Fukoi,Red rock,Cancer productus,108,F,
North Fish Egg,20180804,Post,24,3,Dungie,,,,,
North Fish Egg,20180804,Post,24,3,Fukoi,Red rock,Cancer productus,105,F,
North Fish Egg,20180804,Post,24,4,Dungie,,,,,
North Fish Egg,20180804,Post,24,4,Fukoi,Red rock,Cancer productus,116,M,
North Fish Egg,20180804,Post,24,4,Fukoi,Red rock,Cancer productus,113,M,
North Fish Egg,20180804,Post,24,4,Fukoi,Red rock,Cancer productus,100,F,
