Date,Site,Latitude,Longitude,Quadrat Number,Meter mark,Location w/in bed,Blades,Nutrients,Grazers,Measurers,Notes
6/17/18,Nossuk Bay-Photographer pt.,55.723781,-133.324104,1,100,Inside,65,N,N,"Lia, Ginny","Orange rod placed in uphill, towards head of bay corner"
6/17/18,Nossuk Bay-Photographer pt.,55.723781,-133.324104,2,90,Inside,63,N,N,"Lia, Ginny",Pre-experiment set up
6/17/18,Nossuk Bay-Photographer pt.,55.723781,-133.324104,3,80,Inside,74,Y,Y,"Lia, Ginny",
6/17/18,Nossuk Bay-Photographer pt.,55.723781,-133.324104,4,70,Inside,94,Y,Y,"Lia, Ginny",
6/17/18,Nossuk Bay-Photographer pt.,55.723781,-133.324104,5,60,Inside,75,Y,N,"Lia, Ginny",
6/17/18,Nossuk Bay-Photographer pt.,55.723781,-133.324104,6,50,Inside,91,N,Y,"Lia, Ginny",
6/17/18,Nossuk Bay-Photographer pt.,55.723781,-133.324104,7,40,Inside,101,Y,Y,"Lia, Ginny",
6/17/18,Nossuk Bay-Photographer pt.,55.723781,-133.324104,8,30,Inside,93,Y,N,"Lia, Ginny",
6/17/18,Nossuk Bay-Photographer pt.,55.723781,-133.324104,9,20,Inside,59,Y,N,"Lia, Ginny",
6/17/18,Nossuk Bay-Photographer pt.,55.723781,-133.324104,10,10,Inside,91,N,Y,"Lia, Ginny",
6/17/18,Nossuk Bay-Photographer pt.,55.723781,-133.324104,11,0,Inside,107,N,Y,"Lia, Ginny",
6/17/18,Nossuk Bay-Photographer pt.,55.723781,-133.324104,12,-10,Inside,93,N,N,"Lia, Ginny",
6/19/18,North Fish Egg,55.496406,-133.169758,1,2,Inside,189,Y,Y,"Ginny, Tiff","Orange rod placed in uphill, towards head of bay corner"
6/19/18,North Fish Egg,55.496406,-133.169758,2,12,Inside,89,N,N,"Ginny, Tiff",
6/19/18,North Fish Egg,55.496406,-133.169758,3,22,Inside,146,Y,N,"Ginny, Tiff",
6/19/18,North Fish Egg,55.496406,-133.169758,4,32,Inside,120,Y,Y,"Ginny, Tiff",
6/19/18,North Fish Egg,55.496406,-133.169758,5,42,Inside,126,Y,N,"Ginny, Tiff",
6/19/18,North Fish Egg,55.496406,-133.169758,6,52,Inside,127,N,N,"Ginny, Tiff",
6/19/18,North Fish Egg,55.496406,-133.169758,7,62,Inside,110,Y,N,"Ginny, Tiff",
6/19/18,North Fish Egg,55.496406,-133.169758,8,72,Inside,167,Y,Y,"Ginny, Tiff",
6/19/18,North Fish Egg,55.496406,-133.169758,9,82,Inside,212,N,Y,"Ginny, Tiff",
6/19/18,North Fish Egg,55.496406,-133.169758,10,92,Inside,151,N,Y,"Ginny, Tiff",
6/19/18,North Fish Egg,55.496406,-133.169758,11,102,Inside,124,N,Y,"Ginny, Tiff",
6/19/18,North Fish Egg,55.496406,-133.169758,12,112,Inside,159,N,N,"Ginny, Tiff",
