site,date_YYYYMMDD,quadrat_no,pad_no,pad_mass_g,pad_epiphyte_mass_g,shoot_mass_fw,shoot_foil,shoot_foil_dw,ido_mass_fw,ido_foil,ido_foil_dw,caprel_mass_fw,caprel_foil,caprel_foil_dw,limp_fw,limp_foil,limp_foil_dw,amp_mass_fw,amp_foil,amp_foil_dw,gastro_mass_fw,gastro_foil,gastro_foil_dw,other_animal_notes
Nossuk-photographers point,20180630,1,20,0.52867,0.54896,30.78898,2.39,7.57359,0.54459,0.4646,0.54317,0.0016,0.46963,0.46978,0.28736,0.64913,0.72937,0.00272,0.49379,0.49384,0.00751,0.46285,0.46639,1 crab
Nossuk-photographers point,20180630,2,22,0.60468,0.69045,24.34509,2.2873,5.66326,0.45138,0.72565,0.78652,0.00011,0.83617,0.83544,0.29449,0.73768,0.80922,,,,0.0004,0.8473,0.84679,
Nossuk-photographers point,20180630,3,21,0.65989,0.60868,26.63718,1.8997,5.31267,0.0929,0.742,0.75671,,,,0.19225,0.58671,0.63736,0.00019,0.61531,0.61486,,,,
Nossuk-photographers point,20180630,4,23,0.56163,0.56506,27.04756,2.2498,5.99826,,,,,,,0.23005,0.86198,0.92387,0.00785,0.75397,0.75416,0.02035,0.81109,0.82277,1 hermit crab
Nossuk-photographers point,20180630,5,24,0.54322,0.55366,23.11411,2.7279,6.37105,0.73584,0.7743,0.88992,,,,0.14071,0.78879,0.83131,0.00051,0.87775,0.87743,,,,
Nossuk-photographers point,20180630,6,25,0.54488,0.55278,17.80177,2.1072,4.59274,0.13628,0.96635,0.98872,,,,0.26009,0.82389,0.89509,0.00156,0.79682,0.79637,0.00002,0.8786,0.87809,
Nossuk-photographers point,20180630,7,26,0.53478,0.55766,19.55114,2.2764,4.75113,,,,,,,0.16446,0.55886,0.6029,0.00002,0.52279,0.52287,0.00148,0.54129,0.54242,
Nossuk-photographers point,20180630,8,27,0.5628,0.57813,20.48879,1.9539,4.27256,,,,,,,0.23447,0.51619,0.58286,0.0001,0.5575,0.55806,0.01216,0.56492,0.57102,
Nossuk-photographers point,20180630,9,28,0.57109,0.5818,24.88761,2.5816,5.20729,0.71718,0.85243,0.96376,,,,0.16768,0.73952,0.7865,0.00024,0.76839,0.76844,,,,
Nossuk-photographers point,20180630,10,29,0.53378,0.54076,20.31127,2.3109,4.45303,,,,,,,0.10537,0.46964,0.4972,0.00053,0.46555,0.46488,0.00008,0.62601,0.62607,
Nossuk-photographers point,20180630,11,30,0.54428,0.56865,39.05712,2.203,6.71736,0.16183,0.74808,0.77809,,,,0.3487,0.60256,0.69972,0.00202,0.58081,0.58016,,,,1 shrimp
Nossuk-photographers point,20180630,12,31,0.54695,0.55488,25.84308,2.343,5.03416,,,,,,,0.2108,0.55255,0.60366,,,,,,,
Nossuk-photographers point,20180804,1,1,0.50754,0.54974,31.61188,3.90555,10.15274,0.00081,0.42927,0.42942,,,,,,,0.00038,0.45401,0.45369,,,,
