Date,Site,Meter mark,Continuous,Diffuse,Distance (cm),H20 Line,Quadrat,Elevation,Notes
6/28/2018,N. Fish Egg,0,310,291,583,370,1,392,
6/28/2018,N. Fish Egg,10,295,291,21,372,2,404,
6/28/2018,N. Fish Egg,20,295,291,202,372,3,413,
6/28/2018,N. Fish Egg,30,295,283,432,370,4,418,
6/28/2018,N. Fish Egg,40,300,286,780,371,5,416,
6/28/2018,N. Fish Egg,50,297,280,821,371,6,405,
6/28/2018,N. Fish Egg,60,291,278,883,370,7,394,
6/28/2018,N. Fish Egg,70,290,274,1065,370,8,390,
6/28/2018,N. Fish Egg,80,283,270,844,370,9,397,
6/28/2018,N. Fish Egg,90,283,263,1030,370,10,402,
6/28/2018,N. Fish Egg,100,291,276,456,,11,401,
6/28/2018,N. Fish Egg,110,295,278,634,,12,407,
6/28/2018,N. Fish Egg,120,300,296,128,,,,
6/30/2018,Nossuk-Photographers pt. ,0,380,362,301,353,/,,Starts at quadrat 12
6/30/2018,Nossuk-Photographers pt. ,10,375,368,94,354,12,421,
6/30/2018,Nossuk-Photographers pt. ,20,374,353,353,354,11,436,
6/30/2018,Nossuk-Photographers pt. ,30,385,367,371,350,10,445,
6/30/2018,Nossuk-Photographers pt. ,40,383,363,429,353,9,450,
6/30/2018,Nossuk-Photographers pt. ,50,388,356,534,354,8,455,
6/30/2018,Nossuk-Photographers pt. ,60,381,363,283,350,7,455,
6/30/2018,Nossuk-Photographers pt. ,70,390,379,160,353,6,453,
6/30/2018,Nossuk-Photographers pt. ,80,387,367,265,350,5,453,
6/30/2018,Nossuk-Photographers pt. ,90,398,367,376,,4,451,
6/30/2018,Nossuk-Photographers pt. ,100,390,373,231,,3,457,
6/30/2018,Nossuk-Photographers pt. ,110,403,377,445,,2,454,
6/30/2018,Nossuk-Photographers pt. ,120,389,383,75,,1,450,Ends at quadrat 1
