site,date,YYYYMMDD,start_time,end_time,slope,tide_height,tide_time,species_common,species_scientific,sp_code,fork_length,unmeasured,Sex,Notes:
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,F,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Helmet crab,Temessus cheiragonus,CRABHEL,,,M,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile Artedius,Artedius spp.,UNARTE,25,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile Artedius,Artedius spp.,UNARTE,105,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile Artedius,Artedius spp.,UNARTE,85,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile Artedius,Artedius spp.,UNARTE,110,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile Artedius,Artedius spp.,UNARTE,24,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile Artedius,Artedius spp.,UNARTE,115,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile Artedius,Artedius spp.,UNARTE,30,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile Artedius,Artedius spp.,UNARTE,27,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile Artedius,Artedius spp.,UNARTE,35,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile Artedius,Artedius spp.,UNARTE,25,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile Artedius,Artedius spp.,UNARTE,29,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile irish lord,Hemilepidotus sp.,UNLORD,140,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile irish lord,Hemilepidotus sp.,UNLORD,103,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile irish lord,Hemilepidotus sp.,UNLORD,68,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile irish lord,Hemilepidotus sp.,UNLORD,62,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile irish lord,Hemilepidotus sp.,UNLORD,155,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile irish lord,Hemilepidotus sp.,UNLORD,146,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Juvenile irish lord,Hemilepidotus sp.,UNLORD,135,,,"formally ""red irish"""
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Northern kelp crab,Pugettia producta,CRABNKE,,,F,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,213,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,227,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,121,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,49,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,128,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,147,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,55,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,138,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,105,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,56,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,196,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,144,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,175,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,70,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,70,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,64,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,135,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,150,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,56,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,101,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,130,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,56,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,66,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Padded sculpin,Artedius fenestralis,,60,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Padded sculpin,Artedius fenestralis,,56,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Red rock,Cancer productus,CRABRD,,,F,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,97,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,115,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,44,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,59,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,95,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,114,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,45,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,50,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,109,,,
North Fish Egg,8/7/18,20180807,1425,1435,very gentile,0.6,15:25:00,Shiner perch,Cymatogaster aggregata,PERCHSH,42,,,
