site,date,YYYYMMDD,start_time,end_time,slope,tide_height,tide_time,species_common,species_scientific,sp_code,fork_length,unmeasured,Sex
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,133,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,148,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,240,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,118,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,205,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,119,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,139,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,106,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,101,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,122,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,88,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,85,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,131,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,98,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,113,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,102,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,137,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,131,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,91,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,109,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,87,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,90,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,142,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,139,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,104,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,146,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,120,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,84,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,137,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,160,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Bay Pipefish,Syngnathus leptorhynchus,PIPEFISH,NA,1,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,112,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,34,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Pacific staghorn sculpin,Leptocottus armatus,SCULPSTG,98,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,49,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,52,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,37,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,65,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,51,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,53,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,54,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,49,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,51,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,55,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,55,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,57,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,42,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,49,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,52,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,58,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,61,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,53,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,35,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,53,,
2017_M_02,5/10/17,20170510,745,802,gentle,-0.35,730,Threespine stickleback,Gasterosteus aculeatus,STICK3,53,,
