"","x"
"1","12"
"2","16"
"3","767"
"4","63"
"5","637"
"6","2"
"7","70"
"8","6"
"9","10"
"10","30"
"11","32"
"12","33"
"13","45"
"14","75"
"15","610"
"16","779"
"17","3407"
"18","35"
"19","461"
"20","462"
"21","78"
"22","3409"
"23","3408"
"24","467"
"25","787"
"26","84"
"27","44"
"28","85"
"29","469"
"30","607"
"31","87"
"32","471"
"33","3406"
"34","88"
"35","609"
"36","198"
"37","212"
"38","592"
"39","199"
"40","211"
"41","593"
"42","589"
"43","3367"
"44","346"
"45","347"
"46","348"
"47","350"
"48","351"
"49","266"
"50","267"
"51","312"
"52","313"
"53","3215"
"54","3212"
"55","234"
"56","236"
"57","235"
"58","237"
"59","242"
"60","244"
"61","243"
"62","245"
"63","247"
"64","258"
"65","257"
"66","259"
"67","272"
"68","274"
"69","273"
"70","275"
"71","284"
"72","579"
"73","283"
"74","285"
"75","356"
"76","360"
"77","357"
"78","361"
"79","366"
"80","369"
"81","399"
"82","400"
"83","402"
"84","328"
"85","2892"
"86","581"
"87","340"
"88","341"
"89","281"
"90","271"
"91","566"
"92","567"
"93","568"
"94","200"
"95","213"
"96","596"
"97","3206"
"98","597"
"99","3205"
"100","569"
"101","578"
"102","202"
"103","203"
"104","3204"
"105","205"
"106","217"
"107","599"
"108","3203"
"109","594"
"110","595"
"111","196"
"112","590"
"113","3401"
"114","197"
"115","210"
"116","591"
"117","3402"
"118","2741"
"119","3070"
"120","2742"
"121","2841"
"122","3069"
"123","2743"
"124","2840"
"125","2744"
"126","2745"
"127","2746"
"128","2747"
"129","2846"
"130","2748"
"131","2749"
"132","2750"
"133","2848"
"134","2751"
"135","2752"
"136","2847"
"137","2832"
"138","2852"
"139","2934"
"140","2935"
"141","2936"
"142","2937"
"143","2939"
"144","2943"
"145","2949"
"146","2950"
"147","2953"
"148","2958"
"149","2960"
"150","2961"
"151","2963"
"152","2964"
"153","3166"
"154","3170"
"155","3172"
"156","3175"
"157","3177"
"158","3180"
"159","3181"
"160","3184"
"161","3186"
"162","3188"
"163","3189"
"164","3190"
"165","3191"
"166","3192"
"167","3193"
"168","3165"
"169","3201"
"170","3202"
"171","3213"
"172","3216"
"173","3217"
"174","3371"
"175","3400"
"176","3403"
"177","3405"
"178","3410"
"179","3411"
"180","3414"
"181","3416"
