site,habitat,so_region,date,YYYYMMDD,start_time,end_time,slope,tide_height,tide_time,species_common,species_scientific,sp_code,fork_length,unmeasured,taxon,Sex,notes
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Whitespotted greenling,Hexagrammos stelleri,GREENWHI,221,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,85,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,95,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,85,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,94,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,97,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,91,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,82,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,84,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,79,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,103,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,84,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,82,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,83,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,94,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,92,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,98,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,93,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,101,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,86,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,87,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,89,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,94,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,78,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,95,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,82,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,91,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,84,,fish,,
Baker Island - eel,eelgrass,mid,6/18/19,20190618,700,715,gentle,-0.4,823,Chum salmon,Oncorhynchus keta,SALCHUM,98,,fish,,
