"","site","area","n_1","survey_dat_1","n_2","survey_dat_2","dens_surv1","dens_surv2"
"1","Baker Island - eel",5.765,18,"2019/08/02",28,"2019/08/12",3.12228967909801,4.85689505637468
"2","Chusini",14.57,96,"2019/07/31",78,"2019/08/14",6.58888126286891,5.35346602608099
"3","Dunbar Inlet",8.8475,2,"2019/08/04",1,"2019/08/17",0.226052557219554,0.113026278609777
"4","Farallon Bay",7.475,1,"2019/08/03",0,"2019/08/16",0.133779264214047,0
"5","Goats mouth Inlet",4.1275,2,"2019/08/04",1,"2019/08/16",0.484554815263477,0.242277407631738
"6","Guktu Bay",8.7775,64,"2019/08/01",278,"2019/08/14",7.29136998006266,31.6718883508972
"7","Heceta",5.33,16,"2019/08/02",36,"2019/08/15",3.00187617260788,6.75422138836773
"8","Kaguk Bay",6.725,93,"2019/08/01",268,"2019/08/14",13.8289962825279,39.8513011152416
"9","Klawock airport",11.0825,1,"2019/07/30",4,"2019/08/12",0.0902323482968644,0.360929393187458
"10","Natzuhini Bay",11.1025,0,"2019/08/03",0,"2019/08/16",0,0
"11","Naukati",14.9075,71,"2019/07/31",28,"2019/08/14",4.76270333724635,1.8782492034211
"12","North Fish Egg Island",17.32,17,"2019/07/29",9,"2019/08/11",0.981524249422633,0.519630484988453
"13","North Pass",6.61,0,"2019/08/03",0,"2019/08/16",0,0
"14","Nossuk Bay",6.4175,18,"2019/08/01",19,"2019/08/15",2.80483054148812,2.96065446045968
"15","Port Refugio",5.04,0,"2019/08/02",1,"2019/08/12",0,0.198412698412698
"16","Salt Lake Bay",8.6525,54,"2019/08/01",48,"2019/08/15",6.24097081768275,5.547529615718
"17","Shakan - eel",7.5525,42,"2019/08/05",NA,NA,5.56107249255214,NA
"18","Shinaku Inlet",11.905,88,"2019/07/30",66,"2019/08/12",7.39185216295674,5.54388912221756
"19","South Fish Egg Island",24.58,30,"2019/07/29",27,"2019/08/11",1.22050447518308,1.09845402766477
"20","South Wadleigh",19.095,4,"2019/07/30",2,"2019/08/11",0.209478921183556,0.104739460591778
