X,Y,date_YYYYMMDD,time,notes,site,replicate,name,desc
-132.81456,55.089737,20190817,1017,,Dunbar,2,Dunbar End 2,
-132.878799,55.099422,20190817,934,,Dunbar,2,Dunbar Start 2,
-133.611053,55.343914,20190802,627,,Baker Island,1,End Baker,
-133.612259,55.338551,20190812,955,,Baker Island,2,End Baker 2,
-133.417831,55.621758,20190731,1127,,Blanquizal,1,End Blanquizal,
-133.427322,55.622913,20190813,1446,,Blanquizal,2,End Blanquizal 2,
-132.868149,55.064919,20190804,1013,,Dunbar,1,End Dunbar,
-133.094589,55.19352,20190803,956,,Farallon Bay,1,End Farallon,
-133.100418,55.192005,20190816,1056,,Farallon Bay,2,End Farallon 2,
-133.456131,55.551937,20190731,959,,Garcia Cove,1,End Garcia,
-133.461594,55.54694,20190813,1300,,Garcia Cove,2,End Garcia 2,
-132.889816,55.167458,20190804,1245,,Goats mouth Inlet,1,End GM,
-132.90062,55.189182,20190816,1202,,Goats mouth Inlet,2,End Goats Mouth2,1202
-133.287613,55.745445,20190814,949,,Kaguk & Guktu,2,End kaguk Guktu,End 0950
-133.113174,55.556442,20190730,1524,,Klawock & Shinaku,1,End Klw & Shinaku,1524 done
-132.9505,55.208584,20190803,1357,,Natzuhini & North Pass,1,End Natzuhini/ North Pass,
-133.207184,55.796074,20190814,1205,,Chusini & Naukati,2,End Naukati Chusini 2,1206
-133.116684,55.536125,20190811,1731,,North Fish Egg & South Fish Egg & South Wadleigh,2,End NFE SFE S.Wad,
-133.293488,55.298328,20190802,745,,Port Refugio,1,End Refugio,
-133.121857,55.53857,20190730,1204,,South Wadleigh,1,End S.Wad,
-133.111404,55.56184,20190812,1548,,Klawock & Shinaku,2,End Shinaku Klawock 2,
-133.412766,55.676998,20190801,1058,,Salt Lake Bay,1,End SLB,
-132.989105,55.250351,20190803,903,,Soda Bay,1,End Soda,
-132.99498,55.250309,20190816,1507,,Soda Bay,2,End Soda 2,1508
-133.053421,55.174721,20190816,1025,,Farallon Bay,2,Farallon Start 2,
-133.499268,55.75106,20190815,931,,Heceta,2,Heceta End 2,932
-132.862991,55.221954,20190816,1222,,Natzuhini & North Pass,2,Natzuhini North Pass Start 2,
-133.130463,55.541481,20190811,1222,,North Fish Egg & South Fish Egg & South Wadleigh,2,NFE SFE S.Wad Start,
-133.349777,55.742355,20190815,1025,,Nossuk,2,Nossuk End 2,1056
-133.287735,55.294395,20190812,1225,,Port Refugio,2,Refugio End 2,12:25
-133.407639,55.697586,20190815,1405,,Salt Lake Bay,2,SLB End 2,
-133.545624,55.33247,20190802,553,,Baker Island,1,Start Baker,
-133.541412,55.331261,20190812,917,,Baker Island,2,Start Baker 2,
-133.36882,55.603252,20190731,1011,,Blanquizal,1,Start Blanquizal,
-133.363434,55.604427,20190813,1326,,Blanquizal,2,Start Blanquizal 2,
-133.215134,55.813206,20190814,1013,,Chusini & Naukati,2,Start Chusini & Naukati 2,1013
-132.878632,55.096031,20190804,922,,Dunbar,1,Start Dunbar,S
-133.081985,55.224033,20190803,926,,Farallon Bay,1,Start Farallon,
-133.396957,55.577915,20190731,857,,Garcia Cove,1,Start Garcia,
-133.389664,55.570221,20190813,1205,,Garcia Cove,2,Start Garcia 2,
-132.929367,55.170345,20190804,1201,,Goats mouth Inlet,1,Start GM,
-132.934204,55.169781,20190816,1139,,Goats mouth Inlet,2,Start Goats Mouth 2,1140
-133.331207,55.764996,20190814,852,,Kaguk & Guktu,1,Start Guktu Kag,850
-133.487946,55.753124,20190815,900,,Heceta,2,Start Heceta 2,900
-133.116943,55.55127,20190812,1326,,Klawock & Shinaku,2,Start Klawock Shinaku 2,
-133.099731,55.560379,20190730,1250,,Klawock & Shinaku,1,Start Klw And Shinaku,
-132.8564,55.223415,20190803,1204,,Natzuhini & North Pass,1,Start Natzuhini/ North Pass,
-133.371109,55.738789,20190815,950,,Nossuk,2,Start Nossuk 2,951
-133.29599,55.301373,20190802,721,,Port Refugio,1,Start Refugio,
-133.293686,55.305363,20190812,1128,,Port Refugio,2,Start Refugio 2,Start 11:28
-133.420807,55.667992,20190801,923,,Salt Lake Bay,1,Start SLB,
-133.394806,55.704044,20190815,1317,,Salt Lake Bay,2,Start SLB 2,
-133.034744,55.242592,20190803,813,,Soda Bay,1,Start Soda,
-133.034302,55.240803,20190816,1414,,Soda Bay,2,Start Soda 2,1415
-133.427429,55.673115,20190801,925,,Salt Lake Bay,1,WP0003,1
-133.407547,55.67437,20190801,926,,Salt Lake Bay,1,WP0004,1
-133.170197,55.523594,20190729,1512,,North Fish Egg & South Fish Egg,1,WP0005,1
-133.17363,55.518875,20190729,1517,,North Fish Egg & South Fish Egg,1,WP0006,1
-133.174942,55.517441,20190729,1518,,North Fish Egg & South Fish Egg,1,WP0007,1
-133.219345,55.517365,20190729,1525,,North Fish Egg & South Fish Egg,1,WP0008,1
-133.207367,55.496555,20190729,1536,,North Fish Egg & South Fish Egg,1,WP0009,1
-133.232864,55.508411,20190729,1537,,North Fish Egg & South Fish Egg,1,WP0010,1
-133.276306,55.485603,20190729,1537,,North Fish Egg & South Fish Egg,1,WP0011,2
-133.245819,55.49675,20190729,1538,,North Fish Egg & South Fish Egg,1,WP0012,1
-133.225357,55.502029,20190729,1538,,North Fish Egg & South Fish Egg,1,WP0013,1
-133.21907,55.493694,20190729,1539,,North Fish Egg & South Fish Egg,1,WP0014,1
-133.234772,55.491051,20190729,1540,,North Fish Egg & South Fish Egg,1,WP0015,1
-133.205032,55.492626,20190729,1541,,North Fish Egg & South Fish Egg,1,WP0016,3
-133.213913,55.502838,20190729,1542,,North Fish Egg & South Fish Egg,1,WP0017,1
-133.19133,55.491516,20190729,1553,,North Fish Egg & South Fish Egg,1,WP0018,9
-133.216965,55.48769,20190729,1601,,North Fish Egg & South Fish Egg,1,WP0019,2
-133.19043,55.480289,20190729,1606,,North Fish Egg & South Fish Egg,1,WP0020,2
-133.191437,55.47934,20190729,1607,,North Fish Egg & South Fish Egg,1,WP0021,2
-133.202484,55.478157,20190729,1608,,North Fish Egg & South Fish Egg,1,WP0022,1
-133.20314,55.47665,20190729,1609,,North Fish Egg & South Fish Egg,1,WP0023,1
-133.198044,55.472988,20190729,1609,,North Fish Egg & South Fish Egg,1,WP0024,2
-133.232162,55.482292,20190729,1615,,North Fish Egg & South Fish Egg,1,WP0025,1
-133.231125,55.467129,20190729,1617,,North Fish Egg & South Fish Egg,1,WP0026,1
-133.222656,55.470222,20190729,1620,,North Fish Egg & South Fish Egg,1,WP0027,1
-133.220474,55.471729,20190729,1622,,North Fish Egg & South Fish Egg,1,WP0028,1
-133.194916,55.474579,20190729,1633,,North Fish Egg & South Fish Egg,1,WP0029,1
-133.17514,55.475063,20190729,1639,,North Fish Egg & South Fish Egg,1,WP0030,1
-133.172058,55.549778,20190730,936,,South Wadleigh,1,WP0031,1
-133.212387,55.540627,20190730,944,,South Wadleigh,1,WP0032,1
-133.167221,55.509918,20190730,1058,,South Wadleigh,1,WP0033,1
-133.168854,55.512226,20190730,1054,,South Wadleigh,1,WP0034,1
-133.178665,55.509468,20190730,1100,,South Wadleigh,1,WP0035,1
-133.095779,55.596306,20190730,1315,,Klawock & Shinaku,1,WP0036,1
-133.117142,55.602226,20190730,1319,,Klawock & Shinaku,1,WP0037,1
-133.117905,55.602139,20190730,1320,,Klawock & Shinaku,1,WP0038,1
-133.114182,55.604473,20190730,1321,,Klawock & Shinaku,1,WP0039,1
-133.110764,55.613163,20190730,1325,,Klawock & Shinaku,1,WP0040,1
-133.124542,55.608753,20190730,1334,,Klawock & Shinaku,1,WP0041,1
-133.1362,55.604141,20190730,1339,,Klawock & Shinaku,1,WP0042,1
