"quant_filter_no","site","place_name","date","YYYYMMDD","time_start","biomarker_POM_no","bm_vol_filtered_ml","POM_filter_no","biomarker_no","quant_POM_no","quant_POM_vol_filtered_ml","notes","pre_dry_mass_g","pan_mass_g","dry_mass_g","burn_dry_mass_g","POM_org_mass","POM_inorg_mass"
2,"2018_L_02","Natzuhini","7/24/2018",20180724,1030,1,400,1,"B208",1,100,"",0.1267,1.29098,1.49999,1.46804,0.0823099999999999,0.05036
4,"2018_L_02","Natzuhini","7/24/2018",20180724,1030,2,400,3,"B209",2,100,"",0.12684,1.27177,1.4654,1.442,0.06679,0.0433899999999999
6,"2018_L_02","Natzuhini","7/24/2018",20180724,1030,3,400,5,"B210",3,100,"",0.12622,1.27939,1.44144,1.42954,0.03583,0.02393
8,"2018_L_01","North Pass","7/24/2018",20180724,1230,1,400,7,"B212",1,100,"",0.12825,1.29921,1.4655,1.44789,0.03804,0.0204299999999999
10,"2018_L_01","North Pass","7/24/2018",20180724,1230,2,400,9,"B213",2,100,"",0.12369,1.29075,1.47781,1.45825,0.06337,0.04381
12,"2018_L_01","North Pass","7/24/2018",20180724,1230,3,400,11,"B214",3,100,"",0.12693,1.28639,1.45432,1.44368,0.0410000000000001,0.0303600000000002
14,"2018_L_03","Sukkwan","7/24/2018",20180724,1400,1,400,13,"B216",1,100,"",0.12403,1.2835,1.43896,1.42593,0.0314299999999999,0.0183999999999998
16,"2018_L_03","Sukkwan","7/24/2018",20180724,1400,2,400,15,"B217",2,100,"",0.12424,1.27859,1.46932,1.44576,0.0664900000000001,0.04293
18,"2018_L_03","Sukkwan","7/24/2018",20180724,1400,3,400,17,"B218",3,100,"",0.12576,1.28929,1.44336,1.42815,0.0283099999999999,0.0131
20,"2018_H_03","Nossuk Bay","7/25/2018",20180725,1100,1,150,19,"B226",1,100,"Changed start time",0.12466,1.29587,1.45025,1.43365,0.02972,0.01312
22,"2018_H_02","Gaktu Bay","7/25/2018",20180725,1220,1,350,21,"B228",1,100,"",0.12557,1.28116,1.50121,1.45811,0.0944799999999999,0.05138
24,"2018_H_02","Gaktu Bay","7/25/2018",20180725,1220,2,300,23,"B229",2,100,"",0.1241,1.28652,1.51433,1.46609,0.10371,0.0554699999999998
26,"2018_H_02","Gaktu Bay","7/25/2018",20180725,1220,3,400,25,"B230",3,100,"",0.12598,1.28389,1.50089,1.45652,0.0910200000000001,0.0466500000000001
28,"2018_H_01","Kaguk Cove","7/25/2018",20180725,1340,1,250,27,"B231",1,100,"",0.12648,1.28639,1.47364,1.4457,0.0607700000000001,0.0328300000000001
30,"2018_H_01","Kaguk Cove","7/25/2018",20180725,1340,2,325,29,"B323",2,100,"",0.1264,1.28692,1.46636,1.44145,0.05304,0.0281299999999998
32,"2018_H_01","Kaguk Cove","7/25/2018",20180725,1340,3,300,31,"B233",3,100,"",0.12683,1.28726,1.49468,1.45399,0.0805899999999999,0.0398999999999998
