site,place_name,date,YYYYMMDD,time_start,biomarker_POM_no,bm_vol_filtered_ml,POM_filter_no,biomarker_no,quant_POM_no,quant_POM_vol_filtered_ml,quant_filter_no,notes
2018_L_02,Natzuhini,7/24/2018,20180724,1030,1,400,1,B208,1,100,2,
2018_L_02,Natzuhini,7/24/2018,20180724,1030,2,400,3,B209,2,100,4,
2018_L_02,Natzuhini,7/24/2018,20180724,1030,3,400,5,B210,3,100,6,
2018_L_03,Sukkwan,7/24/2018,20180724,1400,1,400,13,B216,1,100,14,
2018_L_03,Sukkwan,7/24/2018,20180724,1400,2,400,15,B217,2,100,16,
2018_L_03,Sukkwan,7/24/2018,20180724,1400,3,400,17,B218,3,100,18,
2018_L_01,North Pass,7/24/2018,20180724,1230,1,400,7,B212,1,100,8,
2018_L_01,North Pass,7/24/2018,20180724,1230,2,400,9,B213,2,100,10,
2018_L_01,North Pass,7/24/2018,20180724,1230,3,400,11,B214,3,100,12,
2018_H_01,Kaguk Cove,7/25/2018,20180725,1340,1,250,27,B231,1,100,28,
2018_H_01,Kaguk Cove,7/25/2018,20180725,1340,2,325,29,B323,2,100,30,
2018_H_01,Kaguk Cove,7/25/2018,20180725,1340,3,300,31,B233,3,100,32,
2018_H_02,Gaktu Bay,7/25/2018,20180725,1220,1,350,21,B228,1,100,22,
2018_H_02,Gaktu Bay,7/25/2018,20180725,1220,2,300,23,B229,2,100,24,
2018_H_02,Gaktu Bay,7/25/2018,20180725,1220,3,400,25,B230,3,100,26,
2018_H_03,Nossuk Bay,7/25/2018,20180725,1100,1,150,19,B226,1,100,20,Changed start time
